--Test Summary--
Full Path and File Name	
Instrument Name	7222#2
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	128
Test Start Date	18.11.2003
Test Start Time	12:01:15
Test Stop Date	18.11.2003
Test Stop Time	15:28:29
Test Length	3:27:14
Final Sample Time Offset	3:27:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 30(106min), T: 56C(106min), tap warer, dry-blending
Information	WellID	1111 at PAD 135
Information	Customer	LukOil-Komi
Information	CementClass	A
Information	CementMfr	Sukhoy Log
Information	Additives	1%Gel+1%SMS+0.29%R-7
Information	Density	1500
Information	BHCT	56
Information	BHST	70
Information	FluidLoss	
Information	JobType	245 mm csg lead slurry
Calculated Value	30Bc - TT	2:59:00
Calculated Value	70Bc - TT	N/A
Calculated Value	100Bc - TT	N/A
Initial Temperature (°C)	22 °C
Final Temperature (°C)	56 °C
Initial Pressure (MPa)	2,3 MPa
Final Pressure (MPa)	29,9 MPa
Initial Consistency (Bc)	22 Bc
Final Consistency (Bc)	71 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	22	2,3	22
0:01:00	22	2,1	24
0:02:00	22	2,7	18
0:03:00	21	3,0	20
0:04:00	21	3,2	14
0:05:00	22	3,5	13
0:06:00	22	3,8	15
0:07:00	22	4,0	16
0:08:00	22	4,4	16
0:09:00	23	4,9	15
0:10:00	23	5,3	16
0:11:00	24	5,9	14
0:12:00	24	5,9	16
0:13:00	24	6,2	15
0:14:00	25	6,7	15
0:15:00	25	6,7	16
0:16:00	26	7,0	15
0:17:00	26	7,2	13
0:18:00	27	7,5	13
0:19:00	27	7,8	15
0:20:00	28	8,0	13
0:21:00	28	8,3	13
0:22:00	29	8,6	13
0:23:00	29	8,9	13
0:24:00	29	9,2	13
0:25:00	30	9,5	20
0:26:00	30	9,8	36
0:27:00	31	10,1	13
0:28:00	31	10,4	13
0:29:00	31	10,6	13
0:30:00	31	10,7	12
0:31:00	32	11,1	13
0:32:00	32	11,2	13
0:33:00	32	11,6	13
0:34:00	33	11,8	14
0:35:00	33	12,1	15
0:36:00	33	12,4	16
0:37:00	33	12,5	16
0:38:00	34	12,8	19
0:39:00	34	13,1	18
0:40:00	34	13,3	18
0:41:00	35	13,5	18
0:42:00	35	13,9	17
0:43:00	35	14,2	18
0:44:00	36	14,5	18
0:45:00	36	14,8	18
0:46:00	36	15,1	18
0:47:00	37	15,4	18
0:48:00	37	15,6	18
0:49:00	37	15,7	17
0:50:00	37	15,9	17
0:51:00	38	16,3	17
0:52:00	38	16,6	17
0:53:00	38	16,8	17
0:54:00	39	17,2	18
0:55:00	39	17,3	18
0:56:00	39	17,8	18
0:57:00	40	17,9	18
0:58:00	40	18,0	18
0:59:00	40	18,3	18
1:00:00	41	18,5	18
1:01:00	41	18,8	18
1:02:00	42	19,2	18
1:03:00	42	19,4	18
1:04:00	42	19,7	18
1:05:00	43	20,0	18
1:06:00	43	20,3	18
1:07:00	43	20,6	18
1:08:00	43	20,7	18
1:09:00	44	21,0	18
1:10:00	44	21,3	17
1:11:00	44	21,6	16
1:12:00	45	21,9	16
1:13:00	45	22,1	16
1:14:00	45	22,3	17
1:15:00	46	22,7	16
1:16:00	46	22,8	16
1:17:00	46	23,0	16
1:18:00	47	23,4	16
1:19:00	47	23,6	16
1:20:00	47	24,1	17
1:21:00	48	24,2	16
1:22:00	48	24,6	18
1:23:00	48	24,7	18
1:24:00	48	25,2	18
1:25:00	49	25,4	18
1:26:00	49	25,4	18
1:27:00	49	25,6	18
1:28:00	50	25,9	18
1:29:00	50	26,1	19
1:30:00	50	26,7	19
1:31:00	51	26,9	19
1:32:00	51	27,1	19
1:33:00	51	27,4	19
1:34:00	51	27,8	19
1:35:00	52	27,9	19
1:36:00	52	28,1	19
1:37:00	52	28,5	19
1:38:00	53	28,7	19
1:39:00	53	29,1	19
1:40:00	53	29,4	19
1:41:00	54	29,5	19
1:42:00	54	29,6	19
1:43:00	54	29,9	19
1:44:00	55	30,2	19
1:45:00	55	30,4	19
1:46:00	55	30,6	19
1:47:00	56	30,8	19
1:48:00	56	30,4	20
1:49:00	56	30,5	20
1:50:00	56	30,4	20
1:51:00	57	30,6	21
1:52:00	57	30,4	21
1:53:00	57	30,4	20
1:54:00	57	30,4	20
1:55:00	57	30,5	20
1:56:00	57	30,4	20
1:57:00	57	30,3	18
1:58:00	57	30,2	20
1:59:00	57	30,0	20
2:00:00	57	29,9	20
2:01:00	56	30,0	20
2:02:00	56	30,1	20
2:03:00	56	30,2	20
2:04:00	56	30,3	20
2:05:00	56	30,1	20
2:06:00	56	30,1	20
2:07:00	56	30,0	19
2:08:00	56	30,1	19
2:09:00	56	29,9	19
2:10:00	56	29,9	19
2:11:00	56	30,1	19
2:12:00	56	29,9	19
2:13:00	56	30,0	19
2:14:00	56	30,1	19
2:15:00	56	29,9	19
2:16:00	56	29,9	19
2:17:00	56	30,1	19
2:18:00	56	30,1	19
2:19:00	56	29,8	20
2:20:00	56	30,3	19
2:21:00	56	30,4	19
2:22:00	56	30,5	19
2:23:00	56	30,3	19
2:24:00	56	30,4	20
2:25:00	56	30,3	20
2:26:00	56	30,2	20
2:27:00	56	30,3	20
2:28:00	56	30,2	20
2:29:00	56	30,3	20
2:30:00	56	30,2	20
2:31:00	56	30,3	20
2:32:00	56	30,1	20
2:33:00	56	30,3	21
2:34:00	56	30,3	21
2:35:00	56	30,3	21
2:36:00	56	30,1	21
2:37:00	56	30,1	21
2:38:00	56	30,1	21
2:39:00	56	29,9	22
2:40:00	56	30,1	21
2:41:00	56	30,1	20
2:42:00	56	30,2	22
2:43:00	56	30,2	23
2:44:00	56	30,0	24
2:45:00	56	30,1	24
2:46:00	56	30,0	25
2:47:00	56	30,2	24
2:48:00	56	30,1	24
2:49:00	56	30,2	25
2:50:00	56	30,1	26
2:51:00	56	30,1	26
2:52:00	56	30,4	26
2:53:00	56	30,3	27
2:54:00	56	30,2	27
2:55:00	56	29,9	28
2:56:00	56	29,8	29
2:57:00	56	30,1	30
2:58:00	56	30,0	30
2:59:00	56	29,9	31
3:00:00	56	30,1	32
3:01:00	55	29,9	33
3:02:00	56	30,4	33
3:03:00	56	30,1	33
3:04:00	55	30,0	35
3:05:00	55	29,9	36
3:06:00	56	30,1	36
3:07:00	55	30,2	37
3:08:00	55	30,1	39
3:09:00	55	30,3	40
3:10:00	55	30,2	41
3:11:00	55	30,1	43
3:12:00	55	30,1	45
3:13:00	55	30,4	46
3:14:00	56	30,1	47
3:15:00	55	30,1	49
3:16:00	55	30,1	52
3:17:00	56	30,0	53
3:18:00	56	30,0	55
3:19:00	55	30,2	57
3:20:00	55	30,1	59
3:21:00	56	30,2	63
3:22:00	55	29,9	65
3:23:00	56	30,1	66
3:24:00	56	30,4	66
3:25:00	56	30,3	67
3:26:00	56	30,0	69
3:27:00	56	29,9	71
