--Test Summary--
Full Path and File Name	
Instrument Name	7222#2
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	128
Test Start Date	24.06.2003
Test Start Time	11:21:53
Test Stop Date	24.06.2003
Test Stop Time	16:19:54
Test Length	4:58:01
Final Sample Time Offset	4:58:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa:20(35min) T:35(35min), cement & water is field
Information	WellID	7
Information	Customer	SeverTek
Information	CementClass	G
Information	CementMfr	Dyckerhoff
Information	Additives	1.25%SMS+1.25%TC-101+2%CaCl2
Information	Density	1500
Information	BHCT	35
Information	BHST	45
Information	FluidLoss	
Information	JobType	177.8 mm csg lead slurry
Calculated Value	30Bc - TT	3:38:00
Calculated Value	70Bc - TT	4:58:00
Calculated Value	100Bc - TT	N/A
Initial Temperature (°C)	26 °C
Final Temperature (°C)	34 °C
Initial Pressure (MPa)	1,5 MPa
Final Pressure (MPa)	20,3 MPa
Initial Consistency (Bc)	10 Bc
Final Consistency (Bc)	72 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	26	1,5	10
0:01:00	26	2,4	7
0:02:00	25	2,8	4
0:03:00	25	3,6	5
0:04:00	25	3,9	6
0:05:00	25	4,6	9
0:06:00	26	5,0	8
0:07:00	26	5,4	6
0:08:00	26	6,2	8
0:09:00	27	6,7	7
0:10:00	27	7,2	11
0:11:00	27	7,8	10
0:12:00	28	8,2	8
0:13:00	28	8,9	7
0:14:00	29	9,3	7
0:15:00	29	9,5	6
0:16:00	29	10,3	6
0:17:00	30	10,9	13
0:18:00	30	11,5	9
0:19:00	30	11,9	6
0:20:00	31	12,1	6
0:21:00	31	12,9	9
0:22:00	31	13,5	10
0:23:00	32	13,9	10
0:24:00	32	14,7	13
0:25:00	32	14,9	10
0:26:00	32	15,4	12
0:27:00	33	15,9	10
0:28:00	33	16,7	11
0:29:00	33	17,0	13
0:30:00	33	17,4	9
0:31:00	34	18,0	9
0:32:00	34	18,6	12
0:33:00	34	19,0	9
0:34:00	34	19,6	9
0:35:00	34	20,1	14
0:36:00	34	20,3	12
0:37:00	35	20,5	10
0:38:00	35	20,5	10
0:39:00	35	20,3	9
0:40:00	35	20,3	9
0:41:00	35	20,4	9
0:42:00	35	20,3	8
0:43:00	35	20,2	8
0:44:00	35	20,0	9
0:45:00	35	19,9	9
0:46:00	35	19,9	19
0:47:00	35	20,0	8
0:48:00	35	19,8	11
0:49:00	35	20,2	7
0:50:00	35	20,2	6
0:51:00	35	20,0	6
0:52:00	35	20,0	12
0:53:00	35	20,1	9
0:54:00	35	19,9	9
