--Test Summary--
Full Path and File Name	
Instrument Name	7222#2
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	128
Test Start Date	03.04.2003
Test Start Time	10:23:51
Test Stop Date	03.04.2003
Test Stop Time	15:34:34
Test Length	5:10:43
Final Sample Time Offset	5:10:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 25(30min); T: 33C(30min); tap water. dry-blending
Information	WellID	
Information	Customer	
Information	CementClass	G
Information	CementMfr	Dyckerhoff
Information	Additives	20%Diatom CD+2%CaCl2
Information	Density	1500
Information	BHCT	30
Information	BHST	30
Information	FluidLoss	
Information	JobType	Research
Calculated Value	30Bc - TT	N/A
Calculated Value	70Bc - TT	N/A
Calculated Value	100Bc - TT	N/A
Initial Temperature (°C)	24 °C
Final Temperature (°C)	32 °C
Initial Pressure (MPa)	1,3 MPa
Final Pressure (MPa)	15,1 MPa
Initial Consistency (Bc)	16 Bc
Final Consistency (Bc)	9 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	24	1,3	16
0:01:00	24	2,4	13
0:02:00	25	2,8	11
0:03:00	25	3,1	10
0:04:00	25	3,8	9
0:05:00	25	4,0	10
0:06:00	26	4,8	10
0:07:00	26	5,0	12
0:08:00	26	6,2	11
0:09:00	27	6,0	9
0:10:00	27	6,5	10
0:11:00	27	6,5	10
0:12:00	27	7,3	11
0:13:00	27	7,7	11
0:14:00	27	8,2	10
0:15:00	27	8,7	7
0:16:00	27	9,2	7
0:17:00	28	9,3	6
0:18:00	28	9,6	7
0:19:00	28	10,5	18
0:20:00	28	10,8	13
0:21:00	29	11,0	15
0:22:00	29	11,8	14
0:23:00	29	12,0	12
0:24:00	29	12,3	10
0:25:00	30	13,0	15
0:26:00	30	13,3	12
0:27:00	31	13,8	13
0:28:00	31	13,9	14
0:29:00	31	14,7	16
0:30:00	32	15,1	11
0:31:00	32	15,3	11
0:32:00	32	15,5	9
0:33:00	33	15,3	9
0:34:00	33	15,4	9
0:35:00	33	15,6	9
0:36:00	33	15,6	8
0:37:00	33	15,4	7
0:38:00	33	15,3	7
0:39:00	33	15,1	7
0:40:00	33	15,2	7
0:41:00	33	14,9	7
0:42:00	33	15,0	7
0:43:00	33	15,3	9
0:44:00	33	15,4	8
0:45:00	33	15,3	8
0:46:00	33	15,1	8
0:47:00	33	15,1	9
0:48:00	33	15,1	9
0:49:00	33	14,8	8
0:50:00	33	14,8	9
0:51:00	33	15,5	9
0:52:00	33	15,4	9
0:53:00	32	15,3	8
0:54:00	32	15,5	8
0:55:00	32	15,3	8
0:56:00	32	15,5	8
0:57:00	32	15,3	8
0:58:00	32	15,5	8
0:59:00	32	15,3	8
1:00:00	32	15,4	8
1:01:00	32	15,3	8
1:02:00	32	15,6	8
1:03:00	32	15,4	8
1:04:00	32	15,6	8
1:05:00	32	15,5	8
1:06:00	32	15,4	8
1:07:00	32	15,5	8
1:08:00	32	15,4	8
1:09:00	32	15,4	8
1:10:00	32	15,4	8
1:11:00	32	15,6	8
1:12:00	32	15,6	8
1:13:00	32	15,5	8
1:14:00	32	15,5	8
1:15:00	32	15,6	8
1:16:00	32	15,5	8
1:17:00	32	15,4	8
1:18:00	32	15,4	8
1:19:00	32	15,4	8
1:20:00	32	15,5	8
1:21:00	32	15,5	8
1:22:00	32	15,6	8
1:23:00	32	15,3	8
1:24:00	32	15,5	8
1:25:00	32	15,5	8
1:26:00	32	15,3	8
1:27:00	32	15,4	8
1:28:00	32	15,4	8
1:29:00	32	15,4	8
1:30:00	32	15,5	8
1:31:00	32	15,5	8
