--Test Summary--
Full Path and File Name	
Instrument Name	4262R
Instrument Type	Model 4262 Twin Cell UCA
Instrument Serial Number	111R
Test Start Date	21.11.2003
Test Start Time	11:41:05
Test Stop Date	22.11.2003
Test Stop Time	11:34:53
Test Length	23:53:48
Final Sample Time Offset	23:53:38
Controller Schedule Name	
Sampling Period	60 seconds
Comments	T:60(30min), 70(240min)
Information	WellID	4/424
Information	Customer	Kogalym
Information	EngName	
Information	CementClass	G
Information	CementMfr	Dyckerhoff
Information	Additives	0.5%Diacel FL+0.5%RPM+1%TA-1+0.1%LTR-100
Information	Density	1920
Information	BHCT	60
Information	BHST	70
Information	FluidLoss	
Information	JobType	146 mm csg tail slurry
Calculated Value	CS_50	4:08:00
Calculated Value	CS_500	5:53:00
Calculated Value	CS_Time8h	10,11 MPa
Calculated Value	CS_Time16h	16,53 MPa
Calculated Value	CS_Time24h	N/A
Calculated Value	CS_Time48h	N/A
Calculated Value	CS_Time72h	N/A
Calculated Curve	Compressive Strength	Compressive strength type B (more than 14 lb/gal)
Initial Temperature (°C)	22 °C
Final Temperature (°C)	38 °C
Initial Transit Time (microsec/in)	ERROR
Final Transit Time (microsec/in)	8,21 microsec/in
Initial Compressive Strength (MPa)	N/A
Final Compressive Strength (MPa)	22,29 MPa
--Data--
Time (HH:MM:SS)	Temperature (°C)	Transit Time (microsec/in)	Compressive Strength (MPa)
0:00:00	22		
0:01:00	22		
0:02:00	22		
0:03:00	22		
0:04:00	22		
0:05:00	23		
0:06:00	24		
0:07:00	25		
0:08:00	25		
0:09:00	27		
0:10:00	27		
0:11:00	29		
0:12:00	30		
0:13:00	31		
0:14:00	33		
0:15:00	34		
0:16:00	35		
0:17:00	37		
0:18:00	38		
0:19:00	40		
0:20:00	41		
0:21:00	42		
0:22:00	44		
0:23:00	45		
0:24:00	47		
0:25:00	48		
0:26:00	50		
0:27:00	51		
0:28:00	52		
0:29:00	54		
0:30:00	55		
0:31:00	57		
0:32:00	58		
0:33:00	60		
0:34:00	61		
0:35:00	62		
0:36:00	62		
0:37:00	63		
0:38:00	63		
0:39:00	64		
0:40:00	64		
0:41:00	64		
0:42:00	65		
0:43:00	65		
0:44:00	65		
0:45:00	65		
0:46:00	65		
0:47:00	65		
0:48:00	65		
0:49:00	65		
0:50:00	65		
0:51:00	65		
0:52:00	64		
0:53:00	64		
0:54:00	64		
0:55:00	64		
0:56:00	64		
0:57:00	64		
0:58:00	64		
0:59:00	63		
1:00:00	63		
1:01:00	63		
1:02:00	63		
1:03:00	63		
1:04:00	63		
1:05:00	62		
1:06:00	62		
1:07:00	62		
1:08:00	62		
1:09:00	62		
1:10:00	62		
1:11:00	62		
1:12:00	62		
1:13:00	62		
1:14:00	62		
1:15:00	62		
1:16:00	62		
1:17:00	62		
1:18:00	62		
1:19:00	62		
1:20:00	62		
1:21:00	62		
1:22:00	62		
1:23:00	62		
1:24:00	62		
1:25:00	62		
1:26:00	62		
1:27:00	62		
1:28:00	62		
1:29:00	62		
1:30:00	62		
1:31:00	62		
1:32:00	63		
1:33:00	62		
1:34:00	63		
1:35:00	63		
1:36:00	63		
1:37:00	63		
1:38:00	63		
1:39:00	63		
1:40:00	63		
1:41:00	63		
1:42:00	63		
1:43:00	63		
1:44:00	63		
1:45:00	63		
1:46:00	63		
1:47:00	63		
1:48:00	63		
1:49:00	63		
1:50:00	63		
1:51:00	63		
1:52:00	63		
1:53:00	63		
1:54:00	63		
1:55:00	63		
1:56:00	63		
1:57:00	63		
1:58:00	63		
1:59:00	63		
2:00:00	63		
2:01:00	64		
2:02:00	63		
2:03:00	64		
2:04:00	64		
2:05:00	64		
2:06:00	64		
2:07:00	64		
2:08:00	64		
2:09:00	64		
2:10:00	64		
2:11:00	64		
2:12:00	64		
2:13:00	64		
2:14:00	64		
2:15:00	64		
2:16:00	64		
2:17:00	64		
2:18:00	64		
2:19:00	64		
2:20:00	64		
2:21:00	64		
2:22:00	65		
2:23:00	64		
2:24:00	64		
2:25:00	64		
2:26:00	65		
2:27:00	65		
2:28:00	65		
2:29:00	65		
2:30:00	65		
2:31:00	65		
2:32:00	65		
2:33:00	65		
2:34:00	65		
2:35:00	65		
2:36:00	65		
