--Test Summary--
Full Path and File Name	
Instrument Name	4262R
Instrument Type	Model 4262 Twin Cell UCA
Instrument Serial Number	111R
Test Start Date	20.01.2003
Test Start Time	10:47:06
Test Stop Date	22.01.2003
Test Stop Time	14:54:44
Test Length	52:07:38
Final Sample Time Offset	52:07:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	T: 60(30min) 80(240min) all dry blend, tap water, coarse-grained PVC
Information	WellID	
Information	Customer	Petro-Aliance
Information	EngName	
Information	CementClass	G
Information	CementMfr	Dyckerhoff
Information	Additives	1.3%PVC A-2+0.7%Diacel RPM
Information	Density	1900
Information	BHCT	60
Information	BHST	80
Information	FluidLoss	88cc/30min
Information	JobType	Research
Calculated Value	CS_50	8:00:00
Calculated Value	CS_500	9:51:00
Calculated Value	CS_Time8h	0 MPa
Calculated Value	CS_Time16h	3 MPa
Calculated Value	CS_Time24h	2 MPa
Calculated Value	CS_Time48h	13 MPa
Calculated Value	CS_Time72h	N/A
Calculated Curve	Compressive Strength	Compressive strength type B (more than 14 lb/gal)
Initial Temperature (°C)	25 °C
Final Temperature (°C)	80 °C
Initial Transit Time (microsec/in)	16,35 microsec/in
Final Transit Time (microsec/in)	9,10 microsec/in
Initial Compressive Strength (MPa)	0 MPa
Final Compressive Strength (MPa)	13 MPa
--Data--
Time (HH:MM:SS)	Temperature (°C)	Transit Time (microsec/in)	Compressive Strength (MPa)
0:00:00	25	16,35	0
0:01:00	25	16,33	0
0:02:00	25	16,36	0
0:03:00	25	16,36	0
0:04:00	25	16,36	0
0:05:00	26	16,37	0
0:06:00	27	16,36	0
0:07:00	27	16,37	0
0:08:00	28	16,37	0
0:09:00	29	16,37	0
0:10:00	30	16,36	0
0:11:00	31	16,36	0
0:12:00	33	16,36	0
0:13:00	34	16,35	0
0:14:00	35	16,33	0
0:15:00	36	16,32	0
0:16:00	38	16,32	0
0:17:00	39	16,30	0
0:18:00	40	16,28	0
0:19:00	42	16,26	0
0:20:00	43	16,25	0
0:21:00	44	16,23	0
0:22:00	45	16,22	0
0:23:00	47	16,20	0
0:24:00	48	16,18	0
0:25:00	49	16,18	0
0:26:00	51	16,16	0
0:27:00	52	16,15	0
0:28:00	54	16,14	0
0:29:00	55	16,13	0
0:30:00	56	16,12	0
0:31:00	57	16,10	0
0:32:00	59	16,08	0
0:33:00	60	16,08	0
0:34:00	61	16,08	0
0:35:00	61	16,06	0
0:36:00	62	16,06	0
0:37:00	63	16,05	0
0:38:00	63	16,06	0
0:39:00	63	16,06	0
0:40:00	64	16,05	0
0:41:00	64	16,05	0
0:42:00	65	16,07	0
0:43:00	65	16,08	0
0:44:00	65	16,07	0
0:45:00	65	16,08	0
0:46:00	65	16,08	0
0:47:00	65	16,08	0
0:48:00	65	16,08	0
0:49:00	66	16,05	0
