--Test Summary--
Full Path and File Name	
Instrument Name	4262L
Instrument Type	Model 4262 Twin Cell UCA
Instrument Serial Number	111L
Test Start Date	31.10.2003
Test Start Time	11:03:15
Test Stop Date	03.11.2003
Test Stop Time	10:46:35
Test Length	71:43:20
Final Sample Time Offset	71:43:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	T: 40C(50min), 45(240min)
Information	WellID	South Pad/well 105
Information	Customer	SeverTEK
Information	EngName	
Information	CementClass	G
Information	CementMfr	Dyckerhoff
Information	Additives	0.4%Diacel FL+0.2%D-19+1%TA-1
Information	Density	1900
Information	BHCT	40
Information	BHST	45
Information	FluidLoss	
Information	JobType	177.8 csg tail slurry
Calculated Value	CS_50	3:58:00
Calculated Value	CS_500	6:02:00
Calculated Value	CS_Time8h	7,17 MPa
Calculated Value	CS_Time16h	15,78 MPa
Calculated Value	CS_Time24h	18,69 MPa
Calculated Value	CS_Time48h	22,83 MPa
Calculated Value	CS_Time72h	N/A
Calculated Curve	Compressive Strength	Compressive strength type B (more than 14 lb/gal)
Initial Temperature (°C)	21 °C
Final Temperature (°C)	44 °C
Initial Transit Time (microsec/in)	16,39 microsec/in
Final Transit Time (microsec/in)	7,99 microsec/in
Initial Compressive Strength (MPa)	0,00 MPa
Final Compressive Strength (MPa)	25,07 MPa
--Data--
Time (HH:MM:SS)	Temperature (°C)	Transit Time (microsec/in)	Compressive Strength (MPa)
0:00:00	21	16,39	0,00
0:01:00	21	16,38	0,00
0:02:00	21	16,38	0,00
0:03:00	21	16,36	0,01
0:04:00	21	16,36	0,01
0:05:00	21	16,35	0,01
0:06:00	21	16,35	0,01
0:07:00	21	16,34	0,01
0:08:00	22	16,33	0,02
0:09:00	22	16,33	0,02
0:10:00	22	16,34	0,01
0:11:00	23	16,34	0,01
0:12:00	23	16,35	0,01
0:13:00	23	16,35	0,01
0:14:00	24	16,36	0,01
0:15:00	24	16,36	0,01
0:16:00	25	16,36	0,01
0:17:00	25	16,36	0,01
0:18:00	26	16,36	0,01
0:19:00	26	16,37	0,01
0:20:00	26	16,36	0,01
0:21:00	27	16,36	0,01
0:22:00	27	16,36	0,01
0:23:00	28	16,36	0,01
0:24:00	28	16,35	0,01
0:25:00	29	16,35	0,01
0:26:00	29	16,35	0,01
0:27:00	29	16,33	0,02
0:28:00	30	16,32	0,02
0:29:00	30	16,32	0,02
0:30:00	30	16,32	0,02
0:31:00	31	16,31	0,02
0:32:00	31	16,30	0,02
0:33:00	32	16,29	0,03
0:34:00	32	16,29	0,03
0:35:00	33	16,29	0,03
0:36:00	33	16,28	0,03
0:37:00	33	16,27	0,03
0:38:00	34	16,27	0,03
0:39:00	34	16,27	0,03
0:40:00	34	16,26	0,04
0:41:00	35	16,25	0,04
0:42:00	35	16,25	0,04
0:43:00	35	16,24	0,04
0:44:00	36	16,24	0,04
0:45:00	36	16,23	0,04
0:46:00	36	16,23	0,05
0:47:00	37	16,22	0,05
0:48:00	37	16,22	0,05
0:49:00	38	16,21	0,05
0:50:00	38	16,20	0,05
0:51:00	39	16,20	0,05
0:52:00	39	16,20	0,05
0:53:00	39	16,19	0,06
0:54:00	40	16,18	0,06
0:55:00	40	16,18	0,06
0:56:00	40	16,17	0,06
0:57:00	41	16,17	0,06
0:58:00	41	16,17	0,06
0:59:00	41	16,17	0,06
1:00:00	41	16,17	0,06
1:01:00	41	16,14	0,07
1:02:00	41	16,14	0,07
1:03:00	41	16,15	0,07
1:04:00	41	16,14	0,07
1:05:00	41	16,14	0,07
1:06:00	41	16,15	0,07
1:07:00	41	16,14	0,07
1:08:00	41	16,14	0,07
1:09:00	41	16,15	0,07
1:10:00	41	16,15	0,07
1:11:00	41	16,15	0,07
1:12:00	41	16,16	0,06
1:13:00	41	16,17	0,06
1:14:00	41	16,17	0,06
1:15:00	41	16,17	0,06
1:16:00	41	16,17	0,06
1:17:00	41	16,16	0,06
1:18:00	41	16,16	0,06
1:19:00	40	16,17	0,06
1:20:00	40	16,17	0,06
1:21:00	40	16,18	0,06
1:22:00	40	16,20	0,05
1:23:00	40	16,19	0,06
1:24:00	40	16,19	0,06
1:25:00	41	16,20	0,05
1:26:00	40	16,21	0,05
1:27:00	40	16,20	0,05
1:28:00	40	16,20	0,05
1:29:00	41	16,21	0,05
1:30:00	40	16,21	0,05
1:31:00	40	16,22	0,05
1:32:00	40	16,21	0,05
1:33:00	40	16,22	0,05
1:34:00	40	16,23	0,05
1:35:00	40	16,23	0,05
1:36:00	40	16,23	0,04
1:37:00	40	16,23	0,04
1:38:00	40	16,24	0,04
1:39:00	40	16,24	0,04
1:40:00	40	16,24	0,04
1:41:00	40	16,25	0,04
1:42:00	40	16,25	0,04
1:43:00	40	16,23	0,04
1:44:00	40	16,23	0,05
1:45:00	40	16,23	0,05
1:46:00	40	16,23	0,04
1:47:00	40	16,24	0,04
1:48:00	40	16,24	0,04
1:49:00	40	16,24	0,04
1:50:00	40	16,24	0,04
1:51:00	40	16,25	0,04
1:52:00	40	16,25	0,04
1:53:00	40	16,25	0,04
1:54:00	40	16,26	0,04
1:55:00	41	16,27	0,03
1:56:00	40	16,27	0,03
1:57:00	40	16,27	0,03
1:58:00	40	16,27	0,03
1:59:00	40	16,28	0,03
2:00:00	40	16,27	0,03
2:01:00	40	16,28	0,03
2:02:00	40	16,29	0,03
2:03:00	40	16,28	0,03
2:04:00	40	16,29	0,03
2:05:00	41	16,29	0,03
2:06:00	40	16,30	0,02
2:07:00	41	16,31	0,02
2:08:00	40	16,32	0,02
2:09:00	40	16,32	0,02
2:10:00	40	16,32	0,02
2:11:00	41	16,33	0,02
2:12:00	41	16,33	0,02
2:13:00	41	16,33	0,02
2:14:00	41	16,34	0,01
2:15:00	41	16,35	0,01
2:16:00	41	16,35	0,01
2:17:00	41	16,35	0,01
2:18:00	41	16,35	0,01
2:19:00	41	16,36	0,01
2:20:00	41	16,36	0,01
2:21:00	41	16,36	0,01
2:22:00	41	16,37	0,01
2:23:00	41	16,37	0,01
2:24:00	41	16,37	0,01
2:25:00	41	16,38	0,00
2:26:00	41	16,38	0,00
2:27:00	41	16,38	0,00
2:28:00	41	16,39	0,00
2:29:00	41	16,37	0,01
2:30:00	41	16,38	0,00
2:31:00	41	16,38	0,00
2:32:00	41	16,38	0,00
2:33:00	41	16,38	0,00
2:34:00	41	16,39	0,00
2:35:00	41	16,39	0,00
2:36:00	41	16,40	0,00
2:37:00	41	16,39	0,00
2:38:00	41	16,40	0,00
2:39:00	41	16,40	0,00
2:40:00	41	16,41	0,00
2:41:00	41	16,41	0,00
2:42:00	41	16,40	0,00
2:43:00	41	16,40	0,00
2:44:00	41	16,41	0,00
2:45:00	41	16,41	0,00
2:46:00	41	16,41	0,00
2:47:00	41	16,41	0,00
2:48:00	41	16,41	0,00
2:49:00	41	16,41	0,00
2:50:00	41	16,41	0,00
2:51:00	41	16,41	0,00
2:52:00	41	16,41	0,00
2:53:00	41	16,41	0,00
2:54:00	41	16,41	0,00
2:55:00	41	16,41	0,00
2:56:00	41	16,41	0,00
2:57:00	41	16,40	0,00
2:58:00	41	16,40	0,00
2:59:00	41	16,39	0,00
3:00:00	42	16,39	0,00
3:01:00	41	16,38	0,00
3:02:00	42	16,38	0,00
3:03:00	41	16,38	0,00
3:04:00	41	16,37	0,01
3:05:00	42	16,36	0,01
3:06:00	42	16,35	0,01
3:07:00	42	16,35	0,01
3:08:00	41	16,33	0,02
3:09:00	42	16,32	0,02
3:10:00	42	16,32	0,02
3:11:00	42	16,31	0,02
3:12:00	42	16,30	0,02
3:13:00	42	16,29	0,03
3:14:00	42	16,29	0,03
3:15:00	42	16,27	0,03
3:16:00	42	16,27	0,03
3:17:00	42	16,26	0,04
3:18:00	42	16,24	0,04
3:19:00	42	16,23	0,05
3:20:00	42	16,22	0,05
3:21:00	42	16,20	0,05
3:22:00	42	16,19	0,06
3:23:00	42	16,17	0,06
3:24:00	42	16,16	0,06
3:25:00	42	16,14	0,07
3:26:00	42	16,13	0,07
3:27:00	42	16,11	0,08
3:28:00	42	16,09	0,08
3:29:00	42	16,08	0,09
