--Test Summary--
Full Path and File Name	
Instrument Name	4262L
Instrument Type	Model 4262 Twin Cell UCA
Instrument Serial Number	111L
Test Start Date	04.10.2004
Test Start Time	22:16:41
Test Stop Date	05.10.2004
Test Stop Time	22:26:25
Test Length	24:09:44
Final Sample Time Offset	24:09:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	T:80(60),104(240)
Information	WellID	12-2-03
Information	Customer	Rospan
Information	EngName	
Information	CementClass	G
Information	CementMfr	Dyckerhoff
Information	Additives	1.2%FL+1.2%CD-12+1.5%TA-1
Information	Density	1920
Information	BHCT	80
Information	BHST	104
Information	FluidLoss	
Information	JobType	168.3 mm csg Tail Sl
Calculated Value	CS_50	5:42:00
Calculated Value	CS_500	6:30:00
Calculated Value	CS_Time8h	7,56 MPa
Calculated Value	CS_Time16h	13,13 MPa
Calculated Value	CS_Time24h	15,12 MPa
Calculated Value	CS_Time48h	N/A
Calculated Value	CS_Time72h	N/A
Calculated Curve	Compressive Strength	Compressive strength type B (more than 14 lb/gal)
Initial Temperature (°C)	19 °C
Final Temperature (°C)	102 °C
Initial Transit Time (microsec/in)	16,08 microsec/in
Final Transit Time (microsec/in)	8,86 microsec/in
Initial Compressive Strength (MPa)	0,00 MPa
Final Compressive Strength (MPa)	15,12 MPa
--Data--
Time (HH:MM:SS)	Temperature (°C)	Transit Time (microsec/in)	Compressive Strength (MPa)
0:00:00	19	16,08	0,00
0:01:00	19	16,08	0,00
0:02:00	19	16,09	0,00
0:03:00	19	16,10	0,00
0:04:00	20	16,11	0,00
0:05:00	20	16,11	0,00
0:06:00	21	16,12	0,00
0:07:00	21	16,11	0,00
0:08:00	22	16,08	0,00
0:09:00	22	16,08	0,00
0:10:00	24	16,08	0,00
0:11:00	24	16,07	0,00
0:12:00	25	16,05	0,01
0:13:00	27	16,03	0,01
0:14:00	28	16,02	0,02
0:15:00	29	15,99	0,02
0:16:00	30	15,97	0,03
0:17:00	31	15,95	0,04
0:18:00	32	15,93	0,05
0:19:00	34	15,90	0,05
0:20:00	35	15,87	0,06
0:21:00	36	15,85	0,07
0:22:00	37	15,83	0,08
0:23:00	38	15,81	0,08
0:24:00	39	15,78	0,09
0:25:00	41	15,76	0,10
0:26:00	42	15,75	0,10
0:27:00	43	15,74	0,11
0:28:00	44	15,72	0,11
0:29:00	45	15,71	0,12
0:30:00	46	15,69	0,12
0:31:00	47	15,68	0,13
0:32:00	49	15,67	0,13
0:33:00	50	15,66	0,13
0:34:00	51	15,65	0,14
0:35:00	52	15,64	0,14
0:36:00	53	15,63	0,14
0:37:00	54	15,63	0,14
0:38:00	55	15,62	0,15
0:39:00	56	15,62	0,15
0:40:00	57	15,61	0,15
0:41:00	58	15,61	0,15
0:42:00	60	15,61	0,15
0:43:00	61	15,60	0,15
0:44:00	61	15,60	0,15
0:45:00	63	15,60	0,15
0:46:00	64	15,60	0,15
0:47:00	65	15,60	0,15
0:48:00	66	15,60	0,15
0:49:00	67	15,60	0,15
0:50:00	68	15,60	0,15
0:51:00	69	15,60	0,15
0:52:00	70	15,61	0,15
0:53:00	71	15,61	0,15
0:54:00	72	15,61	0,15
0:55:00	73	15,62	0,15
0:56:00	74	15,63	0,14
0:57:00	75	15,63	0,14
0:58:00	76	15,63	0,14
0:59:00	77	15,64	0,14
1:00:00	78	15,65	0,14
1:01:00	79	15,65	0,14
1:02:00	80	15,66	0,13
1:03:00	81	15,67	0,13
1:04:00	82	15,67	0,13
1:05:00	83	15,68	0,13
1:06:00	83	15,69	0,12
1:07:00	83	15,70	0,12
1:08:00	84	15,71	0,12
1:09:00	84	15,71	0,12
1:10:00	84	15,72	0,11
1:11:00	84	15,72	0,11
1:12:00	84	15,73	0,11
1:13:00	84	15,73	0,11
1:14:00	84	15,74	0,11
1:15:00	84	15,74	0,11
1:16:00	84	15,74	0,11
1:17:00	83	15,74	0,11
1:18:00	83	15,74	0,11
1:19:00	83	15,74	0,11
1:20:00	83	15,74	0,11
1:21:00	83	15,74	0,11
1:22:00	82	15,73	0,11
1:23:00	82	15,74	0,11
1:24:00	82	15,73	0,11
1:25:00	81	15,73	0,11
1:26:00	81	15,73	0,11
1:27:00	81	15,73	0,11
1:28:00	82	15,73	0,11
1:29:00	82	15,73	0,11
1:30:00	81	15,73	0,11
1:31:00	82	15,73	0,11
1:32:00	82	15,74	0,11
1:33:00	82	15,74	0,11
1:34:00	82	15,75	0,10
1:35:00	82	15,75	0,10
1:36:00	82	15,75	0,10
1:37:00	82	15,76	0,10
1:38:00	82	15,76	0,10
1:39:00	82	15,77	0,10
1:40:00	83	15,78	0,09
1:41:00	83	15,78	0,09
1:42:00	83	15,79	0,09
1:43:00	83	15,79	0,09
1:44:00	83	15,80	0,09
1:45:00	83	15,81	0,08
1:46:00	83	15,81	0,08
1:47:00	83	15,81	0,08
1:48:00	83	15,81	0,08
1:49:00	83	15,82	0,08
1:50:00	83	15,83	0,08
1:51:00	83	15,84	0,07
1:52:00	84	15,84	0,07
1:53:00	84	15,84	0,07
1:54:00	84	15,84	0,07
1:55:00	84	15,84	0,07
1:56:00	84	15,85	0,07
1:57:00	84	15,85	0,07
1:58:00	84	15,85	0,07
1:59:00	84	15,86	0,07
2:00:00	85	15,86	0,07
2:01:00	84	15,87	0,06
2:02:00	85	15,87	0,06
2:03:00	85	15,87	0,06
2:04:00	85	15,88	0,06
2:05:00	85	15,88	0,06
2:06:00	85	15,89	0,06
2:07:00	85	15,90	0,05
2:08:00	85	15,87	0,06
2:09:00	85	15,88	0,06
2:10:00	85	15,89	0,06
2:11:00	86	15,90	0,05
2:12:00	86	15,90	0,05
2:13:00	86	15,90	0,05
2:14:00	86	15,90	0,05
2:15:00	86	15,91	0,05
2:16:00	86	15,92	0,05
2:17:00	86	15,93	0,05
2:18:00	86	15,93	0,04
2:19:00	86	15,94	0,04
2:20:00	86	15,95	0,04
2:21:00	87	15,95	0,04
2:22:00	86	15,96	0,04
2:23:00	87	15,97	0,03
2:24:00	87	15,98	0,03
2:25:00	87	15,98	0,03
2:26:00	87	15,99	0,03
2:27:00	87	15,97	0,03
2:28:00	87	15,98	0,03
2:29:00	87	15,99	0,03
2:30:00	88	15,99	0,02
2:31:00	88	16,00	0,02
2:32:00	88	16,01	0,02
2:33:00	88	16,02	0,02
2:34:00	88	16,02	0,02
2:35:00	88	16,03	0,01
2:36:00	88	16,03	0,01
2:37:00	88	16,05	0,01
2:38:00	88	16,05	0,01
2:39:00	88	16,05	0,01
2:40:00	88	16,06	0,00
2:41:00	89	16,08	0,00
2:42:00	89	16,10	0,00
2:43:00	89	16,11	0,00
2:44:00	89	16,11	0,00
2:45:00	89	16,13	0,00
2:46:00	89	16,14	0,00
2:47:00	89	16,14	0,00
2:48:00	89	16,15	0,00
2:49:00	90	16,16	0,00
2:50:00	90	16,17	0,00
2:51:00	90	16,19	0,00
2:52:00	90	16,20	0,00
2:53:00	90	16,20	0,00
2:54:00	90	16,19	0,00
2:55:00	90	16,22	0,00
2:56:00	90	16,22	0,00
2:57:00	90	16,23	0,00
2:58:00	90	16,23	0,00
2:59:00	90	16,24	0,00
3:00:00	91	16,25	0,00
3:01:00	91	16,27	0,00
3:02:00	91	16,28	0,00
3:03:00	91	16,29	0,00
3:04:00	91	16,30	0,00
3:05:00	91	16,31	0,00
3:06:00	91	16,32	0,00
3:07:00	91	16,33	0,00
3:08:00	91	16,34	0,00
3:09:00	91	16,35	0,00
3:10:00	91	16,34	0,00
3:11:00	91	16,35	0,00
3:12:00	92	16,36	0,00
3:13:00	92	16,36	0,00
3:14:00	92	16,38	0,00
3:15:00	92	16,38	0,00
3:16:00	92	16,38	0,00
3:17:00	92	16,40	0,00
3:18:00	93	16,41	0,00
3:19:00	92	16,43	0,00
3:20:00	92	16,44	0,00
3:21:00	93	16,45	0,00
3:22:00	93	16,46	0,00
3:23:00	93	16,47	0,00
3:24:00	93	16,47	0,00
3:25:00	93	16,49	0,00
3:26:00	93	16,47	0,00
3:27:00	93	16,47	0,00
3:28:00	93	16,50	0,00
3:29:00	93	16,50	0,00
3:30:00	93	16,50	0,00
3:31:00	94	16,52	0,00
3:32:00	94	16,51	0,00
3:33:00	94	16,51	0,00
3:34:00	94	16,53	0,00
3:35:00	94	16,53	0,00
3:36:00	94	16,56	0,00
3:37:00	94	16,55	0,00
3:38:00	94	16,56	0,00
3:39:00	95	16,56	0,00
3:40:00	94	16,57	0,00
3:41:00	95	16,58	0,00
3:42:00	95	16,57	0,00
3:43:00	95	16,59	0,00
3:44:00	95	16,59	0,00
