--Test Summary--
Full Path and File Name	
Instrument Name	4262R
Instrument Type	Model 4262 Twin Cell UCA
Instrument Serial Number	111R
Test Start Date	16.10.2004
Test Start Time	4:34:15
Test Stop Date	19.10.2004
Test Stop Time	2:00:36
Test Length	69:26:21
Final Sample Time Offset	69:25:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	
Information	WellID	
Information	Customer	LUKoil-AIK
Information	CementClass	PCT-I-G
Information	CementMfr	Duckerhoff
Information	Additives	6%SMS+1%CD-12+0.4%R-7
Information	Density	1900
Information	BHCT	permofrost
Information	BHST	permofrost
Information	FluidLoss	
Information	JobType	Research
Calculated Value	CS_50	2:43:00
Calculated Value	CS_500	24:32:00
Calculated Value	CS_Time8h	0,67 MPa
Calculated Value	CS_Time16h	1,62 MPa
Calculated Value	CS_Time24h	3,25 MPa
Calculated Value	CS_Time48h	9,01 MPa
Calculated Value	CS_Time72h	N/A
Calculated Curve	Compressive Strength	Compressive strength type B (more than 14 lb/gal)
Initial Temperature (°C)	23 °C
Final Temperature (°C)	14 °C
Initial Transit Time (microsec/in)	15,72 microsec/in
Final Transit Time (microsec/in)	9,30 microsec/in
Initial Compressive Strength (MPa)	0,00 MPa
Final Compressive Strength (MPa)	11,71 MPa
--Data--
Time (HH:MM:SS)	Temperature (°C)	Transit Time (microsec/in)	Compressive Strength (MPa)
0:00:00	23	15,72	0,00
0:01:00	22	15,67	0,02
0:02:00	22	15,63	0,03
0:03:00	22	15,60	0,04
0:04:00	22	15,57	0,05
0:05:00	22	15,55	0,06
0:06:00	21	15,53	0,07
0:07:00	21	15,51	0,08
0:08:00	21	15,49	0,08
0:09:00	21	15,48	0,09
0:10:00	20	15,46	0,09
0:11:00	20	15,45	0,10
0:12:00	20	15,44	0,10
0:13:00	20	15,43	0,10
0:14:00	20	15,42	0,11
0:15:00	20	15,41	0,11
0:16:00	19	15,39	0,12
0:17:00	19	15,39	0,12
0:18:00	19	15,38	0,12
0:19:00	19	15,37	0,13
0:20:00	19	15,36	0,13
0:21:00	19	15,36	0,13
0:22:00	19	15,35	0,13
0:23:00	18	15,35	0,13
0:24:00	19	15,33	0,14
0:25:00	18	15,33	0,14
0:26:00	18	15,33	0,14
0:27:00	18	15,32	0,15
0:28:00	18	15,32	0,15
0:29:00	18	15,31	0,15
0:30:00	18	15,30	0,15
0:31:00	18	15,30	0,15
0:32:00	18	15,30	0,15
0:33:00	17	15,29	0,16
0:34:00	17	15,28	0,16
0:35:00	17	15,27	0,16
0:36:00	17	15,27	0,16
0:37:00	17	15,27	0,17
0:38:00	17	15,27	0,17
0:39:00	17	15,26	0,17
0:40:00	17	15,25	0,17
0:41:00	17	15,25	0,17
0:42:00	17	15,24	0,18
0:43:00	17	15,24	0,18
0:44:00	17	15,24	0,18
0:45:00	17	15,23	0,18
0:46:00	17	15,23	0,18
0:47:00	17	15,23	0,18
0:48:00	17	15,22	0,18
0:49:00	17	15,21	0,19
0:50:00	17	15,21	0,19
0:51:00	17	15,19	0,20
0:52:00	17	15,18	0,20
0:53:00	17	15,18	0,20
0:54:00	17	15,18	0,20
0:55:00	17	15,17	0,21
0:56:00	16	15,17	0,21
0:57:00	17	15,17	0,21
0:58:00	16	15,16	0,21
0:59:00	17	15,15	0,21
1:00:00	16	15,15	0,21
1:01:00	17	15,15	0,22
1:02:00	17	15,15	0,22
1:03:00	16	15,14	0,22
1:04:00	16	15,14	0,22
1:05:00	16	15,13	0,22
1:06:00	16	15,13	0,22
1:07:00	16	15,13	0,22
1:08:00	16	15,12	0,22
1:09:00	16	15,12	0,23
1:10:00	16	15,12	0,23
1:11:00	16	15,11	0,23
1:12:00	16	15,11	0,23
1:13:00	16	15,10	0,23
1:14:00	16	15,10	0,23
1:15:00	16	15,09	0,24
1:16:00	16	15,09	0,24
1:17:00	16	15,09	0,24
1:18:00	16	15,09	0,24
1:19:00	16	15,09	0,24
1:20:00	16	15,08	0,24
1:21:00	16	15,07	0,25
