--Test Summary--
Full Path and File Name	
Instrument Name	4262R
Instrument Type	Model 4262 Twin Cell UCA
Instrument Serial Number	111R
Test Start Date	17.05.2004
Test Start Time	14:11:57
Test Stop Date	18.05.2004
Test Stop Time	9:09:15
Test Length	18:57:18
Final Sample Time Offset	18:57:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	Shoe Depth - 75C(110min), dwell 80C, 24C(120min)
Information	WellID	
Information	Customer	ZAO "ROSPAN" & TNK-BP
Information	EngName	G
Information	CementClass	Dyckerhoff
Information	CementMfr	0.75%Gel+2%SMS+0.45%R-7
Information	Additives	1500
Information	Density	1.22
Information	BHCT	75
Information	BHST	96
Information	FluidLoss	
Information	JobType	
Calculated Value	CS_50	N/A
Calculated Value	CS_500	N/A
Calculated Value	CS_Time8h	N/A
Calculated Value	CS_Time16h	N/A
Calculated Value	CS_Time24h	N/A
Calculated Value	CS_Time48h	N/A
Calculated Value	CS_Time72h	N/A
Calculated Curve	Compressive Strength	Compressive strength type B (more than 14 lb/gal)
Initial Temperature (°C)	22 °C
Final Temperature (°C)	24 °C
Initial Transit Time (microsec/in)	ERROR
Final Transit Time (microsec/in)	ERROR
Initial Compressive Strength (MPa)	N/A
Final Compressive Strength (MPa)	N/A
--Data--
Time (HH:MM:SS)	Temperature (°C)	Transit Time (microsec/in)	Compressive Strength (MPa)
0:00:00	22		
0:01:00	22	18,79	0,00
0:02:00	22	18,81	0,00
0:03:00	22	18,80	0,00
0:04:00	23	18,80	0,00
0:05:00	23	18,78	0,00
0:06:00	23	18,77	0,00
0:07:00	24	18,76	0,00
0:08:00	24	18,76	0,00
0:09:00	24	18,76	0,00
0:10:00	25	18,75	0,01
0:11:00	26	18,74	0,01
0:12:00	26	18,73	0,01
0:13:00	27	18,72	0,01
0:14:00	27	18,72	0,01
0:15:00	28	18,71	0,01
0:16:00	28	18,69	0,01
0:17:00	29	18,69	0,01
0:18:00	30	18,67	0,02
0:19:00	30	18,66	0,02
0:20:00	31	18,66	0,02
0:21:00	31		
0:22:00	32		
0:23:00	32		
0:24:00	33		
0:25:00	34		
0:26:00	34	18,60	0,02
0:27:00	35	18,57	0,03
0:28:00	35	18,58	0,03
0:29:00	36	18,57	0,03
0:30:00	36	18,56	0,03
0:31:00	37	18,55	0,03
0:32:00	37	18,54	0,03
0:33:00	38	18,54	0,03
0:34:00	39	18,53	0,03
0:35:00	39	18,50	0,04
0:36:00	40	18,49	0,04
0:37:00	40	18,48	0,04
0:38:00	41	18,47	0,04
0:39:00	41	18,45	0,04
0:40:00	42	18,45	0,04
0:41:00	42	18,45	0,04
0:42:00	43	18,42	0,05
0:43:00	43	18,42	0,05
0:44:00	44	18,42	0,05
0:45:00	45	18,41	0,05
0:46:00	45	18,40	0,05
0:47:00	45	18,39	0,05
0:48:00	46	18,38	0,05
0:49:00	47	18,38	0,05
0:50:00	47	18,37	0,06
0:51:00	47	18,37	0,06
0:52:00	48	18,36	0,06
0:53:00	48	18,36	0,06
0:54:00	49	18,35	0,06
0:55:00	49	18,34	0,06
0:56:00	50	18,34	0,06
0:57:00	50	18,33	0,06
0:58:00	51	18,33	0,06
0:59:00	51	18,33	0,06
1:00:00	52	18,32	0,06
1:01:00	52	18,31	0,06
1:02:00	53	18,32	0,06
1:03:00	53	18,31	0,06
1:04:00	54	18,30	0,06
1:05:00	54	18,30	0,07
1:06:00	55	18,29	0,07
1:07:00	55	18,30	0,06
1:08:00	56	18,30	0,07
1:09:00	56	18,29	0,07
1:10:00	57	18,29	0,07
1:11:00	57	18,29	0,07
1:12:00	58	18,28	0,07
1:13:00	58	18,27	0,07
1:14:00	59	18,28	0,07
1:15:00	59	18,27	0,07
1:16:00	59	18,27	0,07
1:17:00	60	18,27	0,07
1:18:00	61	18,28	0,07
1:19:00	61	18,27	0,07
1:20:00	62	18,27	0,07
1:21:00	62	18,26	0,07
1:22:00	62	18,26	0,07
1:23:00	63	18,27	0,07
1:24:00	64	18,27	0,07
1:25:00	64	18,26	0,07
1:26:00	64	18,27	0,07
1:27:00	65	18,25	0,07
1:28:00	65	18,26	0,07
1:29:00	66	18,26	0,07
1:30:00	66	18,26	0,07
1:31:00	67	18,26	0,07
1:32:00	67	18,25	0,07
1:33:00	68	18,24	0,07
1:34:00	69	18,25	0,07
1:35:00	69	18,25	0,07
1:36:00	70	18,25	0,07
1:37:00	70	18,24	0,07
1:38:00	70	18,25	0,07
1:39:00	71	18,26	0,07
1:40:00	71	18,27	0,07
1:41:00	71	18,27	0,07
1:42:00	72	18,27	0,07
1:43:00	72	18,27	0,07
1:44:00	73	18,27	0,07
1:45:00	74	18,27	0,07
1:46:00	74	18,27	0,07
1:47:00	75	18,27	0,07
1:48:00	75	18,27	0,07
1:49:00	76	18,25	0,07
1:50:00	76	18,27	0,07
1:51:00	76	18,27	0,07
1:52:00	77	18,27	0,07
1:53:00	77	18,27	0,07
1:54:00	77	18,28	0,07
1:55:00	77	18,27	0,07
1:56:00	77	18,27	0,07
1:57:00	77	18,27	0,07
1:58:00	77	18,27	0,07
1:59:00	77	18,27	0,07
2:00:00	77	18,26	0,07
2:01:00	77	18,27	0,07
2:02:00	77	18,27	0,07
2:03:00	77	18,27	0,07
2:04:00	77	18,27	0,07
2:05:00	77	18,27	0,07
2:06:00	77	18,28	0,07
2:07:00	77	18,27	0,07
2:08:00	77	18,27	0,07
2:09:00	77	18,28	0,07
2:10:00	77	18,27	0,07
2:11:00	77	18,28	0,07
2:12:00	77	18,29	0,07
2:13:00	76	18,27	0,07
2:14:00	77	18,28	0,07
2:15:00	76	18,28	0,07
2:16:00	76	18,29	0,07
2:17:00	76	18,29	0,07
2:18:00	76		
2:19:00	76		
2:20:00	76		
2:21:00	76		
2:22:00	76		
2:23:00	76		
2:24:00	76		
2:25:00	76		
2:26:00	76		
2:27:00	76		
2:28:00	76		
2:29:00	76		
2:30:00	76		
2:31:00	75		
2:32:00	76		
2:33:00	75		
2:34:00	75		
2:35:00	75		
2:36:00	75		
2:37:00	75		
2:38:00	75		
2:39:00	75		
2:40:00	75		
2:41:00	75		
2:42:00	75		
2:43:00	75		
2:44:00	75		
2:45:00	75		
2:46:00	75		
2:47:00	75		
2:48:00	75		
2:49:00	75		
2:50:00	75		
2:51:00	75		
2:52:00	75		
2:53:00	75		
2:54:00	75		
2:55:00	75		
2:56:00	75		
2:57:00	75		
2:58:00	75		
2:59:00	75		
3:00:00	75		
3:01:00	75		
3:02:00	75		
3:03:00	75		
3:04:00	75		
3:05:00	75		
3:06:00	75		
3:07:00	75		
