--Test Summary--
Full Path and File Name	
Instrument Name	4262R
Instrument Type	Model 4262 Twin Cell UCA
Instrument Serial Number	111R
Test Start Date	12.11.2004
Test Start Time	4:50:16
Test Stop Date	13.11.2004
Test Stop Time	3:44:25
Test Length	22:54:09
Final Sample Time Offset	22:54:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	T: 26 (50 min), 31(min)
Information	WellID	
Information	Customer	
Information	CementClass	G
Information	CementMfr	Duckerhoff
Information	Additives	8%MS-AS+3%CaCl2+0.2%Rhodopol
Information	Density	1500
Information	BHCT	26
Information	BHST	31
Information	FluidLoss	
Information	JobType	Research
Calculated Value	CS_50	6:32:00
Calculated Value	CS_500	N/A
Calculated Value	CS_Time8h	0,66 MPa
Calculated Value	CS_Time16h	2,08 MPa
Calculated Value	CS_Time24h	N/A
Calculated Value	CS_Time48h	N/A
Calculated Value	CS_Time72h	N/A
Calculated Curve	Compressive Strength	Compressive strength type A (less than 14 lb/gal)
Initial Temperature (°C)	24 °C
Final Temperature (°C)	30 °C
Initial Transit Time (microsec/in)	15,96 microsec/in
Final Transit Time (microsec/in)	12,57 microsec/in
Initial Compressive Strength (MPa)	0,00 MPa
Final Compressive Strength (MPa)	2,94 MPa
--Data--
Time (HH:MM:SS)	Temperature (°C)	Transit Time (microsec/in)	Compressive Strength (MPa)
0:00:00	24	15,96	0,00
0:01:00	24	15,96	0,00
0:02:00	24	15,97	0,00
0:03:00	24	15,97	0,00
0:04:00	24	15,94	0,01
0:05:00	24	15,95	0,00
0:06:00	25	15,95	0,00
0:07:00	24	15,96	0,00
0:08:00	25	15,96	0,00
0:09:00	25	15,96	0,00
0:10:00	24	15,96	0,00
0:11:00	24	15,96	0,00
0:12:00	24	15,97	0,00
0:13:00	24	15,97	0,00
0:14:00	25	15,98	0,00
0:15:00	25	15,98	0,00
0:16:00	24	15,98	0,00
0:17:00	24	15,99	0,00
0:18:00	24	15,99	0,00
0:19:00	24	15,99	0,00
0:20:00	24	16,00	0,00
0:21:00	24	16,00	0,00
0:22:00	25	16,00	0,00
0:23:00	24	16,00	0,00
0:24:00	24	16,00	0,00
0:25:00	24	16,00	0,00
0:26:00	24	16,00	0,00
0:27:00	24	16,01	0,00
0:28:00	24	16,01	0,00
0:29:00	24	16,01	0,00
0:30:00	24	16,01	0,00
0:31:00	24	16,01	0,00
0:32:00	24	16,01	0,00
0:33:00	24	16,01	0,00
0:34:00	24	16,02	0,00
0:35:00	24	16,02	0,00
0:36:00	24	16,02	0,00
0:37:00	24	16,02	0,00
0:38:00	24	16,02	0,00
0:39:00	24	16,02	0,00
0:40:00	24	16,02	0,00
0:41:00	24	16,02	0,00
0:42:00	24	16,02	0,00
0:43:00	24	16,02	0,00
0:44:00	24	16,02	0,00
0:45:00	24	16,02	0,00
0:46:00	24	16,02	0,00
0:47:00	24	16,02	0,00
0:48:00	24	16,02	0,00
0:49:00	24	16,02	0,00
0:50:00	24	16,02	0,00
0:51:00	24	16,02	0,00
0:52:00	24	16,02	0,00
0:53:00	24	16,02	0,00
0:54:00	24	16,03	0,00
0:55:00	24	16,02	0,00
0:56:00	24	16,02	0,00
0:57:00	24	16,02	0,00
0:58:00	24	16,03	0,00
0:59:00	24	16,03	0,00
1:00:00	24	16,03	0,00
1:01:00	24	16,03	0,00
1:02:00	24	16,03	0,00
1:03:00	24	16,03	0,00
1:04:00	24	16,03	0,00
1:05:00	25	16,03	0,00
1:06:00	25	16,03	0,00
1:07:00	24	16,03	0,00
1:08:00	24	16,03	0,00
1:09:00	25	16,03	0,00
1:10:00	25	16,03	0,00
1:11:00	25	16,03	0,00
1:12:00	25	16,03	0,00
1:13:00	25	16,04	0,00
1:14:00	25	16,03	0,00
1:15:00	25	16,04	0,00
1:16:00	25	16,03	0,00
1:17:00	25	16,03	0,00
1:18:00	25	16,03	0,00
1:19:00	25	16,02	0,00
1:20:00	25	16,03	0,00
1:21:00	25	16,03	0,00
1:22:00	25	16,03	0,00
1:23:00	25	16,02	0,00
1:24:00	25	16,03	0,00
1:25:00	25	16,03	0,00
1:26:00	25	16,02	0,00
1:27:00	25	16,03	0,00
1:28:00	25	16,02	0,00
1:29:00	25	16,03	0,00
1:30:00	25	16,03	0,00
1:31:00	25	16,03	0,00
1:32:00	25	16,03	0,00
1:33:00	26	16,02	0,00
1:34:00	25	16,02	0,00
1:35:00	25	16,02	0,00
1:36:00	25	16,03	0,00
1:37:00	26	16,03	0,00
1:38:00	26	16,03	0,00
1:39:00	26	16,03	0,00
1:40:00	25	16,03	0,00
1:41:00	25	16,03	0,00
1:42:00	26	16,02	0,00
1:43:00	25	16,03	0,00
1:44:00	25	16,03	0,00
1:45:00	25	16,03	0,00
1:46:00	26	16,03	0,00
1:47:00	26	16,03	0,00
1:48:00	26	16,03	0,00
1:49:00	26	16,03	0,00
1:50:00	26	16,04	0,00
1:51:00	26	16,04	0,00
1:52:00	26	16,04	0,00
1:53:00	26	16,03	0,00
1:54:00	26	16,04	0,00
1:55:00	26	16,04	0,00
1:56:00	26	16,04	0,00
1:57:00	26	16,05	0,00
1:58:00	26	16,04	0,00
1:59:00	26	16,04	0,00
2:00:00	26	16,05	0,00
2:01:00	26	16,05	0,00
2:02:00	26	16,05	0,00
2:03:00	26	16,05	0,00
2:04:00	26	16,05	0,00
2:05:00	26	16,05	0,00
2:06:00	26	16,05	0,00
2:07:00	26	16,01	0,00
2:08:00	26	16,01	0,00
2:09:00	26	16,02	0,00
2:10:00	26	16,02	0,00
2:11:00	26	16,02	0,00
2:12:00	26	16,02	0,00
2:13:00	26	16,02	0,00
2:14:00	26	16,02	0,00
2:15:00	26	16,03	0,00
2:16:00	26	16,03	0,00
2:17:00	26	16,03	0,00
2:18:00	26	16,03	0,00
2:19:00	27	16,03	0,00
2:20:00	27	16,04	0,00
2:21:00	27	16,04	0,00
2:22:00	27	16,04	0,00
2:23:00	27	16,04	0,00
2:24:00	27	16,05	0,00
2:25:00	27	16,05	0,00
2:26:00	27	16,05	0,00
2:27:00	27	16,05	0,00
2:28:00	27	16,05	0,00
2:29:00	26	16,05	0,00
2:30:00	27	16,06	0,00
2:31:00	27	16,06	0,00
2:32:00	27	16,06	0,00
2:33:00	27	16,06	0,00
2:34:00	27	16,07	0,00
2:35:00	27	16,06	0,00
2:36:00	27	16,07	0,00
2:37:00	27	16,07	0,00
2:38:00	27	16,07	0,00
2:39:00	27	16,08	0,00
2:40:00	27	16,08	0,00
2:41:00	27	16,08	0,00
2:42:00	27	16,08	0,00
2:43:00	27	16,08	0,00
2:44:00	27	16,09	0,00
2:45:00	27	16,09	0,00
2:46:00	27	16,10	0,00
2:47:00	27	16,11	0,00
2:48:00	27	16,11	0,00
2:49:00	27	16,11	0,00
2:50:00	27	16,12	0,00
2:51:00	27	16,13	0,00
2:52:00	27	16,13	0,00
2:53:00	28	16,14	0,00
2:54:00	27	16,14	0,00
2:55:00	27	16,14	0,00
