--Test Summary--
Full Path and File Name	
Instrument Name	7222#1
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	113
Test Start Date	22.03.2005
Test Start Time	0:08:49
Test Stop Date	22.03.2005
Test Stop Time	4:32:55
Test Length	4:24:06
Final Sample Time Offset	4:24:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 103(60min), T: 80C(60min), field fresh water, premix all additives,   
Information	WellID	LAM 16
Information	Customer	Dragon
Information	CementClass	PCT-I-G
Information	CementMfr	Duckerhoff
Information	Additives	1.464gpsLX-200+55%Hem+1.3%RPM+1%HTR-100
Information	Density	2300
Information	BHCT	80
Information	BHST	100
Information	FluidLoss	
Information	JobType	Liner
Calculated Value	30Bc - TT	N/A
Calculated Value	70Bc - TT	N/A
Calculated Value	100Bc - TT	N/A
Initial Temperature (°C)	24 °C
Final Temperature (°C)	80 °C
Initial Pressure (MPa)	1,5 MPa
Final Pressure (MPa)	103,5 MPa
Initial Consistency (Bc)	8 Bc
Final Consistency (Bc)	22 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	24	1,5	8
0:01:00	23	3,5	14
0:02:00	23	5,4	16
0:03:00	23	6,8	12
0:04:00	23	8,5	25
0:05:00	24	10,4	25
0:06:00	25	12,1	13
0:07:00	26	13,6	22
0:08:00	27	15,4	8
0:09:00	29	16,9	13
0:10:00	30	18,8	11
0:11:00	32	20,4	7
0:12:00	33	22,0	6
0:13:00	35	24,0	6
0:14:00	36	25,3	6
0:15:00	37	27,2	5
0:16:00	39	28,7	5
0:17:00	40	30,5	4
0:18:00	41	32,3	4
0:19:00	42	34,0	6
0:20:00	43	35,4	5
0:21:00	44	37,2	6
0:22:00	45	38,7	6
0:23:00	45	40,5	6
0:24:00	46	42,1	6
0:25:00	47	43,8	6
0:26:00	48	45,5	7
0:27:00	49	47,2	7
0:28:00	50	49,0	7
0:29:00	51	50,6	7
0:30:00	52	52,5	8
0:31:00	53	54,2	7
0:32:00	54	56,1	8
0:33:00	54	57,3	8
0:34:00	55	59,2	9
0:35:00	56	60,9	8
0:36:00	57	62,4	8
0:37:00	58	64,1	8
0:38:00	59	65,9	8
0:39:00	60	67,5	8
0:40:00	61	69,1	8
0:41:00	62	70,8	9
0:42:00	63	72,6	9
0:43:00	64	74,4	9
0:44:00	65	75,8	7
0:45:00	66	77,6	8
0:46:00	67	79,1	8
0:47:00	68	80,8	10
0:48:00	69	82,7	9
0:49:00	70	84,3	9
0:50:00	71	86,1	9
0:51:00	71	87,4	8
0:52:00	72	89,3	8
0:53:00	73	91,2	8
0:54:00	74	92,9	8
0:55:00	75	94,2	8
0:56:00	76	95,9	8
0:57:00	77	97,7	8
0:58:00	78	99,3	8
0:59:00	79	100,9	9
1:00:00	80	102,7	9
1:01:00	81	103,6	9
