--Test Summary--
Full Path and File Name	
Instrument Name	7222#1
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	113
Test Start Date	22.03.2005
Test Start Time	5:23:52
Test Stop Date	22.03.2005
Test Stop Time	20:38:06
Test Length	15:14:14
Final Sample Time Offset	15:14:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 103(60min), T: 80C(60min), field fresh water, premix all additives,   1.464gpsLX-200+65.35%Hematite+1%DiacelRPM+0.7%HTR-100, MWCR=0.47
Information	WellID	LAM 16
Information	Customer	Dragon
Information	CementClass	PCT-I-G
Information	CementMfr	Duckerhoff
Information	Additives	1.464gpsLX-200+65.35%Hematite+
Information	Density	2300
Information	BHCT	80
Information	BHST	100
Information	FluidLoss	
Information	JobType	Liner
Calculated Value	30Bc - TT	2:45:00
Calculated Value	70Bc - TT	2:56:00
Calculated Value	100Bc - TT	3:06:00
Initial Temperature (°C)	24 °C
Final Temperature (°C)	24 °C
Initial Pressure (MPa)	1,9 MPa
Final Pressure (MPa)	3,8 MPa
Initial Consistency (Bc)	11 Bc
Final Consistency (Bc)	9 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	24	1,9	11
0:01:00	24	3,7	5
0:02:00	24	5,4	8
0:03:00	24	7,2	6
0:04:00	24	9,0	9
0:05:00	25	10,5	8
0:06:00	26	12,1	9
0:07:00	27	14,0	11
0:08:00	28	15,7	8
0:09:00	30	17,1	8
0:10:00	31	18,9	6
0:11:00	33	20,5	7
0:12:00	34	22,3	7
0:13:00	36	23,8	7
0:14:00	37	25,5	7
0:15:00	39	27,5	8
0:16:00	40	29,2	11
0:17:00	41	30,6	7
0:18:00	42	32,2	12
0:19:00	43	34,0	8
0:20:00	43	35,9	7
0:21:00	44	37,5	9
0:22:00	45	39,0	9
0:23:00	46	40,6	7
0:24:00	47	42,4	9
0:25:00	48	44,0	7
0:26:00	48	45,8	8
0:27:00	49	47,5	10
0:28:00	50	49,2	8
0:29:00	51	50,9	9
0:30:00	52	52,7	12
0:31:00	53	54,5	10
0:32:00	54	55,9	8
0:33:00	55	57,5	8
0:34:00	56	59,3	11
0:35:00	57	60,9	12
0:36:00	58	62,5	10
0:37:00	59	64,2	9
0:38:00	60	66,1	9
0:39:00	60	67,9	10
0:40:00	61	69,3	8
0:41:00	62	71,3	11
0:42:00	63	72,8	10
0:43:00	64	74,4	8
0:44:00	65	75,9	9
0:45:00	66	77,6	10
0:46:00	67	79,4	8
0:47:00	68	81,1	8
0:48:00	69	83,1	8
0:49:00	70	84,5	9
0:50:00	71	86,3	9
0:51:00	72	87,7	9
0:52:00	73	89,3	8
0:53:00	73	91,1	8
0:54:00	74	92,9	8
0:55:00	75	94,6	8
0:56:00	76	96,5	8
0:57:00	77	98,0	8
0:58:00	78	99,6	8
0:59:00	79	101,4	10
1:00:00	80	102,9	12
1:01:00	81	103,7	11
1:02:00	82	103,9	10
1:03:00	82	103,7	8
1:04:00	83	103,5	7
1:05:00	83	103,4	7
1:06:00	83	103,1	8
1:07:00	83	103,0	10
1:08:00	83	103,3	8
1:09:00	82	103,1	9
1:10:00	82	103,1	9
1:11:00	82	103,3	8
1:12:00	82	103,2	8
1:13:00	81	103,1	7
1:14:00	81	103,2	7
1:15:00	81	103,2	7
1:16:00	81	103,2	7
1:17:00	81	103,1	7
1:18:00	81	103,2	7
1:19:00	81	103,2	7
