--Test Summary--
Full Path and File Name	
Instrument Name	7222#1
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	113
Test Start Date	20.06.2005
Test Start Time	21:19:43
Test Stop Date	21.06.2005
Test Stop Time	5:46:43
Test Length	8:27:00
Final Sample Time Offset	8:27:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 70 (60 min), T:90 (40 min), 110 (30 min), all premix
Information	WellID	
Information	Customer	Dragon
Information	CementClass	PCT-I-G
Information	CementMfr	Duckerhoff
Information	Additives	2LX+45Hem+0.5RPM+0.4SF+0.4HT
Information	Density	2300
Information	BHCT	110
Information	BHST	
Information	FluidLoss	
Information	JobType	Research
Calculated Value	30Bc - TT	8:10:00
Calculated Value	70Bc - TT	8:27:00
Calculated Value	100Bc - TT	N/A
Initial Temperature (°C)	24 °C
Final Temperature (°C)	110 °C
Initial Pressure (MPa)	1,1 MPa
Final Pressure (MPa)	70,2 MPa
Initial Consistency (Bc)	19 Bc
Final Consistency (Bc)	89 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	24	1,1	19
0:01:00	25	2,6	9
0:02:00	25	3,6	9
0:03:00	26	5,0	14
0:04:00	27	6,7	19
0:05:00	28	7,6	18
0:06:00	30	8,8	15
0:07:00	32	10,1	10
0:08:00	34	11,3	12
0:09:00	36	12,4	15
0:10:00	38	13,3	11
0:11:00	40	14,3	11
0:12:00	42	15,7	12
0:13:00	44	16,3	13
0:14:00	45	17,7	11
0:15:00	47	19,1	11
0:16:00	49	19,6	15
0:17:00	51	21,0	10
0:18:00	52	22,4	11
0:19:00	54	23,2	10
0:20:00	56	24,7	10
0:21:00	57	25,4	17
0:22:00	59	26,9	11
0:23:00	61	27,6	19
0:24:00	62	29,0	10
0:25:00	64	30,3	11
0:26:00	66	31,7	11
0:27:00	68	32,9	11
0:28:00	69	33,4	14
0:29:00	71	34,9	12
0:30:00	73	35,7	12
0:31:00	75	36,8	11
0:32:00	76	38,0	11
0:33:00	78	39,2	11
0:34:00	80	40,6	11
0:35:00	81	41,8	12
0:36:00	83	42,7	12
0:37:00	84	44,0	12
0:38:00	86	44,9	14
0:39:00	88	46,3	12
0:40:00	89	47,5	11
0:41:00	91	48,4	7
0:42:00	93	49,1	12
0:43:00	94	50,3	11
0:44:00	95	51,3	12
0:45:00	96	52,3	13
0:46:00	97	53,5	13
0:47:00	98	54,7	7
0:48:00	98	55,8	11
0:49:00	99	57,0	14
0:50:00	99	58,0	16
0:51:00	99	59,1	17
0:52:00	100	60,3	15
0:53:00	100	61,4	16
0:54:00	101	62,6	17
0:55:00	101	63,6	15
0:56:00	102	64,8	16
0:57:00	102	66,1	17
0:58:00	103	67,0	15
0:59:00	103	68,2	14
1:00:00	104	69,4	16
1:01:00	105	70,4	16
1:02:00	105	70,9	16
1:03:00	106	70,9	16
1:04:00	107	70,8	16
1:05:00	107	70,9	16
1:06:00	108	70,7	16
1:07:00	108	70,5	16
1:08:00	109	70,6	16
1:09:00	110	70,6	15
1:10:00	110	70,4	15
1:11:00	111	70,8	15
1:12:00	112	71,1	15
1:13:00	112	70,3	15
1:14:00	113	70,2	15
1:15:00	113	70,0	14
1:16:00	113	70,1	15
1:17:00	113	70,2	15
1:18:00	113	70,1	15
1:19:00	113	70,0	15
1:20:00	112	70,1	15
1:21:00	112	70,2	15
1:22:00	112	70,1	15
1:23:00	112	70,0	15
