--Test Summary--
Full Path and File Name	
Instrument Name	7222#1
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	113
Test Start Date	17.06.2005
Test Start Time	0:35:14
Test Stop Date	17.06.2005
Test Stop Time	2:24:14
Test Length	1:49:00
Final Sample Time Offset	1:49:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 70(60 min), T: 90(40 min), 110(30 min), all premix
Information	WellID	
Information	Customer	Dragon
Information	CementClass	G
Information	CementMfr	Duckerhoff
Information	Additives	2%LX-200+0.5%RPM+0.35%HTR-100+45%Hematite+0.2%SF-100
Information	Density	2300
Information	BHCT	110
Information	BHST	
Information	FluidLoss	
Information	JobType	Research
Calculated Value	30Bc - TT	1:00:00
Calculated Value	70Bc - TT	1:49:00
Calculated Value	100Bc - TT	N/A
Initial Temperature (°C)	27 °C
Final Temperature (°C)	55 °C
Initial Pressure (MPa)	0,7 MPa
Final Pressure (MPa)	8,4 MPa
Initial Consistency (Bc)	9 Bc
Final Consistency (Bc)	72 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	27	0,7	9
0:01:00	27	1,9	10
0:02:00	27	2,9	9
0:03:00	27	4,5	9
0:04:00	27	6,2	9
0:05:00	28	7,5	9
0:06:00	30	8,4	10
0:07:00	32	9,3	10
0:08:00	34	10,8	11
0:09:00	36	11,7	11
0:10:00	38	13,0	10
0:11:00	40	14,1	10
0:12:00	42	15,2	10
0:13:00	44	16,2	10
0:14:00	46	17,2	9
0:15:00	48	18,3	9
0:16:00	49	19,3	9
0:17:00	51	20,4	9
0:18:00	52	21,5	9
0:19:00	54	22,6	9
0:20:00	55	23,9	9
0:21:00	56	25,2	9
0:22:00	58	26,1	9
0:23:00	59	27,1	9
0:24:00	61	28,4	9
0:25:00	62	29,6	9
0:26:00	64	30,9	9
0:27:00	65	31,9	9
0:28:00	66	32,9	9
0:29:00	68	34,0	9
0:30:00	69	35,2	9
0:31:00	71	36,2	8
0:32:00	72	37,4	9
0:33:00	74	38,3	9
0:34:00	75	39,5	9
0:35:00	77	40,6	9
0:36:00	78	41,7	9
0:37:00	79	43,0	9
0:38:00	81	44,2	9
0:39:00	82	45,4	9
0:40:00	84	46,6	9
0:41:00	85	47,6	9
0:42:00	86	48,5	9
0:43:00	88	49,8	9
0:44:00	89	50,8	9
0:45:00	90	52,1	9
0:46:00	91	53,2	9
0:47:00	92	54,2	10
0:48:00	93	55,4	10
0:49:00	94	56,5	17
0:50:00	94	57,6	16
0:51:00	95	58,9	22
0:52:00	96	59,9	18
0:53:00	97	61,2	15
0:54:00	97	62,1	12
0:55:00	98	63,2	12
0:56:00	99	64,4	12
0:57:00	99	65,5	17
0:58:00	100	66,6	30
0:59:00	101	67,7	32
1:00:00	102	68,8	44
1:01:00	102	70,1	26
1:02:00	103	70,7	32
1:03:00	104	70,8	17
1:04:00	105	71,0	13
1:05:00	105	70,8	20
1:06:00	106	71,0	25
1:07:00	107	70,6	15
1:08:00	108	70,8	12
1:09:00	109	71,0	11
1:10:00	110	70,7	11
1:11:00	110	70,9	11
1:12:00	111	70,7	11
1:13:00	112	70,7	12
1:14:00	112	70,8	11
1:15:00	113	70,5	11
1:16:00	113	69,9	30
1:17:00	113	70,0	39
1:18:00	114	70,2	37
1:19:00	114	69,9	37
1:20:00	115	69,9	-0
1:21:00	115	68,7	70
1:22:00	114	65,0	43
1:23:00	114	60,5	29
1:24:00	113	56,0	29
1:25:00	112	51,7	42
1:26:00	111	47,7	89
1:27:00	109	44,0	51
1:28:00	107	40,5	29
1:29:00	105	37,3	43
1:30:00	103	34,5	51
1:31:00	100	31,8	46
1:32:00	97	29,3	48
1:33:00	95	27,1	52
1:34:00	92	25,1	59
1:35:00	89	23,2	56
1:36:00	86	21,6	30
1:37:00	83	20,0	33
1:38:00	80	18,6	72
1:39:00	77	17,3	54
1:40:00	75	16,1	45
1:41:00	72	14,9	33
1:42:00	70	13,9	40
1:43:00	67	12,9	73
1:44:00	65	12,0	60
1:45:00	63	11,2	66
1:46:00	61	10,4	61
1:47:00	58	9,7	43
1:48:00	57	9,1	74
1:49:00	55	8,4	72
