--Test Summary--
Full Path and File Name	
Instrument Name	7222#1
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	113
Test Start Date	08.11.2005
Test Start Time	22:41:42
Test Stop Date	09.11.2005
Test Stop Time	1:46:51
Test Length	3:05:09
Final Sample Time Offset	3:05:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 10(30min), T:25C(30min), tap water, dry blending
Information	WellID	6-11 vz
Information	Customer	LUK-AIK
Information	CementClass	A
Information	CementMfr	Sukhoy Log
Information	Additives	3%CaCl2
Information	Density	1850
Information	BHCT	25
Information	BHST	25
Information	FluidLoss	n/a
Information	JobType	426 mm production csg.
Calculated Value	30Bc - TT	0:01:00
Calculated Value	70Bc - TT	N/A
Calculated Value	100Bc - TT	N/A
Initial Temperature (°C)	33 °C
Final Temperature (°C)	25 °C
Initial Pressure (MPa)	1,8 MPa
Final Pressure (MPa)	9,9 MPa
Initial Consistency (Bc)	38 Bc
Final Consistency (Bc)	67 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	33	1,8	38
0:01:00	33	2,3	38
0:02:00	32	2,7	32
0:03:00	32	2,7	33
0:04:00	32	3,0	30
0:05:00	32	3,4	30
0:06:00	32	3,5	30
0:07:00	32	4,2	30
0:08:00	31	4,2	29
0:09:00	31	4,4	29
0:10:00	31	4,6	29
0:11:00	30	5,2	29
0:12:00	30	5,4	29
0:13:00	30	5,6	29
0:14:00	29	5,9	29
0:15:00	29	6,2	29
0:16:00	29	6,5	29
0:17:00	29	6,8	30
0:18:00	28	7,1	29
0:19:00	28	7,3	29
0:20:00	28	7,2	29
0:21:00	28	7,5	29
0:22:00	27	7,8	29
0:23:00	27	8,1	29
0:24:00	27	8,4	29
0:25:00	27	8,8	29
0:26:00	27	9,1	28
0:27:00	27	9,4	28
0:28:00	27	9,8	28
0:29:00	26	9,6	28
0:30:00	26	9,9	28
0:31:00	26	10,3	28
0:32:00	26	10,2	28
0:33:00	26	10,0	28
0:34:00	26	10,4	28
0:35:00	26	10,2	28
0:36:00	25	10,0	28
0:37:00	25	10,3	28
0:38:00	25	10,0	28
0:39:00	25	10,4	29
0:40:00	25	10,1	29
0:41:00	25	10,6	29
0:42:00	25	10,5	29
0:43:00	24	10,1	31
0:44:00	24	10,0	40
0:45:00	24	10,3	31
0:46:00	24	10,5	29
0:47:00	24	10,6	29
0:48:00	24	10,8	28
0:49:00	24	10,9	28
0:50:00	24	10,7	28
0:51:00	24	10,7	28
0:52:00	24	10,8	28
0:53:00	24	10,8	28
