--Test Summary--
Full Path and File Name	
Instrument Name	7222#1
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	113
Test Start Date	09.02.2005
Test Start Time	3:48:03
Test Stop Date	09.02.2005
Test Stop Time	10:16:03
Test Length	6:28:00
Final Sample Time Offset	6:28:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 24 (70 min); T:55 (70 min)
Information	WellID	2480/21198
Information	Customer	TNK-Nizhnevartovsk
Information	CementClass	PCT-I-G
Information	CementMfr	Duckerhoff
Information	Additives	1.25%Gel+1.25%SMS+0.25%R-7
Information	Density	1500
Information	BHCT	65
Information	BHST	55
Information	FluidLoss	
Information	JobType	168 Prod. csg.Lead Slurry
Calculated Value	30Bc - TT	0:01:00
Calculated Value	70Bc - TT	6:28:00
Calculated Value	100Bc - TT	N/A
Initial Temperature (°C)	28 °C
Final Temperature (°C)	56 °C
Initial Pressure (MPa)	1,1 MPa
Final Pressure (MPa)	24,1 MPa
Initial Consistency (Bc)	52 Bc
Final Consistency (Bc)	87 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	28	1,1	52
0:01:00	28	2,2	39
0:02:00	28	2,7	35
0:03:00	29	3,1	34
0:04:00	29	3,6	36
0:05:00	29	4,2	31
0:06:00	29	4,6	30
0:07:00	29	5,1	28
0:08:00	29	5,3	26
0:09:00	30	5,4	34
0:10:00	30	5,8	31
0:11:00	30	6,2	33
0:12:00	31	6,5	24
0:13:00	31	6,8	23
0:14:00	32	7,0	32
0:15:00	32	7,3	35
0:16:00	33	7,8	30
0:17:00	33	8,2	24
0:18:00	34	8,3	53
0:19:00	34	8,6	28
0:20:00	35	8,9	30
0:21:00	36	9,3	30
0:22:00	36	9,6	26
0:23:00	37	9,7	33
0:24:00	38	9,8	33
0:25:00	38	9,8	33
0:26:00	39	10,1	27
0:27:00	40	10,5	24
0:28:00	41	11,0	31
0:29:00	41	11,2	22
0:30:00	42	11,2	22
0:31:00	43	11,8	21
0:32:00	43	12,0	20
0:33:00	44	12,5	22
0:34:00	44	12,6	20
0:35:00	44	13,1	23
0:36:00	45	13,3	23
0:37:00	45	13,5	22
0:38:00	45	14,1	29
0:39:00	45	14,4	23
0:40:00	45	14,6	24
0:41:00	45	14,9	22
0:42:00	45	15,2	22
0:43:00	46	15,4	23
0:44:00	45	15,7	21
0:45:00	45	16,2	24
0:46:00	45	16,6	31
0:47:00	45	16,6	24
0:48:00	45	17,4	24
0:49:00	45	17,9	34
0:50:00	45	17,9	49
0:51:00	45	18,8	33
0:52:00	45	19,1	35
0:53:00	45	19,5	28
0:54:00	45	19,1	25
0:55:00	45	19,8	29
0:56:00	45	19,6	32
0:57:00	45	20,3	29
0:58:00	45	20,3	28
0:59:00	46	21,3	36
1:00:00	46	21,1	40
1:01:00	47	22,1	30
1:02:00	47	21,8	35
1:03:00	48	22,4	28
1:04:00	49	23,0	28
1:05:00	50	22,3	38
1:06:00	51	23,0	31
1:07:00	52	23,2	31
1:08:00	53	24,2	29
1:09:00	54	23,9	34
1:10:00	56	24,2	27
1:11:00	57	24,3	29
1:12:00	58	24,2	33
1:13:00	60	24,0	35
1:14:00	61	23,8	54
1:15:00	62	24,1	31
1:16:00	63	23,9	28
1:17:00	64	24,1	29
1:18:00	65	23,9	29
1:19:00	66	23,9	25
1:20:00	67	24,2	26
1:21:00	68	24,3	21
1:22:00	68	24,1	23
