--Test Summary--
Full Path and File Name	
Instrument Name	7222#1
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	113
Test Start Date	26.08.2005
Test Start Time	21:01:40
Test Stop Date	27.08.2005
Test Stop Time	0:17:41
Test Length	3:16:01
Final Sample Time Offset	3:16:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 37(37), T:63(37), Sq Time: 1:15-running, 0:20-stop, 1:00-running
Information	WellID	52/5234
Information	Customer	LUK-AIK
Information	CementClass	PCT-I-G
Information	CementMfr	Duckerhoff
Information	Additives	0.5%FL+0.5%RPM+1%TA-1
Information	Density	1920
Information	BHCT	63
Information	BHST	80
Information	FluidLoss	
Information	JobType	146 mm Production csg.
Calculated Value	30Bc - TT	3:08:00
Calculated Value	70Bc - TT	3:16:00
Calculated Value	100Bc - TT	N/A
Initial Temperature (°C)	25 °C
Final Temperature (°C)	63 °C
Initial Pressure (MPa)	1,5 MPa
Final Pressure (MPa)	37,3 MPa
Initial Consistency (Bc)	12 Bc
Final Consistency (Bc)	71 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	25	1,5	12
0:01:00	25	3,0	18
0:02:00	25	3,8	14
0:03:00	25	4,7	16
0:04:00	26	5,6	15
0:05:00	27	6,7	17
0:06:00	28	7,7	16
0:07:00	29	8,7	12
0:08:00	30	9,5	15
0:09:00	32	10,5	14
0:10:00	33	11,4	15
0:11:00	35	12,4	13
0:12:00	36	13,2	14
0:13:00	37	14,5	17
0:14:00	38	15,2	14
0:15:00	40	16,3	28
0:16:00	41	17,0	17
0:17:00	42	17,9	13
0:18:00	43	19,1	13
0:19:00	44	19,9	12
0:20:00	45	20,8	15
0:21:00	46	22,0	13
0:22:00	47	22,8	15
0:23:00	48	23,6	12
0:24:00	49	24,9	13
0:25:00	50	25,6	15
0:26:00	51	26,6	12
0:27:00	52	27,4	12
0:28:00	53	28,6	13
0:29:00	54	29,4	12
0:30:00	55	30,6	18
0:31:00	56	31,3	17
0:32:00	57	32,1	19
0:33:00	58	33,3	15
0:34:00	59	34,1	18
0:35:00	60	35,0	14
0:36:00	61	36,0	14
0:37:00	62	37,1	15
0:38:00	63	37,5	13
0:39:00	64	37,6	12
0:40:00	65	37,5	10
0:41:00	65	37,3	16
0:42:00	65	37,2	13
0:43:00	65	37,0	10
0:44:00	65	37,2	11
0:45:00	65	37,0	12
0:46:00	65	36,9	12
0:47:00	65	37,3	10
0:48:00	64	37,2	12
0:49:00	64	37,1	13
0:50:00	64	36,9	15
0:51:00	64	37,0	12
0:52:00	64	36,9	13
0:53:00	63	37,0	10
0:54:00	63	37,0	11
0:55:00	63	37,0	10
0:56:00	63	37,0	9
0:57:00	63	37,0	9
0:58:00	63	37,0	10
0:59:00	63	37,1	10
1:00:00	63	37,1	10
1:01:00	63	37,1	12
1:02:00	63	37,2	11
1:03:00	63	37,2	12
1:04:00	63	37,1	10
1:05:00	63	37,2	11
1:06:00	63	37,3	10
1:07:00	63	37,2	9
1:08:00	63	37,3	9
1:09:00	63	37,2	8
1:10:00	63	37,3	8
1:11:00	63	37,2	8
1:12:00	63	37,2	9
1:13:00	63	37,3	9
1:14:00	63	37,3	9
1:15:00	63	37,3	9
1:16:00	63	37,3	9
1:17:00	63	37,3	8
1:18:00	63	37,3	8
1:19:00	63	37,4	8
1:20:00	63	37,3	6
1:21:00	63	37,5	6
1:22:00	63	37,7	6
1:23:00	63	37,8	5
1:24:00	63	37,8	6
1:25:00	63	37,8	6
1:26:00	63	37,8	6
1:27:00	63	37,8	6
1:28:00	63	37,7	6
1:29:00	63	37,6	6
1:30:00	63	37,5	6
1:31:00	64	37,3	10
1:32:00	64	37,1	9
1:33:00	64	37,3	29
