--Test Summary--
Full Path and File Name	
Instrument Name	7222#1
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	113
Test Start Date	13.04.2005
Test Start Time	20:34:45
Test Stop Date	14.04.2005
Test Stop Time	0:15:03
Test Length	3:40:18
Final Sample Time Offset	3:40:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa:33(35).T:60(35)
Information	WellID	
Information	Customer	New Urengoy
Information	CementClass	G
Information	CementMfr	Duckerhoff
Information	Additives	1.0%PVA+0.015%NTF
Information	Density	2020
Information	BHCT	60
Information	BHST	
Information	FluidLoss	70cc/30 min
Information	JobType	Research
Calculated Value	30Bc - TT	0:09:00
Calculated Value	70Bc - TT	N/A
Calculated Value	100Bc - TT	N/A
Initial Temperature (°C)	28 °C
Final Temperature (°C)	62 °C
Initial Pressure (MPa)	2,1 MPa
Final Pressure (MPa)	33,1 MPa
Initial Consistency (Bc)	8 Bc
Final Consistency (Bc)	2 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	28	2,1	8
0:01:00	28	3,3	20
0:02:00	28	4,4	5
0:03:00	28	5,4	19
0:04:00	28	6,7	39
0:05:00	28	7,6	5
0:06:00	28	8,3	27
0:07:00	28	9,2	14
0:08:00	28	9,9	47
0:09:00	28	11,0	32
0:10:00	29	12,0	17
0:11:00	29	12,6	6
0:12:00	30	13,9	6
0:13:00	31	14,1	2
0:14:00	33	15,6	2
0:15:00	34	15,9	2
0:16:00	36	17,2	3
0:17:00	38	18,1	2
0:18:00	40	18,4	3
0:19:00	42	19,1	2
0:20:00	45	20,6	5
0:21:00	47	21,5	4
0:22:00	50	22,0	2
0:23:00	53	22,9	3
0:24:00	55	23,6	2
0:25:00	58	24,4	2
0:26:00	61	25,3	2
0:27:00	63	26,1	2
0:28:00	65	27,1	4
0:29:00	67	28,0	4
0:30:00	69	28,8	2
0:31:00	70	29,9	2
0:32:00	71	30,5	2
0:33:00	72	31,7	2
0:34:00	72	32,3	2
0:35:00	73	32,9	2
0:36:00	73	33,0	2
0:37:00	73	33,1	3
0:38:00	72	33,2	3
0:39:00	72	33,1	4
0:40:00	72	33,1	5
0:41:00	71	33,0	2
0:42:00	71	33,1	2
0:43:00	70	33,1	4
0:44:00	70	33,1	4
0:45:00	69	33,2	2
0:46:00	69	33,2	5
0:47:00	68	33,0	3
0:48:00	68	33,0	2
0:49:00	67	33,1	2
0:50:00	67	33,2	2
0:51:00	66	33,0	4
0:52:00	66	33,1	2
0:53:00	65	33,3	4
0:54:00	65	33,1	2
0:55:00	64	33,2	4
0:56:00	64	33,1	2
0:57:00	64	33,2	3
0:58:00	63	33,0	2
0:59:00	63	33,1	3
1:00:00	62	33,0	6
1:01:00	62	33,2	2
1:02:00	62	33,0	2
1:03:00	61	33,1	3
1:04:00	61	33,1	2
1:05:00	61	33,2	2
1:06:00	60	33,0	4
1:07:00	60	33,3	2
1:08:00	60	33,1	4
1:09:00	60	32,9	5
1:10:00	59	33,2	2
1:11:00	59	33,3	2
1:12:00	59	33,5	2
1:13:00	59	33,8	2
1:14:00	58	33,7	3
1:15:00	58	33,6	2
1:16:00	58	33,4	2
1:17:00	58	33,9	2
1:18:00	58	33,9	2
1:19:00	58	33,7	2
1:20:00	58	33,8	2
1:21:00	58	33,7	2
1:22:00	58	33,7	2
1:23:00	58	33,6	4
1:24:00	58	33,6	2
1:25:00	58	32,5	3
1:26:00	59	33,5	2
1:27:00	59	33,9	2
1:28:00	59	33,3	3
1:29:00	60	33,2	4
1:30:00	60	33,2	5
1:31:00	61	33,0	2
1:32:00	61	32,9	2
1:33:00	61	33,2	4
1:34:00	62	33,2	2
1:35:00	62	33,1	2
1:36:00	62	32,9	3
1:37:00	63	33,2	2
1:38:00	63	33,0	3
1:39:00	63	33,2	2
1:40:00	63	33,0	2
1:41:00	63	33,2	2
1:42:00	63	33,0	3
1:43:00	63	33,1	2
1:44:00	62	33,0	2
1:45:00	62	33,3	2
1:46:00	62	33,0	2
1:47:00	62	33,0	2
1:48:00	62	33,2	2
1:49:00	62	33,0	3
1:50:00	61	32,9	2
1:51:00	61	33,1	2
1:52:00	61	33,0	2
1:53:00	61	33,3	4
1:54:00	60	33,1	2
1:55:00	60	33,0	2
1:56:00	60	33,0	3
1:57:00	60	33,2	2
1:58:00	60	33,1	3
1:59:00	60	33,1	2
2:00:00	59	33,1	4
2:01:00	59	33,2	2
2:02:00	59	33,4	2
2:03:00	59	33,6	3
2:04:00	59	33,9	2
2:05:00	59	33,5	2
2:06:00	58	33,9	4
2:07:00	58	33,6	3
2:08:00	58	33,5	2
2:09:00	58	34,0	4
2:10:00	58	33,8	4
2:11:00	58	33,6	3
2:12:00	58	33,9	3
2:13:00	59	33,7	4
2:14:00	59	33,4	2
2:15:00	59	33,8	3
2:16:00	59	33,2	2
2:17:00	59	33,5	4
2:18:00	60	33,6	4
2:19:00	60	33,6	2
2:20:00	60	33,5	5
2:21:00	61	33,2	3
2:22:00	61	33,0	2
2:23:00	61	33,3	2
2:24:00	61	33,1	2
2:25:00	62	33,1	2
2:26:00	62	33,1	2
2:27:00	62	33,3	2
2:28:00	62	33,0	3
2:29:00	62	33,2	3
2:30:00	62	33,0	4
2:31:00	62	33,2	2
2:32:00	62	32,9	5
2:33:00	62	33,3	2
2:34:00	62	33,0	2
2:35:00	62	33,1	2
2:36:00	62	33,2	3
2:37:00	61	33,1	2
2:38:00	61	33,0	3
2:39:00	61	33,2	2
2:40:00	61	33,1	2
2:41:00	61	33,0	3
2:42:00	61	33,2	4
2:43:00	60	33,1	2
2:44:00	60	33,1	3
2:45:00	60	33,3	2
2:46:00	60	33,1	2
2:47:00	60	33,0	2
2:48:00	60	33,0	3
2:49:00	59	33,1	3
2:50:00	59	33,1	2
2:51:00	59	33,2	3
2:52:00	59	33,4	2
2:53:00	59	33,6	3
2:54:00	59	33,8	2
2:55:00	59	33,4	3
2:56:00	59	33,7	3
2:57:00	59	33,4	2
2:58:00	59	33,7	2
2:59:00	59	33,2	3
3:00:00	59	33,5	3
3:01:00	59	33,9	2
3:02:00	59	33,4	2
3:03:00	59	33,6	2
3:04:00	59	33,8	2
3:05:00	59	33,8	4
3:06:00	60	33,9	2
3:07:00	60	33,8	4
3:08:00	60	33,6	2
3:09:00	61	33,3	5
3:10:00	61	33,0	4
3:11:00	61	32,9	2
3:12:00	61	32,9	4
3:13:00	62	33,1	5
3:14:00	62	33,2	2
3:15:00	62	33,0	4
3:16:00	62	33,2	4
3:17:00	62	33,0	2
3:18:00	62	33,0	3
3:19:00	62	33,1	2
3:20:00	62	33,2	3
3:21:00	62	32,9	2
3:22:00	62	33,0	2
3:23:00	62	33,1	3
3:24:00	62	33,2	2
3:25:00	62	33,0	5
3:26:00	62	33,1	2
3:27:00	62	33,2	2
3:28:00	62	33,0	5
3:29:00	62	33,1	2
3:30:00	62	33,2	5
3:31:00	62	33,0	2
3:32:00	62	33,1	2
3:33:00	62	33,2	3
3:34:00	62	33,0	3
3:35:00	62	33,1	2
3:36:00	62	33,2	3
3:37:00	62	33,1	4
3:38:00	62	33,2	2
3:39:00	62	32,9	2
3:40:00	62	33,1	2
