--Test Summary--
Full Path and File Name	
Instrument Name	7222#1
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	113
Test Start Date	28.10.2005
Test Start Time	23:46:14
Test Stop Date	29.10.2005
Test Stop Time	3:22:56
Test Length	3:36:42
Final Sample Time Offset	3:36:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 37(120min), T:85C(120min), premix
Information	WellID	
Information	Customer	Ritek
Information	CementClass	PCT-I-G
Information	CementMfr	unknown
Information	Additives	5%ACF-3+0.8%CFL-117+0.2%DF+0.5RPM
Information	Density	1860
Information	BHCT	85
Information	BHST	
Information	FluidLoss	
Information	JobType	Research
Calculated Value	30Bc - TT	N/A
Calculated Value	70Bc - TT	N/A
Calculated Value	100Bc - TT	N/A
Initial Temperature (°C)	23 °C
Final Temperature (°C)	85 °C
Initial Pressure (MPa)	1,9 MPa
Final Pressure (MPa)	37,2 MPa
Initial Consistency (Bc)	19 Bc
Final Consistency (Bc)	12 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	23	1,9	19
0:01:00	23	2,3	17
0:02:00	23	2,8	13
0:03:00	23	3,2	12
0:04:00	24	3,8	13
0:05:00	24	4,4	14
0:06:00	25	4,6	13
0:07:00	25	4,9	12
0:08:00	26	5,2	12
0:09:00	26	5,5	12
0:10:00	27	5,8	16
0:11:00	28	6,1	14
0:12:00	29	6,4	14
0:13:00	29	6,7	17
0:14:00	30	7,0	17
0:15:00	31	7,2	15
0:16:00	31	7,6	13
0:17:00	32	7,8	12
0:18:00	33	8,1	12
0:19:00	33	8,4	12
0:20:00	34	8,7	12
0:21:00	34	8,9	12
0:22:00	35	9,3	12
0:23:00	35	9,6	12
0:24:00	36	9,9	12
0:25:00	36	10,1	12
0:26:00	37	10,4	12
0:27:00	37	10,8	12
0:28:00	38	11,0	12
0:29:00	38	11,3	13
0:30:00	39	11,7	18
0:31:00	39	11,8	16
0:32:00	40	12,2	15
0:33:00	40	12,5	14
0:34:00	41	12,8	14
0:35:00	41	13,1	20
0:36:00	42	13,3	25
0:37:00	42	13,6	20
0:38:00	43	13,9	18
0:39:00	43	14,1	15
0:40:00	44	14,4	17
0:41:00	44	14,9	20
0:42:00	45	15,1	16
0:43:00	45	15,4	19
0:44:00	46	15,7	15
0:45:00	46	16,0	14
0:46:00	47	16,2	14
0:47:00	47	16,5	14
0:48:00	48	16,9	14
0:49:00	48	17,1	13
0:50:00	49	17,3	13
0:51:00	50	17,7	13
0:52:00	50	18,0	13
0:53:00	51	18,3	13
0:54:00	51	18,6	13
0:55:00	52	18,8	13
0:56:00	52	19,3	13
0:57:00	53	19,4	13
0:58:00	53	19,7	13
0:59:00	54	20,2	13
1:00:00	54	20,2	13
1:01:00	55	20,7	13
1:02:00	55	20,8	13
1:03:00	56	21,3	13
1:04:00	56	21,5	12
1:05:00	57	21,8	12
1:06:00	57	22,1	12
1:07:00	58	22,2	12
1:08:00	58	22,6	12
1:09:00	59	22,8	12
1:10:00	59	23,3	12
1:11:00	60	23,4	12
1:12:00	60	23,9	12
1:13:00	61	24,2	12
1:14:00	61	24,4	12
1:15:00	62	24,7	12
1:16:00	62	24,8	12
1:17:00	63	25,3	12
1:18:00	63	25,7	12
1:19:00	64	25,7	12
1:20:00	64	26,1	12
1:21:00	65	26,5	12
1:22:00	66	26,7	12
1:23:00	66	27,1	12
1:24:00	66	27,4	12
1:25:00	67	27,4	12
1:26:00	68	27,9	12
1:27:00	68	28,3	12
1:28:00	69	28,4	12
1:29:00	69	28,9	12
1:30:00	70	29,1	12
1:31:00	70	29,3	12
1:32:00	71	29,5	12
1:33:00	71	29,9	12
1:34:00	72	30,3	12
1:35:00	72	30,4	12
1:36:00	73	30,9	12
1:37:00	73	31,0	12
1:38:00	74	31,4	12
1:39:00	74	31,5	12
