--Test Summary--
Full Path and File Name	
Instrument Name	7222#1
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	113
Test Start Date	15.02.2005
Test Start Time	1:38:35
Test Stop Date	15.02.2005
Test Stop Time	3:53:27
Test Length	2:14:52
Final Sample Time Offset	2:14:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 24 (32 min), T: 53 (32 min)
Information	WellID	14-6722
Information	Customer	Evrazia
Information	CementClass	G
Information	CementMfr	Duckerhoff
Information	Additives	0.8%FL+0.8%RPM+1%TA-1+0.05%LTR-100
Information	Density	1900
Information	BHCT	53
Information	BHST	70
Information	FluidLoss	
Information	JobType	168 Prod. csg.Tail Slurry
Calculated Value	30Bc - TT	0:08:00
Calculated Value	70Bc - TT	N/A
Calculated Value	100Bc - TT	N/A
Initial Temperature (°C)	24 °C
Final Temperature (°C)	52 °C
Initial Pressure (MPa)	1,6 MPa
Final Pressure (MPa)	0,7 MPa
Initial Consistency (Bc)	13 Bc
Final Consistency (Bc)	15 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	24	1,6	13
0:01:00	24	2,4	14
0:02:00	24	3,3	14
0:03:00	24	4,1	29
0:04:00	24	5,2	36
0:05:00	25	6,3	20
0:06:00	26	6,8	23
0:07:00	27	7,5	34
0:08:00	28	8,1	49
0:09:00	30	9,1	41
0:10:00	31	9,7	36
0:11:00	32	10,2	31
0:12:00	34	11,0	49
0:13:00	35	11,7	42
0:14:00	36	12,2	32
0:15:00	37	13,2	42
0:16:00	38	13,6	33
0:17:00	39	14,1	37
0:18:00	41	14,6	25
0:19:00	41	15,2	49
0:20:00	42	15,9	44
0:21:00	43	16,5	29
0:22:00	44	17,3	30
0:23:00	45	18,0	35
0:24:00	46	18,7	50
0:25:00	46	19,6	37
0:26:00	47	20,4	37
0:27:00	48	21,1	34
0:28:00	49	21,9	40
0:29:00	50	22,6	21
0:30:00	51	23,5	34
0:31:00	52	23,3	26
0:32:00	53	24,0	30
0:33:00	54	24,5	29
0:34:00	54	24,5	30
0:35:00	55	24,3	27
0:36:00	56	24,1	16
0:37:00	56	24,3	12
0:38:00	56	24,3	11
0:39:00	56	23,9	11
0:40:00	56	24,1	12
0:41:00	55	24,2	11
0:42:00	55	23,9	11
0:43:00	55	24,2	12
0:44:00	55	24,2	12
0:45:00	54	24,1	12
0:46:00	54	24,1	11
0:47:00	54	24,1	11
0:48:00	54	24,2	11
0:49:00	54	24,1	11
0:50:00	53	24,2	11
0:51:00	53	24,2	11
0:52:00	53	24,4	11
0:53:00	53	24,3	7
0:54:00	53	24,4	4
0:55:00	53	24,4	4
0:56:00	53	24,4	5
0:57:00	53	24,4	4
0:58:00	53	24,4	5
0:59:00	53	24,5	5
1:00:00	53	24,5	4
1:01:00	53	24,5	5
1:02:00	53	24,5	5
1:03:00	53	24,5	4
1:04:00	53	24,5	5
1:05:00	53	24,6	4
1:06:00	53	24,5	4
1:07:00	53	24,5	4
1:08:00	53	24,5	3
1:09:00	53	24,5	3
1:10:00	53	24,5	4
1:11:00	53	24,6	3
1:12:00	53	24,6	2
1:13:00	53	24,5	2
1:14:00	53	24,6	2
1:15:00	53	24,6	1
1:16:00	53	24,5	1
1:17:00	53	24,6	1
1:18:00	53	24,5	1
1:19:00	53	24,6	1
1:20:00	53	24,6	0
1:21:00	53	24,6	1
1:22:00	53	24,6	15
1:23:00	53	24,6	15
1:24:00	53	24,6	6
1:25:00	53	24,6	9
1:26:00	53	24,6	4
1:27:00	53	24,6	4
1:28:00	53	24,5	3
1:29:00	53	24,6	3
1:30:00	53	24,6	2
1:31:00	53	24,6	3
1:32:00	53	24,6	2
1:33:00	53	24,6	1
1:34:00	53	24,6	2
1:35:00	53	24,6	1
1:36:00	53	24,6	2
1:37:00	53	24,6	1
1:38:00	53	24,6	1
1:39:00	53	24,6	1
1:40:00	53	24,7	1
1:41:00	53	24,6	2
1:42:00	53	24,6	1
1:43:00	53	24,6	8
1:44:00	53	24,6	-0
1:45:00	53	24,7	1
1:46:00	53	24,6	-0
1:47:00	53	24,7	0
1:48:00	53	24,6	0
1:49:00	53	24,6	-0
1:50:00	53	24,6	-0
1:51:00	53	24,6	0
1:52:00	53	24,6	-0
1:53:00	53	24,6	-0
1:54:00	53	24,6	-0
1:55:00	53	24,6	-0
1:56:00	53	24,6	-0
1:57:00	53	24,6	-0
1:58:00	53	24,6	5
1:59:00	53	24,5	1
2:00:00	53	24,6	0
2:01:00	53	24,6	0
2:02:00	53	24,5	1
2:03:00	53	0,9	38
2:04:00	52	0,9	29
2:05:00	52	0,9	28
2:06:00	52	0,9	28
2:07:00	52	0,8	26
2:08:00	52	0,8	23
2:09:00	52	0,8	21
2:10:00	52	0,7	20
2:11:00	52	0,7	19
2:12:00	52	0,7	17
2:13:00	52	0,7	17
2:14:00	52	0,7	15
