--Test Summary--
Full Path and File Name	
Instrument Name	7222#1
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	113
Test Start Date	29.04.2005
Test Start Time	20:29:30
Test Stop Date	30.04.2005
Test Stop Time	2:24:58
Test Length	5:55:28
Final Sample Time Offset	5:55:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 15(30) T:33(30), premix, sea water. FW=0.5%
Information	WellID	1
Information	Customer	Tyub-Karagan
Information	CementClass	PCT-I-G
Information	CementMfr	Duckerhoff
Information	Additives	5%Gel+2%CaCl2
Information	Density	1600
Information	BHCT	33
Information	BHST	57
Information	FluidLoss	
Information	JobType	339.7 mm csg lead slurry
Calculated Value	30Bc - TT	4:58:00
Calculated Value	70Bc - TT	N/A
Calculated Value	100Bc - TT	N/A
Initial Temperature (°C)	27 °C
Final Temperature (°C)	33 °C
Initial Pressure (MPa)	1,7 MPa
Final Pressure (MPa)	15,1 MPa
Initial Consistency (Bc)	15 Bc
Final Consistency (Bc)	59 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	27	1,7	15
0:01:00	27	2,4	10
0:02:00	27	2,9	10
0:03:00	27	3,3	11
0:04:00	28	3,7	11
0:05:00	28	4,1	11
0:06:00	28	4,6	10
0:07:00	28	5,0	10
0:08:00	28	5,4	10
0:09:00	29	5,8	13
0:10:00	29	6,5	19
0:11:00	29	6,9	13
0:12:00	29	7,4	13
0:13:00	30	7,8	15
0:14:00	30	8,3	21
0:15:00	30	8,8	15
0:16:00	30	8,8	17
0:17:00	30	9,6	16
0:18:00	31	9,8	15
0:19:00	31	10,4	12
0:20:00	31	10,8	12
0:21:00	31	11,1	12
0:22:00	31	11,5	12
0:23:00	31	11,8	12
0:24:00	32	12,4	11
0:25:00	32	13,0	18
0:26:00	32	13,5	18
0:27:00	32	14,1	23
0:28:00	32	14,1	17
0:29:00	32	14,8	12
0:30:00	33	15,3	12
0:31:00	33	15,2	10
0:32:00	33	15,1	10
0:33:00	33	15,0	10
0:34:00	33	14,9	10
0:35:00	33	15,2	9
0:36:00	33	15,0	9
0:37:00	33	15,1	10
0:38:00	33	15,3	10
0:39:00	33	15,1	10
0:40:00	33	15,3	12
0:41:00	33	15,2	9
0:42:00	32	15,2	12
0:43:00	32	15,2	11
0:44:00	32	15,3	10
0:45:00	32	15,4	10
0:46:00	32	15,5	10
0:47:00	32	15,6	9
0:48:00	32	15,7	10
0:49:00	32	15,8	10
0:50:00	32	15,8	11
0:51:00	32	15,9	10
0:52:00	32	15,7	15
0:53:00	32	15,7	12
0:54:00	32	15,8	21
0:55:00	33	15,8	12
0:56:00	33	15,4	13
0:57:00	33	15,2	13
0:58:00	32	15,1	13
0:59:00	32	15,0	18
1:00:00	32	15,1	15
1:01:00	32	15,1	15
1:02:00	32	15,2	18
1:03:00	32	15,4	11
1:04:00	32	15,4	11
1:05:00	32	15,5	12
1:06:00	32	15,5	11
1:07:00	32	15,5	11
1:08:00	32	15,6	12
1:09:00	32	15,6	17
1:10:00	32	15,6	21
1:11:00	32	15,6	19
1:12:00	32	15,5	11
1:13:00	32	15,3	11
1:14:00	32	15,2	17
1:15:00	32	15,1	17
1:16:00	32	15,1	17
1:17:00	32	15,2	14
1:18:00	32	15,3	11
1:19:00	32	15,2	11
1:20:00	32	15,4	11
1:21:00	32	15,3	12
1:22:00	32	15,3	12
1:23:00	33	15,4	12
1:24:00	33	15,4	13
1:25:00	33	15,4	13
1:26:00	33	15,4	12
1:27:00	33	15,4	14
1:28:00	33	15,3	13
1:29:00	33	15,1	12
1:30:00	33	15,0	13
1:31:00	33	15,0	12
1:32:00	33	15,1	10
1:33:00	33	15,1	10
1:34:00	32	15,1	9
1:35:00	33	15,2	9
1:36:00	33	15,3	9
1:37:00	33	15,2	9
1:38:00	33	15,3	9
1:39:00	33	15,4	9
1:40:00	33	15,3	9
1:41:00	33	15,4	9
1:42:00	33	15,3	9
1:43:00	33	15,2	9
1:44:00	33	15,1	12
1:45:00	33	15,0	13
1:46:00	33	14,9	11
1:47:00	33	15,3	12
1:48:00	32	15,4	12
1:49:00	32	15,4	12
1:50:00	32	15,5	14
1:51:00	32	15,5	29
1:52:00	32	15,5	23
1:53:00	32	15,6	13
1:54:00	32	15,6	14
1:55:00	32	15,7	12
1:56:00	32	15,6	12
1:57:00	32	15,6	12
1:58:00	33	15,6	12
1:59:00	33	15,5	11
2:00:00	33	15,4	14
2:01:00	33	15,3	26
2:02:00	32	15,2	17
2:03:00	32	15,2	17
2:04:00	32	15,3	11
2:05:00	32	15,3	12
2:06:00	32	15,3	12
2:07:00	32	15,3	12
2:08:00	32	15,4	12
2:09:00	32	15,4	12
2:10:00	32	15,4	12
2:11:00	32	15,4	12
2:12:00	32	15,4	12
2:13:00	33	15,4	12
2:14:00	33	15,4	13
2:15:00	33	15,3	13
2:16:00	33	15,2	14
2:17:00	32	15,1	12
2:18:00	32	15,1	15
2:19:00	32	15,0	15
2:20:00	32	15,0	16
2:21:00	32	15,1	16
2:22:00	32	15,1	16
2:23:00	32	15,1	16
2:24:00	32	15,1	16
2:25:00	32	15,1	17
2:26:00	33	15,1	17
2:27:00	33	15,1	18
2:28:00	33	15,1	18
2:29:00	33	15,0	19
2:30:00	33	15,0	14
2:31:00	33	15,3	28
2:32:00	33	15,2	14
2:33:00	33	15,2	16
2:34:00	33	15,2	11
2:35:00	32	15,2	12
