--Test Summary--
Full Path and File Name	
Instrument Name	7222#1
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	113
Test Start Date	07.05.2005
Test Start Time	3:05:52
Test Stop Date	07.05.2005
Test Stop Time	6:15:04
Test Length	3:09:12
Final Sample Time Offset	3:09:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 18(41min), T: 40C(41min), sea water, premix

Information	WellID	1
Information	Customer	Tjub-Karagan
Information	CementClass	G
Information	CementMfr	Duckerhoff
Information	Additives	0.5%FL+0.1%RPM+0.2%SMS
Information	Density	1830
Information	BHCT	40
Information	BHST	67
Information	FluidLoss	75cc/20min
Information	JobType	244.5 mm 2nd Intermediate csg tail slurry
Calculated Value	30Bc - TT	0:42:00
Calculated Value	70Bc - TT	N/A
Calculated Value	100Bc - TT	N/A
Initial Temperature (°C)	26 °C
Final Temperature (°C)	40 °C
Initial Pressure (MPa)	1,1 MPa
Final Pressure (MPa)	18,3 MPa
Initial Consistency (Bc)	26 Bc
Final Consistency (Bc)	86 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	26	1,1	26
0:01:00	26	2,2	24
0:02:00	26	2,7	21
0:03:00	26	3,1	21
0:04:00	26	3,5	23
0:05:00	26	3,7	22
0:06:00	26	4,1	24
0:07:00	27	4,7	21
0:08:00	27	5,1	22
0:09:00	27	5,5	21
0:10:00	27	6,0	22
0:11:00	28	6,4	24
0:12:00	28	7,0	22
0:13:00	28	7,7	23
0:14:00	29	7,6	22
0:15:00	29	8,3	22
0:16:00	30	8,9	21
0:17:00	30	9,0	21
0:18:00	31	9,5	21
0:19:00	31	9,8	21
0:20:00	32	10,2	21
0:21:00	32	10,5	21
0:22:00	33	10,6	21
0:23:00	34	10,8	21
0:24:00	34	11,5	21
0:25:00	35	11,8	21
0:26:00	35	12,0	21
0:27:00	36	12,6	22
0:28:00	36	13,0	21
0:29:00	37	13,3	26
0:30:00	38	13,8	27
0:31:00	38	14,2	29
0:32:00	38	14,5	26
0:33:00	39	15,0	24
0:34:00	39	15,4	28
0:35:00	39	15,5	26
0:36:00	40	16,0	28
0:37:00	40	16,5	28
0:38:00	40	16,8	30
0:39:00	40	17,3	28
0:40:00	40	17,5	29
0:41:00	40	17,8	33
0:42:00	40	18,2	32
0:43:00	40	18,0	28
0:44:00	40	18,3	35
0:45:00	40	18,0	32
0:46:00	40	18,0	32
0:47:00	40	18,4	33
0:48:00	39	18,3	65
0:49:00	39	18,4	36
0:50:00	39	18,4	34
0:51:00	39	18,5	41
0:52:00	39	18,7	37
0:53:00	39	18,9	37
0:54:00	39	18,7	37
0:55:00	39	18,9	36
0:56:00	39	18,4	36
0:57:00	39	18,7	41
0:58:00	39	18,1	44
0:59:00	39	18,6	50
1:00:00	39	18,8	45
1:01:00	39	18,3	41
