--Test Summary--
Full Path and File Name	
Instrument Name	7222#1
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	113
Test Start Date	03.06.2005
Test Start Time	2:10:08
Test Stop Date	03.06.2005
Test Stop Time	9:29:08
Test Length	7:19:00
Final Sample Time Offset	7:19:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 45(70), T:70(70)
Information	WellID	1
Information	Customer	Tjub-Karagan
Information	CementClass	PCT-I-G
Information	CementMfr	Duckerhoff
Information	Additives	0.7%FL+0.4%RPM+0.2%SMS+0.2%LTR
Information	Density	1830
Information	BHCT	70
Information	BHST	87
Information	FluidLoss	75cc/30min
Information	JobType	178 mm csg tail slurry
Calculated Value	30Bc - TT	6:14:00
Calculated Value	70Bc - TT	7:19:00
Calculated Value	100Bc - TT	N/A
Initial Temperature (°C)	26 °C
Final Temperature (°C)	69 °C
Initial Pressure (MPa)	1,5 MPa
Final Pressure (MPa)	45,7 MPa
Initial Consistency (Bc)	4 Bc
Final Consistency (Bc)	74 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	26	1,5	4
0:01:00	27	2,4	12
0:02:00	28	2,9	2
0:03:00	29	3,6	5
0:04:00	30	4,3	6
0:05:00	31	4,8	2
0:06:00	31	5,6	2
0:07:00	32	6,0	2
0:08:00	32	6,9	4
0:09:00	32	7,3	2
0:10:00	33	8,0	5
0:11:00	33	8,4	1
0:12:00	33	9,1	2
0:13:00	33	9,9	2
0:14:00	33	10,4	2
0:15:00	34	11,3	2
0:16:00	34	11,5	2
0:17:00	35	12,2	3
0:18:00	36	12,8	2
0:19:00	36	13,5	2
0:20:00	37	14,0	2
0:21:00	38	14,6	2
0:22:00	38	15,1	4
0:23:00	39	16,1	3
0:24:00	40	16,7	3
0:25:00	41	17,2	3
0:26:00	41	17,7	5
0:27:00	42	18,6	6
0:28:00	43	18,9	3
0:29:00	44	19,7	4
0:30:00	44	20,3	3
0:31:00	45	21,1	8
0:32:00	46	21,4	4
0:33:00	46	22,0	2
0:34:00	47	22,9	3
0:35:00	47	23,3	2
0:36:00	48	23,9	3
0:37:00	49	24,5	3
0:38:00	49	25,3	4
0:39:00	50	25,8	3
0:40:00	51	26,4	3
0:41:00	51	27,0	3
0:42:00	52	27,8	2
0:43:00	53	28,3	4
0:44:00	53	28,8	5
0:45:00	54	29,4	3
0:46:00	55	30,2	3
0:47:00	55	30,7	3
0:48:00	56	31,2	3
0:49:00	56	32,0	2
0:50:00	57	32,5	3
0:51:00	58	33,0	2
0:52:00	58	33,9	2
0:53:00	59	34,4	2
0:54:00	60	34,9	2
0:55:00	60	35,6	2
0:56:00	61	36,1	2
0:57:00	62	36,8	2
0:58:00	62	37,7	2
0:59:00	63	38,2	2
1:00:00	63	38,7	2
1:01:00	64	39,2	2
1:02:00	65	39,8	2
1:03:00	65	40,5	2
1:04:00	66	41,1	2
1:05:00	67	41,7	2
1:06:00	67	42,5	2
1:07:00	68	43,0	2
1:08:00	69	43,5	2
1:09:00	69	44,2	3
1:10:00	70	44,9	3
1:11:00	70	45,1	2
1:12:00	71	45,2	2
1:13:00	71	45,1	2
1:14:00	71	45,0	2
1:15:00	72	45,3	2
