--Test Summary--
Full Path and File Name	
Instrument Name	7222#1
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	113
Test Start Date	08.11.2005
Test Start Time	4:31:19
Test Stop Date	08.11.2005
Test Stop Time	9:55:20
Test Length	5:24:01
Final Sample Time Offset	5:24:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 43(90) T:67(90)
Information	WellID	1014
Information	Customer	PechoraNeft
Information	CementClass	PCT-100
Information	CementMfr	Sukhoy Log
Information	Additives	1%Gel+1%SMS+0.35%R-7
Information	Density	1500
Information	BHCT	67
Information	BHST	85
Information	FluidLoss	
Information	JobType	168.3 mm Prod. csg. lead slurry
Calculated Value	30Bc - TT	5:12:00
Calculated Value	70Bc - TT	5:24:00
Calculated Value	100Bc - TT	N/A
Initial Temperature (°C)	27 °C
Final Temperature (°C)	67 °C
Initial Pressure (MPa)	2,3 MPa
Final Pressure (MPa)	43,3 MPa
Initial Consistency (Bc)	6 Bc
Final Consistency (Bc)	82 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	27	2,3	6
0:01:00	27	2,4	6
0:02:00	27	3,0	5
0:03:00	27	3,8	5
0:04:00	27	4,1	4
0:05:00	27	4,5	9
0:06:00	27	5,1	4
0:07:00	27	5,9	11
0:08:00	27	6,6	5
0:09:00	28	7,1	12
0:10:00	29	7,6	8
0:11:00	29	8,0	9
0:12:00	30	8,3	10
0:13:00	31	8,9	7
0:14:00	32	9,3	9
0:15:00	33	9,7	7
0:16:00	33	10,1	10
0:17:00	34	10,5	5
0:18:00	35	10,7	10
0:19:00	35	10,9	7
0:20:00	36	11,5	8
0:21:00	37	11,7	10
0:22:00	37	12,3	10
0:23:00	37	12,5	18
0:24:00	38	13,1	8
0:25:00	38	13,6	6
0:26:00	39	14,0	11
0:27:00	39	14,5	9
0:28:00	39	14,7	13
0:29:00	40	15,5	14
0:30:00	40	15,9	12
0:31:00	40	16,3	6
0:32:00	41	16,7	5
0:33:00	41	17,4	5
0:34:00	42	17,8	5
0:35:00	42	18,2	4
0:36:00	43	18,6	4
0:37:00	43	18,9	5
0:38:00	43	19,4	7
0:39:00	44	20,2	13
0:40:00	44	20,6	8
0:41:00	45	21,0	5
0:42:00	45	21,4	8
0:43:00	46	21,7	6
0:44:00	46	22,2	6
0:45:00	47	23,0	6
0:46:00	47	23,3	6
0:47:00	48	23,6	6
0:48:00	48	24,0	6
0:49:00	49	24,8	6
0:50:00	49	25,1	8
0:51:00	49	25,5	8
0:52:00	50	25,8	10
0:53:00	50	26,2	10
0:54:00	51	27,0	9
0:55:00	51	27,4	8
0:56:00	52	27,8	8
0:57:00	52	28,2	7
0:58:00	53	28,6	8
0:59:00	53	29,0	14
1:00:00	53	29,7	30
1:01:00	54	30,2	15
1:02:00	54	30,5	19
1:03:00	55	30,9	19
1:04:00	55	31,3	21
1:05:00	56	31,7	18
1:06:00	56	32,6	16
1:07:00	57	32,9	31
1:08:00	57	33,4	27
1:09:00	58	33,8	8
1:10:00	58	34,2	5
1:11:00	58	34,6	5
1:12:00	59	35,0	5
1:13:00	59	35,4	5
1:14:00	60	35,9	5
1:15:00	60	36,2	5
1:16:00	61	37,6	5
1:17:00	61	38,0	5
1:18:00	62	38,4	5
1:19:00	62	38,8	5
1:20:00	63	39,2	5
1:21:00	63	39,6	5
1:22:00	63	40,0	5
1:23:00	64	40,5	5
1:24:00	64	40,8	5
1:25:00	65	41,2	5
1:26:00	65	41,8	5
1:27:00	66	42,2	5
1:28:00	66	42,4	5
1:29:00	67	42,9	5
1:30:00	67	43,2	5
1:31:00	68	43,3	5
1:32:00	68	43,3	5
1:33:00	68	43,1	5
1:34:00	68	42,9	5
1:35:00	69	43,2	5
1:36:00	69	43,0	5
1:37:00	69	43,1	5
1:38:00	69	43,1	5
1:39:00	68	43,0	5
1:40:00	68	43,1	5
1:41:00	68	43,0	5
1:42:00	68	43,0	5
1:43:00	68	43,4	5
1:44:00	67	43,3	5
1:45:00	67	43,4	5
1:46:00	67	43,4	5
1:47:00	67	43,4	5
1:48:00	67	43,5	5
1:49:00	67	43,6	5
1:50:00	67	43,6	5
1:51:00	67	43,8	5
1:52:00	67	43,9	5
1:53:00	67	43,8	5
1:54:00	67	43,9	5
1:55:00	67	44,0	5
1:56:00	67	43,6	5
1:57:00	67	43,6	5
1:58:00	67	43,7	5
1:59:00	67	43,6	5
2:00:00	67	43,6	5
2:01:00	67	43,6	5
2:02:00	67	43,6	5
2:03:00	67	43,6	5
2:04:00	67	43,7	5
2:05:00	67	43,6	5
2:06:00	67	43,7	5
2:07:00	67	43,6	5
2:08:00	67	43,6	5
2:09:00	67	43,6	5
2:10:00	67	43,6	5
2:11:00	67	43,6	5
2:12:00	67	43,6	5
2:13:00	67	43,6	5
2:14:00	67	43,6	5
2:15:00	67	43,6	5
2:16:00	67	43,6	5
2:17:00	67	43,7	5
2:18:00	67	43,6	5
2:19:00	67	43,6	5
2:20:00	67	43,7	5
2:21:00	67	43,7	5
2:22:00	67	43,7	5
2:23:00	67	43,8	5
2:24:00	67	43,7	5
2:25:00	67	43,7	5
2:26:00	67	43,7	5
2:27:00	67	43,8	5
2:28:00	67	43,7	5
2:29:00	67	43,7	5
2:30:00	67	43,7	5
2:31:00	67	43,7	5
2:32:00	67	43,8	5
2:33:00	67	43,7	5
2:34:00	67	43,8	5
2:35:00	67	43,8	5
2:36:00	67	43,8	5
2:37:00	67	43,7	5
2:38:00	67	43,8	5
2:39:00	67	43,7	5
2:40:00	67	43,8	5
2:41:00	67	43,7	5
2:42:00	67	43,8	5
2:43:00	67	43,7	5
2:44:00	67	43,7	5
2:45:00	67	43,7	5
2:46:00	67	43,8	5
2:47:00	67	43,8	5
2:48:00	67	43,8	5
2:49:00	67	43,8	5
2:50:00	67	43,7	5
2:51:00	67	43,7	5
2:52:00	67	43,7	5
2:53:00	67	43,8	5
2:54:00	67	43,8	5
2:55:00	67	43,7	5
2:56:00	67	43,8	5
2:57:00	67	43,7	5
2:58:00	67	43,8	5
2:59:00	67	43,7	5
3:00:00	67	43,8	5
3:01:00	67	43,8	5
3:02:00	67	43,8	5
3:03:00	67	43,7	5
3:04:00	67	43,8	5
3:05:00	67	43,8	5
3:06:00	67	43,9	5
3:07:00	67	43,8	5
3:08:00	67	43,8	5
3:09:00	67	43,8	5
3:10:00	67	43,8	5
3:11:00	67	43,8	5
3:12:00	67	43,7	5
3:13:00	67	43,8	5
3:14:00	67	43,7	5
3:15:00	67	43,8	5
3:16:00	67	43,8	5
3:17:00	67	43,8	5
3:18:00	67	43,8	5
3:19:00	67	43,8	5
3:20:00	67	43,8	5
3:21:00	67	43,8	5
3:22:00	67	43,8	5
3:23:00	67	43,8	5
3:24:00	67	43,7	5
3:25:00	67	43,7	5
3:26:00	67	43,8	5
3:27:00	67	43,8	5
3:28:00	67	43,8	5
3:29:00	67	43,8	5
3:30:00	67	43,8	5
3:31:00	67	43,8	5
3:32:00	67	43,8	5
3:33:00	67	43,7	5
3:34:00	67	43,8	5
3:35:00	67	43,8	5
3:36:00	67	43,8	5
3:37:00	67	43,8	5
3:38:00	67	43,8	5
3:39:00	67	43,7	5
3:40:00	67	43,8	5
3:41:00	67	43,8	5
3:42:00	67	43,8	5
3:43:00	67	43,7	5
3:44:00	67	43,7	5
3:45:00	67	43,7	5
3:46:00	67	43,8	5
3:47:00	67	43,8	5
3:48:00	67	43,7	5
3:49:00	67	43,7	5
3:50:00	67	43,7	5
3:51:00	67	43,7	5
3:52:00	67	43,7	5
3:53:00	67	43,7	5
3:54:00	67	43,7	5
3:55:00	67	43,6	5
3:56:00	67	43,7	5
3:57:00	67	43,7	5
3:58:00	67	43,7	5
3:59:00	67	43,7	5
4:00:00	67	43,7	5
4:01:00	67	43,6	5
4:02:00	67	43,8	5
4:03:00	67	43,7	5
4:04:00	67	43,7	5
4:05:00	67	43,6	5
4:06:00	67	43,6	5
4:07:00	67	43,6	5
4:08:00	67	43,6	5
4:09:00	67	43,6	5
4:10:00	67	43,6	5
4:11:00	67	43,5	5
4:12:00	67	43,6	5
4:13:00	67	43,5	5
4:14:00	67	43,5	5
4:15:00	67	43,5	5
4:16:00	67	43,5	5
4:17:00	67	43,5	5
4:18:00	67	43,5	5
4:19:00	67	43,4	5
4:20:00	67	43,4	5
4:21:00	67	43,4	5
4:22:00	67	43,4	5
4:23:00	67	43,4	6
4:24:00	67	43,3	6
4:25:00	67	43,3	6
4:26:00	67	43,3	6
4:27:00	67	43,3	6
4:28:00	67	43,3	6
4:29:00	67	43,3	6
4:30:00	67	43,3	6
4:31:00	67	43,3	6
4:32:00	67	43,2	6
4:33:00	67	43,1	6
4:34:00	67	43,1	6
4:35:00	67	43,0	7
4:36:00	67	43,1	-2
4:37:00	67	43,4	-2
4:38:00	67	43,3	-1
4:39:00	67	43,3	-2
4:40:00	67	43,2	-1
4:41:00	67	43,1	-2
4:42:00	67	43,0	-0
4:43:00	67	43,0	7
4:44:00	67	43,0	7
4:45:00	67	43,2	7
4:46:00	67	43,1	7
4:47:00	67	43,1	7
4:48:00	67	43,0	7
4:49:00	67	43,4	7
4:50:00	67	43,2	7
4:51:00	67	43,2	7
4:52:00	67	43,0	7
4:53:00	67	43,1	7
4:54:00	67	43,3	7
4:55:00	67	43,1	4
4:56:00	67	43,0	10
4:57:00	67	43,1	10
4:58:00	67	43,2	11
4:59:00	67	43,1	11
5:00:00	67	43,2	11
5:01:00	67	43,2	12
5:02:00	67	43,0	12
5:03:00	67	43,0	12
5:04:00	67	43,1	12
5:05:00	67	43,0	12
5:06:00	67	43,4	12
5:07:00	67	43,2	12
5:08:00	67	43,2	12
5:09:00	67	43,2	12
5:10:00	67	43,1	13
5:11:00	67	43,0	47
5:12:00	67	43,3	35
5:13:00	67	43,1	31
5:14:00	67	43,1	34
5:15:00	67	43,0	71
5:16:00	67	43,1	41
5:17:00	67	43,1	44
5:18:00	67	43,0	50
5:19:00	67	43,4	53
5:20:00	67	43,2	61
5:21:00	67	43,3	65
5:22:00	67	43,3	68
5:23:00	67	43,0	75
5:24:00	67	43,3	82
