--Test Summary--
Full Path and File Name	
Instrument Name	7222#1
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	113
Test Start Date	01.04.2005
Test Start Time	2:54:30
Test Stop Date	01.04.2005
Test Stop Time	8:55:31
Test Length	6:01:01
Final Sample Time Offset	6:01:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 22(30), T:58(30)
Information	WellID	465/2911
Information	Customer	Samotlorneftegaz
Information	CementClass	PCT-I-G
Information	CementMfr	Duckerhoff
Information	Additives	0.8%FL+0.3%RPM
Information	Density	1900
Information	BHCT	56
Information	BHST	56
Information	FluidLoss	
Information	JobType	Hesitation Squeeze
Calculated Value	30Bc - TT	4:41:00
Calculated Value	70Bc - TT	6:01:00
Calculated Value	100Bc - TT	N/A
Initial Temperature (°C)	26 °C
Final Temperature (°C)	56 °C
Initial Pressure (MPa)	1,5 MPa
Final Pressure (MPa)	22,2 MPa
Initial Consistency (Bc)	13 Bc
Final Consistency (Bc)	73 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	26	1,5	13
0:01:00	27	2,7	12
0:02:00	28	3,4	12
0:03:00	29	4,1	13
0:04:00	29	4,7	13
0:05:00	30	5,4	12
0:06:00	31	6,1	12
0:07:00	31	6,7	12
0:08:00	32	7,3	12
0:09:00	33	8,3	12
0:10:00	34	9,1	12
0:11:00	34	10,0	12
0:12:00	35	10,4	11
0:13:00	36	11,3	11
0:14:00	38	11,7	11
0:15:00	39	12,6	11
0:16:00	40	12,9	12
0:17:00	41	13,9	12
0:18:00	42	14,1	11
0:19:00	43	15,0	11
0:20:00	44	16,1	13
0:21:00	45	16,8	11
0:22:00	47	17,2	11
0:23:00	48	18,1	11
0:24:00	49	17,9	11
0:25:00	50	18,8	10
0:26:00	51	19,9	12
0:27:00	52	20,6	12
0:28:00	53	21,5	11
0:29:00	54	21,5	12
0:30:00	55	22,2	8
0:31:00	55	22,7	8
0:32:00	55	22,3	8
0:33:00	55	22,8	7
0:34:00	55	22,5	8
0:35:00	55	22,9	7
0:36:00	56	22,9	7
0:37:00	56	22,9	6
0:38:00	56	22,8	7
0:39:00	56	22,5	5
0:40:00	57	22,0	8
0:41:00	60	22,1	8
0:42:00	62	22,0	10
0:43:00	61	22,2	11
0:44:00	61	22,3	11
0:45:00	60	22,3	6
0:46:00	60	22,1	6
0:47:00	60	22,1	6
0:48:00	60	22,1	6
0:49:00	60	22,1	7
0:50:00	60	22,3	7
0:51:00	60	22,0	7
0:52:00	60	22,2	7
0:53:00	60	22,0	7
0:54:00	60	22,2	7
0:55:00	59	22,2	9
0:56:00	58	22,3	10
0:57:00	57	22,0	9
0:58:00	56	22,1	10
0:59:00	55	22,1	11
1:00:00	55	22,4	6
1:01:00	55	22,7	5
1:02:00	55	22,3	6
1:03:00	55	22,6	6
1:04:00	55	22,1	6
1:05:00	55	22,6	6
1:06:00	55	22,3	6
1:07:00	55	22,8	6
1:08:00	55	22,7	6
1:09:00	55	22,4	5
1:10:00	55	22,2	10
1:11:00	56	22,1	10
1:12:00	56	21,9	10
1:13:00	57	22,3	10
1:14:00	57	21,9	10
1:15:00	57	22,1	5
1:16:00	57	22,0	5
1:17:00	57	22,0	5
1:18:00	57	22,2	5
1:19:00	57	22,0	5
1:20:00	57	22,0	5
1:21:00	57	22,0	5
1:22:00	57	22,0	5
1:23:00	57	22,2	5
1:24:00	57	22,0	5
1:25:00	57	22,1	12
1:26:00	56	22,3	13
1:27:00	55	22,2	13
1:28:00	55	22,4	14
1:29:00	55	22,8	13
1:30:00	55	22,3	14
1:31:00	55	22,7	16
1:32:00	55	22,3	22
1:33:00	55	22,8	21
1:34:00	55	22,6	30
1:35:00	55	22,2	18
1:36:00	55	22,7	18
1:37:00	55	22,5	8
1:38:00	55	21,8	8
1:39:00	55	22,7	8
1:40:00	55	22,5	10
1:41:00	56	21,9	10
1:42:00	57	21,9	11
1:43:00	57	22,0	12
1:44:00	57	22,1	11
1:45:00	57	22,0	8
1:46:00	57	22,1	8
1:47:00	57	22,2	9
1:48:00	57	22,0	9
1:49:00	57	22,2	9
1:50:00	57	22,0	9
1:51:00	57	22,3	13
1:52:00	57	22,1	13
1:53:00	57	22,0	13
1:54:00	57	22,4	17
1:55:00	56	22,3	12
1:56:00	56	22,1	11
1:57:00	55	22,4	11
1:58:00	55	22,7	18
1:59:00	55	22,4	16
2:00:00	55	22,6	11
2:01:00	55	22,9	15
2:02:00	55	22,4	11
2:03:00	55	22,9	13
2:04:00	55	22,6	13
2:05:00	55	22,3	10
2:06:00	55	22,8	10
2:07:00	55	22,3	9
2:08:00	55	22,8	9
2:09:00	55	22,5	8
2:10:00	55	22,2	11
2:11:00	56	22,0	12
2:12:00	57	22,2	11
2:13:00	57	22,1	11
2:14:00	57	22,1	11
2:15:00	57	22,2	8
2:16:00	57	21,9	8
2:17:00	57	22,0	6
2:18:00	57	22,3	6
2:19:00	57	22,1	6
2:20:00	57	22,3	6
2:21:00	57	22,2	6
2:22:00	57	22,0	6
2:23:00	57	22,3	6
2:24:00	57	22,1	6
2:25:00	56	22,0	12
2:26:00	56	22,4	12
2:27:00	55	22,7	12
2:28:00	55	23,0	12
2:29:00	55	22,3	13
2:30:00	55	22,5	9
2:31:00	55	22,8	13
2:32:00	55	22,5	14
2:33:00	55	22,9	12
2:34:00	55	22,6	11
2:35:00	55	22,3	11
2:36:00	55	22,8	11
2:37:00	55	22,6	8
2:38:00	55	22,3	7
2:39:00	55	22,7	7
2:40:00	56	22,5	11
2:41:00	57	22,2	10
2:42:00	57	22,2	12
2:43:00	57	22,2	11
2:44:00	57	22,1	12
2:45:00	57	22,1	6
2:46:00	57	22,2	6
2:47:00	57	22,0	6
2:48:00	57	22,1	6
2:49:00	57	22,0	6
2:50:00	57	22,1	6
2:51:00	57	22,0	6
2:52:00	57	22,3	6
2:53:00	56	22,1	6
2:54:00	56	22,0	6
2:55:00	56	22,3	14
2:56:00	56	22,4	13
2:57:00	55	22,7	14
2:58:00	55	22,9	14
2:59:00	55	22,3	13
3:00:00	55	22,5	10
3:01:00	55	22,8	9
3:02:00	55	22,4	9
3:03:00	55	22,8	7
3:04:00	55	22,4	7
3:05:00	55	22,9	8
3:06:00	55	22,4	7
3:07:00	55	22,9	7
3:08:00	55	22,6	7
3:09:00	55	22,3	7
3:10:00	55	22,7	12
3:11:00	57	22,2	11
3:12:00	57	22,2	12
3:13:00	57	22,4	12
3:14:00	57	22,2	12
3:15:00	57	22,2	7
3:16:00	57	22,0	7
3:17:00	57	22,2	7
3:18:00	57	22,0	7
3:19:00	57	22,3	7
3:20:00	57	22,2	7
3:21:00	57	22,0	7
3:22:00	56	22,3	6
3:23:00	56	22,2	6
3:24:00	56	22,0	6
3:25:00	56	22,0	14
3:26:00	56	22,4	14
3:27:00	55	22,6	14
3:28:00	55	22,8	15
3:29:00	55	22,4	14
3:30:00	55	22,6	8
3:31:00	55	22,9	9
3:32:00	55	22,7	10
3:33:00	55	22,3	7
3:34:00	55	22,7	8
3:35:00	55	22,4	9
3:36:00	55	22,9	9
3:37:00	55	22,6	8
3:38:00	55	22,3	7
3:39:00	55	22,7	7
3:40:00	55	22,5	13
3:41:00	56	22,2	13
3:42:00	57	21,8	13
3:43:00	57	22,1	13
3:44:00	57	22,2	13
3:45:00	57	22,1	7
3:46:00	57	22,2	6
3:47:00	57	22,0	6
3:48:00	57	22,2	6
3:49:00	57	22,0	6
3:50:00	57	22,3	6
3:51:00	57	22,1	6
3:52:00	57	22,0	6
3:53:00	57	22,3	6
3:54:00	57	22,2	6
3:55:00	57	22,1	17
3:56:00	56	21,9	16
3:57:00	56	22,1	15
3:58:00	55	22,2	15
3:59:00	55	22,5	16
4:00:00	55	22,7	8
4:01:00	55	22,5	8
4:02:00	55	23,0	7
4:03:00	55	22,7	10
4:04:00	55	22,3	8
4:05:00	55	22,9	8
4:06:00	55	22,7	9
4:07:00	55	22,5	7
4:08:00	55	22,4	7
4:09:00	55	21,8	7
4:10:00	55	22,3	19
4:11:00	55	22,2	17
4:12:00	56	22,0	17
4:13:00	56	22,0	17
4:14:00	57	22,0	17
4:15:00	57	22,0	6
4:16:00	58	22,0	6
4:17:00	58	22,0	6
4:18:00	58	22,0	6
4:19:00	58	22,1	6
4:20:00	58	22,3	6
4:21:00	58	22,1	6
4:22:00	58	22,3	6
4:23:00	58	22,1	6
4:24:00	58	21,9	6
4:25:00	58	22,2	25
4:26:00	58	22,0	21
4:27:00	58	22,2	21
4:28:00	58	22,0	21
4:29:00	58	22,1	21
4:30:00	57	22,3	5
4:31:00	57	22,2	5
4:32:00	57	22,1	6
4:33:00	57	21,9	5
4:34:00	57	22,1	5
4:35:00	57	22,0	5
4:36:00	56	21,9	5
4:37:00	56	22,3	6
4:38:00	56	22,1	6
4:39:00	56	22,0	6
4:40:00	56	22,0	36
4:41:00	56	22,0	31
4:42:00	56	22,3	30
4:43:00	55	22,3	30
4:44:00	55	22,3	30
4:45:00	55	22,4	8
4:46:00	55	22,7	8
4:47:00	55	22,4	7
4:48:00	55	22,8	8
4:49:00	55	22,6	8
4:50:00	55	22,4	8
4:51:00	55	22,1	8
4:52:00	54	22,9	8
4:53:00	54	22,8	8
4:54:00	54	22,8	8
4:55:00	54	22,9	68
4:56:00	54	22,4	50
4:57:00	55	22,7	50
4:58:00	55	22,3	55
4:59:00	55	22,8	58
5:00:00	55	22,4	32
5:01:00	55	21,8	43
5:02:00	56	22,7	40
5:03:00	56	22,3	39
5:04:00	56	22,4	37
5:05:00	57	22,3	33
5:06:00	57	22,0	32
5:07:00	58	22,0	36
5:08:00	58	22,0	37
5:09:00	58	22,0	37
5:10:00	58	22,1	-2
5:11:00	59	22,2	-3
5:12:00	59	22,1	-3
5:13:00	59	22,0	1
5:14:00	59	22,0	1
5:15:00	59	22,1	53
5:16:00	59	21,9	52
5:17:00	59	22,1	51
5:18:00	59	21,9	51
5:19:00	59	22,2	53
5:20:00	59	22,0	54
5:21:00	59	22,2	53
5:22:00	59	22,1	52
5:23:00	59	21,9	52
5:24:00	59	22,1	52
5:25:00	59	22,1	-0
5:26:00	59	21,9	1
5:27:00	59	22,0	-3
5:28:00	59	22,3	-3
5:29:00	59	22,0	-0
5:30:00	58	22,3	54
5:31:00	58	22,1	54
5:32:00	58	22,0	55
5:33:00	58	22,3	55
5:34:00	58	22,2	55
5:35:00	58	22,1	55
5:36:00	58	22,0	55
5:37:00	57	22,2	55
5:38:00	57	22,1	55
5:39:00	57	22,0	56
5:40:00	57	22,3	0
5:41:00	57	22,2	-2
5:42:00	57	22,0	0
5:43:00	57	22,2	-0
5:44:00	57	22,1	-3
5:45:00	57	22,3	45
5:46:00	57	22,2	45
5:47:00	57	22,1	45
5:48:00	56	22,0	46
5:49:00	56	22,4	45
5:50:00	56	22,2	46
5:51:00	56	22,2	46
5:52:00	56	22,1	46
5:53:00	56	22,0	46
5:54:00	56	22,4	46
5:55:00	56	22,3	1
5:56:00	56	22,2	0
5:57:00	56	22,2	-1
5:58:00	56	22,2	-2
5:59:00	56	22,2	1
6:00:00	56	22,1	73
6:01:00	56	22,2	73
