--Test Summary--
Full Path and File Name	
Instrument Name	7222#1
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	113
Test Start Date	01.03.2005
Test Start Time	0:21:49
Test Stop Date	01.03.2005
Test Stop Time	5:27:49
Test Length	5:06:00
Final Sample Time Offset	5:06:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa:24(51min), T:50(51min), field water
Information	WellID	2480/21205g
Information	Customer	TNK-Nizhnevartovsk
Information	CementClass	G
Information	CementMfr	Duckerhoff
Information	Additives	1.25%Gel+1.25%SMS+0.15%R-7
Information	Density	1500
Information	BHCT	50
Information	BHST	
Information	FluidLoss	
Information	JobType	178 mm Csg. Lead Slurry
Calculated Value	30Bc - TT	3:42:00
Calculated Value	70Bc - TT	5:06:00
Calculated Value	100Bc - TT	N/A
Initial Temperature (°C)	21 °C
Final Temperature (°C)	51 °C
Initial Pressure (MPa)	2,1 MPa
Final Pressure (MPa)	24,0 MPa
Initial Consistency (Bc)	5 Bc
Final Consistency (Bc)	71 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	21	2,1	5
0:01:00	21	2,4	5
0:02:00	21	3,0	6
0:03:00	21	3,6	7
0:04:00	22	4,2	8
0:05:00	22	5,0	8
0:06:00	22	5,6	9
0:07:00	23	6,1	10
0:08:00	24	6,3	10
0:09:00	25	6,9	10
0:10:00	26	7,3	10
0:11:00	27	7,7	11
0:12:00	28	8,1	11
0:13:00	29	8,4	11
0:14:00	29	8,7	11
0:15:00	30	9,1	11
0:16:00	31	9,5	11
0:17:00	31	9,9	11
0:18:00	32	10,3	11
0:19:00	32	10,7	11
0:20:00	33	11,1	11
0:21:00	33	11,5	11
0:22:00	34	12,0	11
0:23:00	34	12,4	12
0:24:00	35	12,8	11
0:25:00	35	13,3	11
0:26:00	36	13,8	11
0:27:00	36	14,2	11
0:28:00	37	14,8	11
0:29:00	38	15,2	11
0:30:00	38	15,6	11
0:31:00	39	16,1	11
0:32:00	39	16,6	11
0:33:00	40	17,1	11
0:34:00	40	17,6	11
0:35:00	41	18,1	11
0:36:00	42	18,6	11
0:37:00	42	18,5	12
0:38:00	43	18,9	11
0:39:00	43	19,4	11
0:40:00	44	19,9	11
0:41:00	44	20,4	11
0:42:00	45	20,8	11
0:43:00	45	21,4	11
0:44:00	46	21,8	11
0:45:00	47	22,3	11
0:46:00	47	22,7	11
0:47:00	48	23,2	11
0:48:00	48	23,7	11
0:49:00	49	24,1	11
0:50:00	49	24,6	11
0:51:00	50	24,1	15
0:52:00	50	24,3	11
0:53:00	51	24,4	11
0:54:00	51	24,1	12
0:55:00	52	24,0	12
0:56:00	52	24,0	12
0:57:00	52	24,0	12
0:58:00	52	23,9	12
0:59:00	52	23,9	11
1:00:00	52	24,0	11
1:01:00	51	24,2	11
1:02:00	51	24,1	11
1:03:00	51	24,0	11
1:04:00	51	24,1	11
1:05:00	50	24,1	11
1:06:00	50	24,1	11
1:07:00	50	24,2	11
1:08:00	50	24,3	11
1:09:00	50	24,4	11
1:10:00	50	24,5	11
1:11:00	50	24,6	11
1:12:00	50	24,6	11
1:13:00	50	24,8	11
1:14:00	50	24,7	11
1:15:00	50	24,9	11
1:16:00	50	24,9	11
1:17:00	50	24,9	11
1:18:00	50	24,8	11
1:19:00	50	24,9	11
1:20:00	50	24,8	11
1:21:00	50	24,7	11
1:22:00	50	24,8	11
1:23:00	50	24,7	12
1:24:00	50	24,7	12
1:25:00	50	24,6	11
1:26:00	50	24,7	12
1:27:00	50	24,6	11
1:28:00	50	24,7	11
1:29:00	50	24,6	11
1:30:00	50	24,6	11
1:31:00	50	24,6	11
1:32:00	50	24,7	11
1:33:00	50	24,6	11
1:34:00	50	24,7	11
1:35:00	50	24,7	11
1:36:00	50	24,7	11
1:37:00	50	24,7	11
1:38:00	50	24,6	11
1:39:00	50	24,7	11
1:40:00	50	24,6	11
1:41:00	50	24,7	11
1:42:00	50	24,7	11
1:43:00	50	24,7	11
1:44:00	50	24,7	11
1:45:00	50	24,6	11
1:46:00	50	24,6	11
1:47:00	50	24,6	11
1:48:00	50	24,6	11
1:49:00	50	24,6	11
1:50:00	50	24,6	11
1:51:00	50	24,5	11
1:52:00	50	24,5	11
1:53:00	50	24,5	11
1:54:00	50	24,5	11
1:55:00	50	24,4	11
1:56:00	50	24,4	11
1:57:00	50	24,4	11
1:58:00	50	24,3	11
1:59:00	50	24,3	11
2:00:00	50	24,3	11
2:01:00	50	24,2	11
2:02:00	50	24,2	11
2:03:00	50	24,1	11
2:04:00	50	24,0	11
2:05:00	50	24,0	11
2:06:00	50	23,9	12
2:07:00	50	24,3	12
2:08:00	50	24,3	12
2:09:00	50	24,2	12
2:10:00	50	24,1	12
2:11:00	50	24,1	12
2:12:00	50	24,1	12
2:13:00	50	24,0	12
2:14:00	50	23,9	12
2:15:00	50	24,4	13
2:16:00	50	24,3	13
2:17:00	50	24,1	13
2:18:00	50	24,1	14
2:19:00	50	24,3	13
2:20:00	50	24,1	13
2:21:00	50	24,3	13
2:22:00	50	24,2	13
2:23:00	50	24,0	13
2:24:00	50	24,0	13
2:25:00	49	24,1	13
2:26:00	49	24,1	13
2:27:00	49	24,2	13
2:28:00	49	24,4	13
2:29:00	49	24,5	13
2:30:00	49	24,7	13
2:31:00	49	24,8	13
2:32:00	49	24,9	13
2:33:00	49	24,6	15
2:34:00	49	24,7	14
2:35:00	50	24,7	14
2:36:00	50	24,7	14
2:37:00	50	24,7	16
2:38:00	50	24,6	14
2:39:00	50	24,5	13
2:40:00	50	24,2	13
2:41:00	50	24,3	14
2:42:00	50	24,0	13
2:43:00	50	24,2	14
2:44:00	50	24,0	14
2:45:00	50	24,2	14
2:46:00	50	24,1	14
2:47:00	50	24,3	14
2:48:00	50	24,1	14
2:49:00	50	24,0	14
2:50:00	50	24,2	14
2:51:00	50	24,1	14
2:52:00	50	24,1	14
2:53:00	49	24,2	14
2:54:00	49	24,2	14
2:55:00	49	24,3	14
2:56:00	49	24,5	14
2:57:00	49	24,7	14
2:58:00	49	24,9	14
2:59:00	49	24,5	14
3:00:00	49	24,7	14
3:01:00	49	25,0	15
3:02:00	49	24,3	17
3:03:00	49	24,6	18
3:04:00	49	24,6	18
3:05:00	50	24,7	18
3:06:00	50	24,7	18
3:07:00	50	24,7	18
3:08:00	50	24,6	18
3:09:00	50	24,4	18
3:10:00	50	24,2	18
3:11:00	51	24,0	18
3:12:00	51	24,0	18
3:13:00	51	24,1	18
3:14:00	51	24,3	18
3:15:00	51	24,1	18
3:16:00	51	24,3	18
3:17:00	51	24,2	19
3:18:00	51	23,9	20
3:19:00	50	24,2	20
3:20:00	50	24,1	20
3:21:00	50	24,4	20
3:22:00	50	24,2	20
3:23:00	50	24,1	20
3:24:00	50	24,0	20
3:25:00	49	24,1	20
3:26:00	49	24,2	21
3:27:00	49	24,2	21
3:28:00	49	24,5	23
3:29:00	49	24,7	24
3:30:00	49	25,0	24
3:31:00	49	24,7	25
3:32:00	49	25,0	25
3:33:00	49	24,5	25
3:34:00	49	24,8	26
3:35:00	49	24,2	26
3:36:00	49	24,4	27
3:37:00	49	24,5	29
3:38:00	49	24,6	29
3:39:00	50	24,7	29
3:40:00	50	24,6	30
3:41:00	50	24,5	31
3:42:00	50	24,4	31
3:43:00	51	24,1	31
3:44:00	51	23,9	31
3:45:00	51	24,0	31
3:46:00	51	24,2	31
3:47:00	51	24,3	31
3:48:00	51	24,1	31
3:49:00	51	24,3	31
3:50:00	51	24,2	32
3:51:00	51	24,0	32
3:52:00	51	24,2	32
3:53:00	51	24,1	32
3:54:00	51	24,3	33
3:55:00	50	24,2	34
3:56:00	50	24,0	34
3:57:00	50	24,2	34
3:58:00	50	24,0	34
3:59:00	50	24,1	35
4:00:00	49	24,0	35
4:01:00	49	24,1	36
4:02:00	49	24,3	36
4:03:00	49	24,5	36
4:04:00	49	24,7	36
4:05:00	49	24,6	37
4:06:00	49	24,9	37
4:07:00	49	24,5	38
4:08:00	49	24,9	39
4:09:00	49	24,6	39
4:10:00	49	24,8	39
4:11:00	49	24,4	40
4:12:00	49	24,6	40
4:13:00	49	24,8	41
4:14:00	50	24,8	41
4:15:00	50	24,8	41
4:16:00	50	24,7	41
4:17:00	50	24,5	44
4:18:00	51	24,3	44
4:19:00	51	24,2	44
4:20:00	51	24,3	44
4:21:00	51	24,3	45
4:22:00	51	24,1	45
4:23:00	51	24,4	45
4:24:00	51	24,1	45
4:25:00	51	24,1	45
4:26:00	51	23,9	45
4:27:00	51	24,2	46
4:28:00	51	24,1	46
4:29:00	51	24,3	47
4:30:00	51	24,2	47
4:31:00	50	24,1	47
4:32:00	50	24,3	48
4:33:00	50	24,1	48
4:34:00	50	24,0	48
4:35:00	50	23,9	48
4:36:00	50	24,0	48
4:37:00	49	24,2	49
4:38:00	49	24,3	49
4:39:00	49	24,5	50
4:40:00	49	24,8	50
4:41:00	49	24,7	51
4:42:00	49	24,4	52
4:43:00	49	24,7	52
4:44:00	49	24,4	54
4:45:00	49	24,7	54
4:46:00	49	25,0	55
4:47:00	49	24,6	56
4:48:00	49	24,7	57
4:49:00	50	24,9	57
4:50:00	50	24,9	59
4:51:00	50	24,9	60
4:52:00	50	24,8	64
4:53:00	50	24,6	65
4:54:00	51	24,3	65
4:55:00	51	24,3	66
4:56:00	51	24,3	66
4:57:00	51	24,0	67
4:58:00	51	24,2	68
4:59:00	51	23,9	68
5:00:00	51	24,2	68
5:01:00	51	24,0	68
5:02:00	51	24,2	68
5:03:00	51	24,0	69
5:04:00	51	24,4	70
5:05:00	51	24,2	70
5:06:00	51	24,0	71
