--Test Summary--
Full Path and File Name	
Instrument Name	7222#2
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	128
Test Start Date	13.05.2005
Test Start Time	2:29:46
Test Stop Date	13.05.2005
Test Stop Time	4:43:47
Test Length	2:14:01
Final Sample Time Offset	2:14:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	Mpa: 35.6(28min), T: 52C(28min), tap water
Information	WellID	
Information	Customer	
Information	CementClass	G
Information	CementMfr	Duckerhoff
Information	Additives	no additives
Information	Density	1900
Information	BHCT	
Information	BHST	
Information	FluidLoss	
Information	JobType	Specification  test
Calculated Value	30Bc - TT	1:58:00
Calculated Value	70Bc - TT	2:14:00
Calculated Value	100Bc - TT	N/A
Initial Temperature (°C)	23 °C
Final Temperature (°C)	52 °C
Initial Pressure (MPa)	2,6 MPa
Final Pressure (MPa)	35,6 MPa
Initial Consistency (Bc)	5 Bc
Final Consistency (Bc)	71 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	23	2,6	5
0:01:00	22	3,7	5
0:02:00	23	5,4	5
0:03:00	23	6,3	7
0:04:00	23	7,6	7
0:05:00	24	9,2	6
0:06:00	25	10,1	12
0:07:00	26	11,4	9
0:08:00	27	12,6	11
0:09:00	29	13,9	9
0:10:00	30	15,1	8
0:11:00	31	16,2	8
0:12:00	33	17,3	6
0:13:00	34	18,7	6
0:14:00	36	19,6	5
0:15:00	37	21,1	5
0:16:00	38	22,1	5
0:17:00	40	23,2	5
0:18:00	41	24,9	6
0:19:00	43	26,0	7
0:20:00	44	27,3	9
0:21:00	45	28,2	8
0:22:00	46	29,2	7
0:23:00	48	30,5	6
0:24:00	49	31,8	6
0:25:00	50	32,9	7
0:26:00	51	34,0	7
0:27:00	52	35,3	7
0:28:00	53	35,9	7
0:29:00	54	36,3	6
0:30:00	55	36,4	6
0:31:00	55	36,3	6
0:32:00	56	36,4	6
0:33:00	56	36,2	6
0:34:00	56	36,2	6
0:35:00	56	36,0	6
0:36:00	56	35,8	6
0:37:00	56	35,7	6
0:38:00	56	35,6	6
0:39:00	56	35,8	6
0:40:00	55	35,5	6
0:41:00	55	35,7	6
0:42:00	55	35,6	6
0:43:00	55	35,6	6
0:44:00	54	35,6	6
0:45:00	54	35,6	6
0:46:00	54	36,0	6
0:47:00	54	35,8	6
0:48:00	54	35,6	6
0:49:00	53	35,6	6
0:50:00	53	35,8	6
0:51:00	53	35,8	6
0:52:00	53	35,9	6
0:53:00	53	35,7	6
0:54:00	53	35,9	6
0:55:00	53	35,7	6
0:56:00	53	35,8	6
0:57:00	53	35,5	6
0:58:00	53	35,5	6
0:59:00	53	35,7	6
1:00:00	53	35,7	6
1:01:00	53	35,7	6
1:02:00	53	35,6	5
1:03:00	53	35,5	5
1:04:00	53	35,6	5
1:05:00	53	35,5	5
1:06:00	53	35,5	5
1:07:00	53	35,5	5
1:08:00	53	35,6	5
1:09:00	53	35,6	5
1:10:00	53	35,6	5
1:11:00	53	35,9	5
1:12:00	53	35,8	5
1:13:00	53	35,7	5
1:14:00	53	35,5	5
1:15:00	53	35,4	5
1:16:00	53	35,4	5
1:17:00	53	35,9	5
1:18:00	53	35,7	5
1:19:00	53	35,8	5
1:20:00	53	35,7	5
1:21:00	53	35,6	5
1:22:00	53	35,4	5
1:23:00	53	36,0	5
1:24:00	53	35,7	5
1:25:00	53	35,8	5
1:26:00	53	35,7	5
1:27:00	53	35,6	5
1:28:00	53	35,5	6
1:29:00	53	35,5	6
1:30:00	53	35,8	7
1:31:00	53	35,7	7
1:32:00	53	35,7	9
1:33:00	52	35,5	8
1:34:00	52	35,9	11
1:35:00	53	35,7	9
1:36:00	52	35,7	9
1:37:00	53	35,5	9
1:38:00	52	35,6	11
1:39:00	52	35,7	11
1:40:00	53	35,6	11
1:41:00	52	35,6	11
1:42:00	53	35,4	11
1:43:00	52	35,6	11
1:44:00	52	35,6	11
1:45:00	52	35,8	11
1:46:00	52	35,8	11
1:47:00	52	35,9	12
1:48:00	52	35,8	12
1:49:00	52	35,6	12
1:50:00	52	35,6	12
1:51:00	52	35,5	26
1:52:00	52	35,5	23
1:53:00	52	36,0	25
1:54:00	52	35,8	24
1:55:00	52	35,7	25
1:56:00	52	35,6	28
1:57:00	52	35,6	37
1:58:00	52	35,5	35
1:59:00	52	35,4	47
2:00:00	52	35,6	40
2:01:00	52	35,6	37
2:02:00	52	35,4	37
2:03:00	52	35,7	39
2:04:00	52	35,7	41
2:05:00	52	35,6	44
2:06:00	52	35,4	45
2:07:00	52	35,7	47
2:08:00	52	35,7	51
2:09:00	52	35,7	53
2:10:00	52	35,5	58
2:11:00	52	35,4	59
2:12:00	52	35,4	61
2:13:00	52	35,6	89
2:14:00	52	35,6	71
