--Test Summary--
Full Path and File Name	
Instrument Name	7222#2
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	128
Test Start Date	07.02.2005
Test Start Time	22:00:54
Test Stop Date	07.02.2005
Test Stop Time	23:24:54
Test Length	1:24:00
Final Sample Time Offset	1:24:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 36 (38min), T: 58C(38min), tap water, dry-blending
Information	WellID	14-1210
Information	Customer	Pokachevneftegaz
Information	CementClass	G
Information	CementMfr	Duckerhoff
Information	Additives	0.5%FL+0.5%RPM+1.5%TA-1
Information	Density	1920
Information	BHCT	58
Information	BHST	75
Information	FluidLoss	n/a
Information	JobType	146 mm Prod. csg. Tail Slurry
Calculated Value	30Bc - TT	1:18:00
Calculated Value	70Bc - TT	1:24:00
Calculated Value	100Bc - TT	N/A
Initial Temperature (°C)	27 °C
Final Temperature (°C)	58 °C
Initial Pressure (MPa)	2,3 MPa
Final Pressure (MPa)	36,8 MPa
Initial Consistency (Bc)	10 Bc
Final Consistency (Bc)	76 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	27	2,3	10
0:01:00	26	3,2	11
0:02:00	26	3,9	8
0:03:00	26	4,9	5
0:04:00	26	5,9	13
0:05:00	26	7,2	12
0:06:00	27	8,5	12
0:07:00	27	9,2	9
0:08:00	28	10,3	19
0:09:00	30	10,9	19
0:10:00	31	12,0	16
0:11:00	32	12,4	14
0:12:00	34	13,5	9
0:13:00	35	14,4	12
0:14:00	36	15,5	7
0:15:00	38	16,3	13
0:16:00	39	17,1	7
0:17:00	40	18,0	7
0:18:00	41	18,7	12
0:19:00	42	19,4	9
0:20:00	44	20,2	6
0:21:00	45	21,3	2
0:22:00	46	21,9	18
0:23:00	47	22,8	6
0:24:00	47	24,0	6
0:25:00	48	24,9	25
0:26:00	49	25,6	3
0:27:00	50	26,8	24
0:28:00	51	27,2	11
0:29:00	51	28,1	18
0:30:00	52	29,2	10
0:31:00	53	30,1	3
0:32:00	54	31,2	2
0:33:00	54	31,7	5
0:34:00	55	32,7	14
0:35:00	56	33,6	14
0:36:00	57	34,8	8
0:37:00	57	35,5	21
0:38:00	58	36,4	5
0:39:00	59	34,1	18
0:40:00	60	36,4	11
0:41:00	60	36,6	20
0:42:00	61	36,5	12
0:43:00	61	36,6	5
0:44:00	62	36,5	7
0:45:00	62	36,5	7
0:46:00	62	36,1	12
0:47:00	62	35,9	4
0:48:00	62	35,9	10
0:49:00	62	35,9	14
0:50:00	62	36,3	9
0:51:00	61	35,9	7
0:52:00	61	35,9	6
0:53:00	61	35,9	11
0:54:00	60	36,2	25
0:55:00	60	35,8	5
0:56:00	60	35,9	12
0:57:00	59	36,2	23
0:58:00	59	35,9	23
0:59:00	59	36,0	27
1:00:00	59	35,9	24
1:01:00	59	36,1	15
1:02:00	58	36,2	17
1:03:00	58	36,1	11
1:04:00	58	35,8	12
1:05:00	58	35,9	20
1:06:00	58	36,0	17
1:07:00	58	36,1	13
1:08:00	58	36,3	21
1:09:00	58	36,3	21
1:10:00	58	36,6	21
1:11:00	58	36,8	22
1:12:00	58	36,8	22
1:13:00	58	36,9	24
1:14:00	58	36,4	23
1:15:00	58	36,6	24
1:16:00	58	36,5	24
1:17:00	58	36,7	32
1:18:00	58	36,5	32
1:19:00	58	36,7	66
1:20:00	58	36,7	52
1:21:00	58	36,6	69
1:22:00	58	36,8	62
1:23:00	58	36,8	82
1:24:00	58	36,8	76
