--Test Summary--
Full Path and File Name	
Instrument Name	7222#2
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	128
Test Start Date	29.06.2005
Test Start Time	3:19:58
Test Stop Date	29.06.2005
Test Stop Time	8:02:58
Test Length	4:43:00
Final Sample Time Offset	4:43:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 48.6(84), T: 60C(84), cement from Toboy, tap water
Information	WellID	2p
Information	Customer	LUKOIL-SEVER
Information	CementClass	G
Information	CementMfr	Duckerhoff
Information	Additives	0.5%FL+0.5%RPM+0.05%LTR-100
Information	Density	1850
Information	BHCT	60
Information	BHST	74
Information	FluidLoss	
Information	JobType	168.3 mm csg tail slurry
Calculated Value	30Bc - TT	4:22:00
Calculated Value	70Bc - TT	4:43:00
Calculated Value	100Bc - TT	N/A
Initial Temperature (°C)	27 °C
Final Temperature (°C)	60 °C
Initial Pressure (MPa)	2,0 MPa
Final Pressure (MPa)	48,6 MPa
Initial Consistency (Bc)	3 Bc
Final Consistency (Bc)	77 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	27	2,0	3
0:01:00	27	2,2	7
0:02:00	27	3,0	16
0:03:00	28	3,3	7
0:04:00	27	3,9	3
0:05:00	28	4,4	3
0:06:00	28	5,0	3
0:07:00	28	5,8	3
0:08:00	28	6,7	3
0:09:00	28	6,7	3
0:10:00	29	7,7	3
0:11:00	29	8,0	3
0:12:00	30	8,4	-0
0:13:00	30	9,1	3
0:14:00	31	9,9	3
0:15:00	31	10,3	1
0:16:00	32	10,8	2
0:17:00	32	11,5	2
0:18:00	33	11,8	-0
0:19:00	33	12,5	3
0:20:00	34	13,1	-0
0:21:00	34	13,4	1
0:22:00	35	14,1	-0
0:23:00	35	14,9	0
0:24:00	36	15,4	-0
0:25:00	36	15,8	-1
0:26:00	36	16,1	-0
0:27:00	37	17,2	4
0:28:00	37	17,6	5
0:29:00	38	17,8	5
0:30:00	38	18,8	3
0:31:00	39	19,0	3
0:32:00	39	20,0	4
0:33:00	39	20,2	3
0:34:00	40	20,8	2
0:35:00	40	21,3	3
0:36:00	41	21,9	2
0:37:00	41	22,7	3
0:38:00	42	23,1	3
0:39:00	42	23,6	2
0:40:00	42	23,9	3
0:41:00	43	24,6	3
0:42:00	43	25,4	3
0:43:00	43	25,7	2
0:44:00	44	26,7	3
0:45:00	44	26,9	-0
0:46:00	45	27,5	1
0:47:00	45	28,3	-1
0:48:00	46	28,5	2
0:49:00	46	29,4	5
0:50:00	46	29,9	3
0:51:00	47	30,2	1
0:52:00	47	31,1	3
0:53:00	48	31,2	3
0:54:00	48	32,1	1
0:55:00	48	32,4	-0
0:56:00	49	33,3	2
0:57:00	49	33,7	0
0:58:00	50	34,1	3
0:59:00	50	34,7	1
1:00:00	50	35,2	2
1:01:00	51	35,8	3
1:02:00	51	36,4	3
1:03:00	52	37,0	3
1:04:00	52	37,8	3
1:05:00	52	38,0	3
1:06:00	53	38,7	2
1:07:00	53	38,9	3
1:08:00	54	39,9	3
1:09:00	54	40,1	3
1:10:00	54	40,9	3
1:11:00	55	41,5	3
1:12:00	55	42,3	2
1:13:00	56	42,8	3
1:14:00	56	43,2	3
1:15:00	57	43,6	2
1:16:00	57	44,1	2
1:17:00	58	44,7	2
1:18:00	58	45,5	1
1:19:00	58	46,0	1
1:20:00	59	46,2	1
1:21:00	59	47,1	0
1:22:00	59	47,6	-1
1:23:00	60	48,2	-0
1:24:00	60	48,5	-0
1:25:00	61	48,9	0
1:26:00	61	49,0	-0
1:27:00	61	49,2	-0
1:28:00	62	49,4	-1
1:29:00	62	49,4	-1
1:30:00	62	49,4	-1
1:31:00	62	49,4	-1
1:32:00	62	49,2	4
1:33:00	62	49,1	-0
1:34:00	62	49,0	3
1:35:00	62	48,9	2
1:36:00	62	48,9	3
1:37:00	62	48,9	3
1:38:00	61	48,8	-0
1:39:00	61	48,6	3
