--Test Summary--
Full Path and File Name	
Instrument Name	7222#2
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	128
Test Start Date	30.06.2005
Test Start Time	21:29:23
Test Stop Date	01.07.2005
Test Stop Time	0:49:23
Test Length	3:20:00
Final Sample Time Offset	3:20:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 23(30min), T: 65C(30min), tap water, premix
Information	WellID	
Information	Customer	Tjub-Karagan
Information	CementClass	PCT-I-G
Information	CementMfr	Duckerhoff
Information	Additives	0.6%FL+0.2%RPM
Information	Density	1830
Information	BHCT	65
Information	BHST	81
Information	FluidLoss	n/a
Information	JobType	Research
Calculated Value	30Bc - TT	2:43:00
Calculated Value	70Bc - TT	3:20:00
Calculated Value	100Bc - TT	N/A
Initial Temperature (°C)	27 °C
Final Temperature (°C)	66 °C
Initial Pressure (MPa)	0,9 MPa
Final Pressure (MPa)	23,1 MPa
Initial Consistency (Bc)	4 Bc
Final Consistency (Bc)	72 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	27	0,9	4
0:01:00	26	2,2	4
0:02:00	26	3,1	4
0:03:00	26	3,7	4
0:04:00	26	4,7	13
0:05:00	26	6,0	12
0:06:00	26	6,8	13
0:07:00	27	7,2	14
0:08:00	28	8,1	12
0:09:00	30	8,7	14
0:10:00	31	9,2	10
0:11:00	33	10,2	12
0:12:00	35	10,8	14
0:13:00	37	11,6	10
0:14:00	39	12,1	9
0:15:00	41	12,6	10
0:16:00	43	13,3	8
0:17:00	45	14,3	10
0:18:00	47	14,8	9
0:19:00	49	15,3	9
0:20:00	51	16,4	9
0:21:00	52	17,0	11
0:22:00	54	17,8	9
0:23:00	55	18,3	7
0:24:00	57	19,0	6
0:25:00	58	19,7	6
0:26:00	60	20,5	5
0:27:00	61	21,3	4
0:28:00	62	21,5	4
0:29:00	63	22,5	3
0:30:00	65	23,4	3
0:31:00	66	23,7	3
0:32:00	67	23,6	3
0:33:00	68	23,6	4
0:34:00	69	23,6	4
0:35:00	70	23,6	4
0:36:00	71	23,5	3
0:37:00	71	23,4	3
0:38:00	71	23,1	3
0:39:00	71	23,3	3
0:40:00	71	22,7	5
0:41:00	71	22,8	4
0:42:00	71	23,0	5
0:43:00	71	23,1	4
0:44:00	70	23,0	4
0:45:00	70	23,3	3
0:46:00	69	22,8	3
0:47:00	69	23,2	3
0:48:00	68	22,8	2
0:49:00	68	23,1	2
0:50:00	68	23,0	2
0:51:00	67	22,8	2
0:52:00	67	22,8	3
0:53:00	66	23,1	3
0:54:00	66	23,2	3
0:55:00	66	23,3	3
0:56:00	66	23,4	2
0:57:00	66	23,2	3
0:58:00	65	23,3	3
0:59:00	65	23,3	3
1:00:00	65	23,4	2
1:01:00	65	23,3	2
1:02:00	65	23,3	2
1:03:00	65	23,4	2
1:04:00	65	23,6	2
1:05:00	65	23,7	2
1:06:00	65	23,7	2
1:07:00	65	23,8	2
1:08:00	65	23,8	2
1:09:00	65	23,1	8
1:10:00	65	23,4	5
1:11:00	66	23,4	6
1:12:00	66	23,2	5
1:13:00	66	23,4	4
1:14:00	66	23,2	4
1:15:00	66	23,3	4
1:16:00	66	23,2	4
1:17:00	66	23,4	4
1:18:00	66	23,3	4
1:19:00	66	23,1	4
1:20:00	66	23,2	4
1:21:00	66	23,1	4
1:22:00	66	23,1	4
1:23:00	66	23,2	4
1:24:00	66	23,1	4
1:25:00	66	23,1	4
1:26:00	65	23,3	4
1:27:00	65	23,0	4
1:28:00	65	23,1	4
1:29:00	65	23,0	4
1:30:00	65	23,1	4
1:31:00	65	23,2	4
1:32:00	65	23,1	4
1:33:00	65	23,1	4
1:34:00	65	23,2	4
1:35:00	65	23,1	4
1:36:00	65	23,0	4
1:37:00	65	23,1	4
1:38:00	65	23,2	4
1:39:00	65	23,0	4
1:40:00	65	23,1	4
