--Test Summary--
Full Path and File Name	
Instrument Name	7222#2
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	128
Test Start Date	16.02.2005
Test Start Time	21:34:16
Test Stop Date	17.02.2005
Test Stop Time	1:09:00
Test Length	3:34:44
Final Sample Time Offset	3:34:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 44(65) T:26(65), all samples from field
Information	WellID	231
Information	Customer	Pechora Neft
Information	CementClass	PCT-II-50
Information	CementMfr	Sukhoy Log
Information	Additives	1.5%TA-1+1.5%SMS+0.05%R-7
Information	Density	1500
Information	BHCT	44
Information	BHST	58
Information	FluidLoss	
Information	JobType	146 mm csg. Lead Slurry
Calculated Value	30Bc - TT	2:35:00
Calculated Value	70Bc - TT	N/A
Calculated Value	100Bc - TT	N/A
Initial Temperature (°C)	25 °C
Final Temperature (°C)	44 °C
Initial Pressure (MPa)	2,0 MPa
Final Pressure (MPa)	25,9 MPa
Initial Consistency (Bc)	13 Bc
Final Consistency (Bc)	67 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	25	2,0	13
0:01:00	25	2,3	11
0:02:00	24	2,4	16
0:03:00	24	2,8	16
0:04:00	24	3,6	17
0:05:00	24	4,0	17
0:06:00	24	4,6	17
0:07:00	25	5,2	18
0:08:00	25	5,8	17
0:09:00	25	5,4	17
0:10:00	26	6,1	17
0:11:00	27	6,5	17
0:12:00	27	7,1	17
0:13:00	28	7,4	17
0:14:00	28	7,8	17
0:15:00	29	8,2	17
0:16:00	30	8,3	17
0:17:00	30	8,6	17
0:18:00	31	9,2	14
0:19:00	31	9,5	16
0:20:00	32	9,7	14
0:21:00	32	9,8	15
0:22:00	32	10,0	16
0:23:00	33	10,6	17
0:24:00	33	10,9	16
0:25:00	33	11,1	15
0:26:00	34	11,7	17
0:27:00	34	11,9	17
0:28:00	34	12,7	17
0:29:00	34	12,7	15
0:30:00	35	12,8	16
0:31:00	35	13,7	16
0:32:00	35	13,7	16
0:33:00	35	13,9	15
0:34:00	35	14,5	16
0:35:00	36	14,9	16
0:36:00	36	15,4	17
0:37:00	36	15,6	15
0:38:00	37	16,1	17
0:39:00	37	16,4	15
0:40:00	37	16,9	11
0:41:00	38	17,1	17
0:42:00	38	17,5	14
0:43:00	38	17,9	4
0:44:00	38	18,2	13
0:45:00	39	18,5	17
0:46:00	39	19,0	12
0:47:00	39	19,2	-0
0:48:00	39	19,7	-0
0:49:00	40	20,0	-0
0:50:00	40	20,3	-0
0:51:00	40	20,9	2
0:52:00	40	21,2	4
0:53:00	41	21,4	2
0:54:00	41	21,7	3
0:55:00	41	22,3	-0
0:56:00	42	22,7	-1
0:57:00	42	23,1	-0
0:58:00	42	23,4	5
0:59:00	43	24,0	13
1:00:00	43	24,3	11
1:01:00	43	24,6	12
1:02:00	43	24,9	-0
1:03:00	44	25,6	-0
1:04:00	44	25,9	10
1:05:00	44	25,9	15
1:06:00	45	26,0	7
1:07:00	45	26,2	-0
1:08:00	45	26,2	7
1:09:00	45	26,2	17
1:10:00	45	26,3	9
1:11:00	45	26,0	14
1:12:00	46	26,0	14
1:13:00	46	25,9	17
1:14:00	46	25,9	0
1:15:00	46	25,8	17
1:16:00	45	25,8	1
