--Test Summary--
Full Path and File Name	
Instrument Name	4262L
Instrument Type	Model 4262 Twin Cell UCA
Instrument Serial Number	111L
Test Start Date	01.04.2005
Test Start Time	2:59:37
Test Stop Date	04.04.2005
Test Stop Time	19:54:51
Test Length	88:55:14
Final Sample Time Offset	88:55:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	T:56(30)
Information	WellID	465/2911
Information	Customer	Samotlorneftegaz
Information	CementClass	PCT-I-G
Information	CementMfr	Duckerhoff
Information	Additives	0.8%FL+0.3%RPM
Information	Density	1900
Information	BHCT	56
Information	BHST	56
Information	FluidLoss	30cc/30min
Information	JobType	Hesitation Squeeze
Calculated Value	CS_50	7:29:00
Calculated Value	CS_500	9:56:00
Calculated Value	CS_Time8h	0,81 MPa
Calculated Value	CS_Time16h	14,16 MPa
Calculated Value	CS_Time24h	19,51 MPa
Calculated Value	CS_Time48h	23,57 MPa
Calculated Value	CS_Time72h	25,18 MPa
Calculated Curve	Compressive Strength	Compressive strength type B (more than 14 lb/gal)
Initial Temperature (°C)	23 °C
Final Temperature (°C)	57 °C
Initial Transit Time (microsec/in)	ERROR
Final Transit Time (microsec/in)	7,95 microsec/in
Initial Compressive Strength (MPa)	N/A
Final Compressive Strength (MPa)	25,86 MPa
--Data--
Time (HH:MM:SS)	Temperature (°C)	Transit Time (microsec/in)	Compressive Strength (MPa)
0:00:00	23		
0:01:00	23		
0:02:00	23		
0:03:00	23		
0:04:00	24		
0:05:00	24		
0:06:00	24		
0:07:00	25		
0:08:00	26		
0:09:00	27		
0:10:00	28		
0:11:00	29		
0:12:00	30		
0:13:00	32		
0:14:00	33		
0:15:00	35		
0:16:00	36		
0:17:00	37		
0:18:00	39		
0:19:00	40		
0:20:00	41		
0:21:00	43	18,00	0,00
0:22:00	44		
0:23:00	45		
0:24:00	47		
0:25:00	48		
0:26:00	49		
0:27:00	50		
0:28:00	52		
0:29:00	53		
0:30:00	54		
0:31:00	56		
0:32:00	57		
0:33:00	58		
0:34:00	59		
0:35:00	60		
0:36:00	61		
0:37:00	61		
0:38:00	61		
0:39:00	62		
0:40:00	62		
0:41:00	62		
0:42:00	62		
0:43:00	62		
0:44:00	62		
0:45:00	62		
0:46:00	62		
0:47:00	62		
0:48:00	62		
0:49:00	62		
0:50:00	62		
0:51:00	62		
0:52:00	61		
0:53:00	61		
0:54:00	61		
0:55:00	61		
0:56:00	61		
0:57:00	61		
0:58:00	60		
0:59:00	60		
1:00:00	60		
1:01:00	60		
1:02:00	60		
1:03:00	59		
1:04:00	59		
1:05:00	59		
1:06:00	59		
1:07:00	59		
1:08:00	59		
1:09:00	58		
1:10:00	59	17,87	0,02
1:11:00	59		
1:12:00	59		
1:13:00	59		
1:14:00	59		
1:15:00	58		
1:16:00	59		
1:17:00	58		
1:18:00	58		
1:19:00	58		
1:20:00	58		
1:21:00	58		
1:22:00	58		
1:23:00	58		
1:24:00	58		
1:25:00	58		
1:26:00	58		
1:27:00	58		
1:28:00	58		
1:29:00	58		
1:30:00	58		
1:31:00	58		
1:32:00	58		
1:33:00	58		
1:34:00	58		
1:35:00	58		
1:36:00	58		
1:37:00	58		
1:38:00	58		
1:39:00	58		
1:40:00	57		
1:41:00	57		
1:42:00	58		
1:43:00	58		
1:44:00	58		
1:45:00	57		
1:46:00	58		
1:47:00	58		
1:48:00	58		
1:49:00	58		
1:50:00	58		
1:51:00	57		
1:52:00	57		
1:53:00	58		
1:54:00	58		
1:55:00	57		
1:56:00	58		
1:57:00	57		
1:58:00	57		
1:59:00	58		
2:00:00	58		
2:01:00	57		
2:02:00	57		
2:03:00	58		
2:04:00	57		
2:05:00	57		
2:06:00	57		
2:07:00	57		
2:08:00	57		
2:09:00	57		
2:10:00	57		
2:11:00	57		
2:12:00	58		
2:13:00	58		
2:14:00	57		
2:15:00	57		
2:16:00	57		
2:17:00	57		
2:18:00	57		
2:19:00	58		
2:20:00	57		
2:21:00	57		
2:22:00	57		
2:23:00	57		
2:24:00	57		
2:25:00	57		
2:26:00	58		
2:27:00	57		
2:28:00	57		
2:29:00	58		
2:30:00	57		
2:31:00	57		
2:32:00	57		
2:33:00	58		
2:34:00	57		
2:35:00	57		
2:36:00	57		
2:37:00	58		
2:38:00	57		
2:39:00	57		
2:40:00	58		
2:41:00	57		
2:42:00	57		
2:43:00	57		
2:44:00	57		
2:45:00	57		
2:46:00	58		
2:47:00	57		
2:48:00	58		
2:49:00	58		
2:50:00	58		
2:51:00	57		
2:52:00	58		
2:53:00	58		
2:54:00	57		
2:55:00	58		
2:56:00	57		
2:57:00	57		
2:58:00	57		
2:59:00	57		
3:00:00	57		
3:01:00	57		
3:02:00	57		
3:03:00	58		
3:04:00	57		
3:05:00	58		
3:06:00	58		
3:07:00	57		
3:08:00	58		
3:09:00	57		
3:10:00	57		
3:11:00	57		
3:12:00	57		
3:13:00	58		
3:14:00	58		
3:15:00	58		
3:16:00	57		
3:17:00	57		
3:18:00	58		
3:19:00	57		
3:20:00	57		
3:21:00	58		
3:22:00	57		
3:23:00	57		
3:24:00	57		
3:25:00	58		
3:26:00	57		
3:27:00	57		
3:28:00	57		
3:29:00	57		
3:30:00	57		
3:31:00	58		
3:32:00	57		
3:33:00	57		
3:34:00	57		
3:35:00	57		
3:36:00	57		
3:37:00	57		
3:38:00	57		
3:39:00	57		
3:40:00	57		
3:41:00	57		
3:42:00	58		
3:43:00	57		
3:44:00	57		
3:45:00	58		
3:46:00	58		
3:47:00	57		
3:48:00	58		
3:49:00	57		
3:50:00	58		
3:51:00	57		
3:52:00	57		
3:53:00	57		
3:54:00	57		
3:55:00	57		
3:56:00	58		
3:57:00	57		
3:58:00	58		
3:59:00	57		
4:00:00	58		
4:01:00	57		
4:02:00	57		
4:03:00	57		
4:04:00	57		
4:05:00	57		
4:06:00	57		
4:07:00	58		
4:08:00	57		
4:09:00	57		
4:10:00	58		
4:11:00	57		
4:12:00	58		
4:13:00	57		
4:14:00	58		
4:15:00	58		
4:16:00	57		
4:17:00	57		
4:18:00	57		
4:19:00	57		
4:20:00	57		
4:21:00	57		
4:22:00	57		
4:23:00	57		
4:24:00	57		
4:25:00	57		
4:26:00	57		
4:27:00	57		
4:28:00	58		
4:29:00	57		
4:30:00	57		
4:31:00	57		
4:32:00	57		
4:33:00	57		
4:34:00	58		
4:35:00	58		
4:36:00	57		
4:37:00	57		
4:38:00	57		
4:39:00	57		
4:40:00	57		
4:41:00	57		
4:42:00	57		
4:43:00	57		
4:44:00	57		
4:45:00	57		
4:46:00	57		
4:47:00	58		
4:48:00	58		
4:49:00	57		
4:50:00	57		
4:51:00	57		
4:52:00	57		
4:53:00	58		
4:54:00	57		
4:55:00	57		
4:56:00	57		
4:57:00	57		
4:58:00	57		
4:59:00	58		
5:00:00	58		
5:01:00	57		
5:02:00	57		
5:03:00	57		
5:04:00	58		
5:05:00	57		
5:06:00	57		
5:07:00	58		
5:08:00	58		
5:09:00	57		
5:10:00	57		
5:11:00	57		
5:12:00	57		
5:13:00	57		
5:14:00	57		
5:15:00	57		
5:16:00	58		
5:17:00	57		
5:18:00	57		
5:19:00	57		
5:20:00	57		
5:21:00	57		
5:22:00	57		
