--Test Summary--
Full Path and File Name	
Instrument Name	4262R
Instrument Type	Model 4262 Twin Cell UCA
Instrument Serial Number	111R
Test Start Date	22.02.2005
Test Start Time	4:50:14
Test Stop Date	24.02.2005
Test Stop Time	21:16:39
Test Length	64:26:25
Final Sample Time Offset	64:26:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	T:60(30)
Information	WellID	
Information	Customer	PetroAlliance
Information	CementClass	PCT-I-G
Information	CementMfr	Duckerhoff
Information	Additives	56%MS-AS+1%Gel
Information	Density	1250
Information	BHCT	60
Information	BHST	
Information	FluidLoss	
Information	JobType	Research
Calculated Value	CS_50	4:28:00
Calculated Value	CS_500	8:28:00
Calculated Value	CS_Time8h	3,15 MPa
Calculated Value	CS_Time16h	5,43 MPa
Calculated Value	CS_Time24h	6,13 MPa
Calculated Value	CS_Time48h	6,88 MPa
Calculated Value	CS_Time72h	N/A
Calculated Curve	Compressive Strength	Compressive strength type A (less than 14 lb/gal)
Initial Temperature (°C)	20 °C
Final Temperature (°C)	59 °C
Initial Transit Time (microsec/in)	13,95 microsec/in
Final Transit Time (microsec/in)	10,47 microsec/in
Initial Compressive Strength (MPa)	0,00 MPa
Final Compressive Strength (MPa)	7,46 MPa
--Data--
Time (HH:MM:SS)	Temperature (°C)	Transit Time (microsec/in)	Compressive Strength (MPa)
0:00:00	20	13,95	0,00
0:01:00	20	13,97	0,00
0:02:00	20	13,98	0,00
0:03:00	20	13,98	0,00
0:04:00	21	13,98	0,00
0:05:00	21	13,99	0,00
0:06:00	22	13,98	0,00
0:07:00	23	13,98	0,00
0:08:00	24	13,98	0,00
0:09:00	26	13,98	0,00
0:10:00	27	13,98	0,00
0:11:00	28	13,96	0,00
0:12:00	30	13,96	0,00
0:13:00	31	13,94	0,01
0:14:00	32	13,92	0,02
0:15:00	33	13,91	0,03
0:16:00	35	13,89	0,05
0:17:00	36	13,88	0,06
0:18:00	38	13,86	0,08
0:19:00	39	13,85	0,09
0:20:00	41	13,82	0,12
0:21:00	42	13,80	0,13
0:22:00	44	13,80	0,14
0:23:00	45	13,79	0,15
0:24:00	47		
0:25:00	48	13,75	0,18
0:26:00	50	13,75	0,19
0:27:00	51	13,73	0,20
0:28:00	53	13,71	0,22
0:29:00	54	13,71	0,23
0:30:00	55	13,69	0,24
0:31:00	57	13,69	0,25
0:32:00	58	13,67	0,26
0:33:00	60	13,66	0,27
0:34:00	60	13,66	0,27
0:35:00	61	13,66	0,28
0:36:00	62	13,66	0,27
0:37:00	63	13,66	0,28
0:38:00	63	13,66	0,28
0:39:00	63	13,66	0,27
0:40:00	64	13,66	0,27
0:41:00	64	13,68	0,26
0:42:00	64	13,68	0,26
0:43:00	64	13,67	0,26
0:44:00	64	13,66	0,27
0:45:00	64	13,66	0,27
0:46:00	64	13,67	0,26
0:47:00	64	13,68	0,26
0:48:00	64	13,68	0,26
0:49:00	63	13,68	0,26
0:50:00	63	13,67	0,26
0:51:00	63	13,67	0,26
0:52:00	63	13,67	0,26
0:53:00	62	13,68	0,26
0:54:00	62	13,69	0,25
0:55:00	62	13,68	0,26
0:56:00	62	13,69	0,25
0:57:00	62	13,69	0,24
0:58:00	61	13,69	0,24
0:59:00	61	13,69	0,24
1:00:00	61	13,69	0,25
1:01:00	61	13,69	0,24
1:02:00	60	13,70	0,23
1:03:00	60	13,69	0,24
1:04:00	60	13,71	0,23
1:05:00	60	13,71	0,23
1:06:00	60	13,71	0,22
1:07:00	60	13,70	0,23
1:08:00	60	13,70	0,23
1:09:00	60	13,72	0,21
1:10:00	60	13,71	0,22
1:11:00	60	13,71	0,23
1:12:00	60	13,71	0,22
1:13:00	60	13,73	0,20
