--Test Summary--
Full Path and File Name	
Instrument Name	4262R
Instrument Type	Model 4262 Twin Cell UCA
Instrument Serial Number	111R
Test Start Date	02.06.2005
Test Start Time	21:05:45
Test Stop Date	03.06.2005
Test Stop Time	22:47:11
Test Length	25:41:26
Final Sample Time Offset	25:41:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	T: 60 (40 min), 75 (240 min)
Information	WellID	
Information	Customer	
Information	CementClass	G
Information	CementMfr	Duckerhoff
Information	Additives	0.5%FL+0.5%RPM+0.02%AVP-P
Information	Density	1940
Information	BHCT	60
Information	BHST	75
Information	FluidLoss	
Information	JobType	Research
Calculated Value	CS_50	2:46:00
Calculated Value	CS_500	3:12:00
Calculated Value	CS_Time8h	16,02 MPa
Calculated Value	CS_Time16h	20,70 MPa
Calculated Value	CS_Time24h	23,83 MPa
Calculated Value	CS_Time48h	N/A
Calculated Value	CS_Time72h	N/A
Calculated Curve	Compressive Strength	Compressive strength type B (more than 14 lb/gal)
Initial Temperature (°C)	22 °C
Final Temperature (°C)	74 °C
Initial Transit Time (microsec/in)	16,26 microsec/in
Final Transit Time (microsec/in)	8,05 microsec/in
Initial Compressive Strength (MPa)	0,00 MPa
Final Compressive Strength (MPa)	24,05 MPa
--Data--
Time (HH:MM:SS)	Temperature (°C)	Transit Time (microsec/in)	Compressive Strength (MPa)
0:00:00	22	16,26	0,00
0:01:00	22	16,26	0,00
0:02:00	22	16,27	0,00
0:03:00	22	16,27	0,00
0:04:00	22	16,27	0,00
0:05:00	22	16,27	0,00
0:06:00	23	16,26	0,00
0:07:00	23	16,26	0,00
0:08:00	24	16,25	0,00
0:09:00	24	16,23	0,01
0:10:00	24	16,21	0,01
0:11:00	25	16,18	0,02
0:12:00	26	16,15	0,03
0:13:00	26	16,11	0,04
0:14:00	27	16,07	0,06
0:15:00	28	16,03	0,07
0:16:00	28	16,00	0,08
0:17:00	29	15,97	0,09
0:18:00	30	15,94	0,09
0:19:00	31	15,91	0,10
0:20:00	33	15,89	0,11
0:21:00	35	15,86	0,12
0:22:00	36	15,83	0,13
0:23:00	37	15,81	0,14
0:24:00	38	15,78	0,14
0:25:00	39	15,77	0,15
0:26:00	41	15,75	0,15
0:27:00	43	15,75	0,16
0:28:00	45	15,74	0,16
0:29:00	47	15,74	0,16
0:30:00	49	15,74	0,16
0:31:00	50	15,75	0,16
0:32:00	50	15,75	0,15
0:33:00	51	15,78	0,15
0:34:00	52	15,81	0,14
0:35:00	54	15,83	0,13
0:36:00	54	15,86	0,12
0:37:00	56	15,89	0,11
0:38:00	57	15,91	0,10
0:39:00	57	15,95	0,09
0:40:00	59	15,99	0,08
0:41:00	60	16,04	0,06
