--Test Summary--
Full Path and File Name	
Instrument Name	7222#1
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	113
Test Start Date	29.05.2007
Test Start Time	9:19:54
Test Stop Date	29.05.2007
Test Stop Time	11:36:40
Test Length	2:16:46
Final Sample Time Offset	2:16:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 12(26 min); T: 35(26 min); fiela cement; premix
Information	WellID	Rakushechnaya 6
Information	Customer	LUKoil-Shelf
Information	CementClass	G
Information	CementMfr	Duckerhoff
Information	Additives	2%CaCl2
Information	Density	1900
Information	BHCT	35
Information	BHST	53
Information	FluidLoss	
Information	JobType	244.5 mm csg
Calculated Value	30Bc - TT	1:25:00
Calculated Value	70Bc - TT	N/A
Calculated Value	100Bc - TT	N/A
Initial Temperature (°C)	35 °C
Final Temperature (°C)	37 °C
Initial Pressure (MPa)	1,9 MPa
Final Pressure (MPa)	12,2 MPa
Initial Consistency (Bc)	24 Bc
Final Consistency (Bc)	70 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	35	1,9	24
0:01:00	34	3,8	18
0:02:00	34	4,3	25
0:03:00	35	4,3	30
0:04:00	35	4,5	22
0:05:00	35	4,8	19
0:06:00	35	5,4	22
0:07:00	35	5,4	21
0:08:00	35	5,8	21
0:09:00	35	6,3	29
0:10:00	35	6,7	28
0:11:00	35	6,7	26
0:12:00	35	7,1	27
0:13:00	35	7,5	28
0:14:00	35	8,1	26
0:15:00	35	8,3	32
0:16:00	35	8,4	28
0:17:00	35	8,9	24
0:18:00	35	9,2	22
0:19:00	35	9,7	21
0:20:00	35	9,8	21
0:21:00	35	10,2	24
0:22:00	35	10,5	24
0:23:00	35	10,8	25
0:24:00	35	11,3	25
0:25:00	35	11,7	23
0:26:00	35	12,1	22
0:27:00	35	12,1	22
0:28:00	35	12,0	23
0:29:00	35	12,3	27
0:30:00	35	12,3	27
0:31:00	35	12,5	27
0:32:00	35	12,6	24
0:33:00	35	12,6	24
0:34:00	35	12,6	29
0:35:00	35	12,6	25
0:36:00	35	12,6	23
0:37:00	35	12,6	23
0:38:00	35	12,6	23
0:39:00	35	12,5	23
0:40:00	35	12,3	24
0:41:00	35	12,3	24
0:42:00	35	12,4	24
0:43:00	35	12,5	24
0:44:00	35	12,6	24
0:45:00	35	12,6	24
0:46:00	35	12,6	24
0:47:00	35	12,5	23
0:48:00	35	12,5	23
0:49:00	35	12,4	23
0:50:00	35	12,4	23
0:51:00	35	12,5	23
0:52:00	35	12,5	23
0:53:00	35	12,5	23
0:54:00	35	12,5	23
0:55:00	35	12,4	22
0:56:00	35	12,4	22
0:57:00	35	12,5	22
0:58:00	35	12,5	22
0:59:00	35	12,4	22
1:00:00	35	12,3	22
1:01:00	35	12,3	22
1:02:00	35	12,3	22
1:03:00	35	12,3	21
1:04:00	35	12,3	22
1:05:00	35	12,3	22
1:06:00	35	12,3	22
1:07:00	35	12,3	22
1:08:00	35	12,3	22
1:09:00	35	12,2	22
1:10:00	35	12,2	22
1:11:00	35	12,2	22
1:12:00	35	12,2	23
1:13:00	35	12,2	23
1:14:00	35	12,1	23
1:15:00	35	12,1	23
1:16:00	35	12,1	22
1:17:00	35	12,1	23
1:18:00	35	12,1	23
1:19:00	35	12,1	23
1:20:00	35	12,1	23
1:21:00	35	12,0	23
1:22:00	35	12,0	24
1:23:00	35	12,0	24
1:24:00	35	12,0	31
1:25:00	35	12,0	31
1:26:00	35	12,0	26
1:27:00	35	12,0	26
1:28:00	35	12,0	26
1:29:00	35	12,0	26
1:30:00	35	12,0	26
1:31:00	35	12,0	27
1:32:00	35	11,9	27
1:33:00	35	11,9	28
1:34:00	35	12,4	27
1:35:00	35	12,4	28
1:36:00	35	12,4	28
1:37:00	35	12,4	36
1:38:00	35	12,3	36
1:39:00	36	12,3	31
1:40:00	36	12,3	30
1:41:00	36	12,3	33
1:42:00	36	12,3	45
1:43:00	36	12,3	34
1:44:00	36	12,3	44
1:45:00	36	12,3	44
1:46:00	36	12,3	46
1:47:00	36	12,2	47
1:48:00	36	12,2	48
1:49:00	36	12,2	49
1:50:00	36	12,2	50
1:51:00	36	12,2	51
1:52:00	36	12,2	52
1:53:00	36	12,2	52
1:54:00	36	12,2	53
1:55:00	36	12,1	54
1:56:00	36	12,1	54
1:57:00	36	12,1	57
1:58:00	37	12,1	50
1:59:00	37	12,1	59
2:00:00	37	12,1	54
2:01:00	37	12,1	53
2:02:00	37	12,0	61
2:03:00	37	12,0	60
2:04:00	37	12,0	53
2:05:00	37	12,0	55
2:06:00	37	11,9	59
2:07:00	37	12,1	67
2:08:00	37	12,1	66
2:09:00	37	12,1	56
2:10:00	37	12,0	60
2:11:00	37	12,0	61
2:12:00	37	12,0	63
2:13:00	37	12,0	65
2:14:00	37	11,9	65
2:15:00	37	12,2	67
2:16:00	37	12,2	70
