--Test Summary--
Full Path and File Name	
Instrument Name	7222#1
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	113
Test Start Date	07.06.2007
Test Start Time	9:01:55
Test Stop Date	07.06.2007
Test Stop Time	13:08:56
Test Length	4:07:01
Final Sample Time Offset	4:07:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 22.6 (43 min); T: 50 (43 min); field (sea) water, premix
Information	WellID	Rakushechnaya 6
Information	Customer	LUKoil-Shelf
Information	CementClass	PCT-I-G
Information	CementMfr	Duckerhoff
Information	Additives	0.3%FL+0.3%RPM+0.03%LTR
Information	Density	1930
Information	BHCT	50
Information	BHST	80
Information	FluidLoss	
Information	JobType	177.8 mm production csg.
Calculated Value	30Bc - TT	2:32:00
Calculated Value	70Bc - TT	4:07:00
Calculated Value	100Bc - TT	N/A
Initial Temperature (°C)	29 °C
Final Temperature (°C)	51 °C
Initial Pressure (MPa)	2,2 MPa
Final Pressure (MPa)	22,8 MPa
Initial Consistency (Bc)	15 Bc
Final Consistency (Bc)	73 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	29	2,2	15
0:01:00	29	3,6	17
0:02:00	29	4,7	14
0:03:00	29	5,0	14
0:04:00	29	5,5	10
0:05:00	29	6,0	15
0:06:00	30	6,3	12
0:07:00	31	7,0	13
0:08:00	32	7,2	13
0:09:00	34	7,2	17
0:10:00	36	7,6	2
0:11:00	37	8,0	2
0:12:00	38	8,3	1
0:13:00	37	9,0	2
0:14:00	37	9,3	1
0:15:00	36	9,8	1
0:16:00	36	10,9	1
0:17:00	36	11,3	11
0:18:00	36	11,4	10
0:19:00	37	12,4	10
0:20:00	38	12,4	12
0:21:00	38	12,9	13
0:22:00	39	13,3	9
0:23:00	40	13,7	12
0:24:00	41	14,1	5
0:25:00	41	14,6	4
0:26:00	42	14,9	4
0:27:00	42	15,3	4
0:28:00	43	15,7	4
0:29:00	43	16,5	4
0:30:00	44	17,0	4
0:31:00	44	17,4	4
0:32:00	45	17,7	4
0:33:00	45	18,1	3
0:34:00	46	18,5	3
0:35:00	46	19,0	3
0:36:00	47	19,4	3
0:37:00	47	19,8	3
0:38:00	48	20,2	3
0:39:00	48	20,9	3
0:40:00	49	21,3	2
0:41:00	49	21,7	2
0:42:00	49	22,2	10
0:43:00	50	22,5	8
0:44:00	50	22,6	6
0:45:00	51	22,8	5
0:46:00	51	23,1	6
0:47:00	51	22,6	1
0:48:00	51	22,8	1
0:49:00	51	22,7	1
0:50:00	51	22,7	1
0:51:00	50	22,7	1
0:52:00	50	22,8	1
0:53:00	50	22,8	1
0:54:00	50	22,8	1
0:55:00	50	22,8	1
0:56:00	50	22,8	1
0:57:00	50	22,8	1
0:58:00	50	22,8	1
0:59:00	50	22,8	1
1:00:00	50	22,8	1
1:01:00	50	22,8	1
1:02:00	50	22,8	1
1:03:00	50	22,9	1
1:04:00	50	22,9	1
1:05:00	50	23,0	1
1:06:00	50	23,0	1
1:07:00	50	23,0	1
1:08:00	50	23,1	1
1:09:00	50	23,1	1
1:10:00	50	23,1	1
1:11:00	50	23,1	1
1:12:00	50	23,1	1
1:13:00	50	23,0	1
1:14:00	50	23,0	1
1:15:00	50	22,9	1
1:16:00	50	22,9	1
1:17:00	50	22,9	1
1:18:00	50	22,8	1
1:19:00	50	22,8	1
1:20:00	50	22,8	1
1:21:00	50	22,8	1
1:22:00	50	22,9	1
1:23:00	50	23,0	1
1:24:00	50	23,1	1
1:25:00	50	23,2	1
1:26:00	50	23,3	1
1:27:00	50	23,3	1
1:28:00	50	23,4	1
1:29:00	50	23,4	1
1:30:00	50	23,4	1
1:31:00	50	23,4	1
1:32:00	50	23,4	1
1:33:00	50	23,3	1
1:34:00	50	23,0	1
1:35:00	50	22,6	2
1:36:00	50	22,6	2
1:37:00	50	22,6	11
1:38:00	50	22,6	6
1:39:00	50	22,7	6
1:40:00	50	22,8	6
1:41:00	50	22,9	6
1:42:00	50	23,2	5
1:43:00	49	23,6	16
1:44:00	49	23,5	10
1:45:00	49	23,3	6
1:46:00	49	23,0	8
1:47:00	49	23,5	7
1:48:00	49	23,1	13
1:49:00	49	23,4	11
1:50:00	50	22,8	10
1:51:00	50	22,8	10
