--Test Summary--
Full Path and File Name	
Instrument Name	7222#1
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	113
Test Start Date	22.02.2007
Test Start Time	12:23:33
Test Stop Date	22.02.2007
Test Stop Time	18:54:50
Test Length	6:31:17
Final Sample Time Offset	6:31:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa:50(146), T:62(146), Batch 44, premix
Information	WellID	21-117
Information	Customer	Dragon
Information	CementClass	G
Information	CementMfr	Dykerhoff
Information	Additives	1.5gpsLX-200+0.5%RPM+0.1%LTR-100
Information	Density	1920
Information	BHCT	83
Information	BHST	62
Information	FluidLoss	
Information	JobType	intermediate csg 244.5 mm
Calculated Value	30Bc - TT	N/A
Calculated Value	70Bc - TT	N/A
Calculated Value	100Bc - TT	N/A
Initial Temperature (°C)	25 °C
Final Temperature (°C)	62 °C
Initial Pressure (MPa)	3,1 MPa
Final Pressure (MPa)	50,3 MPa
Initial Consistency (Bc)	9 Bc
Final Consistency (Bc)	27 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	25	3,1	9
0:01:00	25	3,4	8
0:02:00	25	3,9	6
0:03:00	25	4,4	5
0:04:00	25	4,8	4
0:05:00	26	5,2	8
0:06:00	26	5,4	9
0:07:00	27	5,6	8
0:08:00	27	5,8	7
0:09:00	27	6,0	6
0:10:00	28	6,2	5
0:11:00	28	6,7	4
0:12:00	28	7,3	3
0:13:00	29	7,4	4
0:14:00	29	7,6	7
0:15:00	29	7,8	12
0:16:00	29	8,4	10
0:17:00	30	8,6	10
0:18:00	30	9,2	9
0:19:00	30	9,4	9
0:20:00	30	9,6	8
0:21:00	31	9,8	7
0:22:00	31	10,3	9
0:23:00	31	10,6	11
0:24:00	31	10,7	9
0:25:00	32	11,4	5
0:26:00	32	11,6	4
0:27:00	32	11,7	4
0:28:00	32	12,3	4
0:29:00	33	12,5	6
0:30:00	33	12,7	5
0:31:00	33	13,3	7
0:32:00	34	13,5	5
0:33:00	34	13,7	8
0:34:00	34	14,3	10
0:35:00	34	14,5	8
0:36:00	34	14,7	9
0:37:00	35	15,0	11
0:38:00	35	15,4	10
0:39:00	35	15,6	10
0:40:00	35	16,2	7
0:41:00	36	16,5	8
0:42:00	36	16,7	5
0:43:00	36	16,9	3
0:44:00	36	17,5	4
0:45:00	37	17,8	6
0:46:00	37	17,9	8
0:47:00	37	18,6	10
0:48:00	38	18,8	6
0:49:00	38	19,0	6
0:50:00	38	19,3	7
0:51:00	38	19,5	7
0:52:00	39	19,9	6
0:53:00	39	20,1	5
0:54:00	39	20,6	5
0:55:00	39	20,8	5
0:56:00	40	21,4	8
0:57:00	40	21,6	9
0:58:00	40	21,8	10
0:59:00	40	22,1	7
1:00:00	41	22,5	8
1:01:00	41	22,7	8
1:02:00	41	23,3	8
1:03:00	41	23,5	10
1:04:00	42	23,7	10
1:05:00	42	24,2	10
1:06:00	42	24,4	9
1:07:00	42	25,0	11
1:08:00	43	25,2	6
1:09:00	43	25,4	7
1:10:00	43	25,7	7
1:11:00	43	25,9	7
1:12:00	44	26,4	4
1:13:00	44	26,6	4
1:14:00	44	27,1	9
1:15:00	44	27,3	10
1:16:00	45	27,5	8
1:17:00	45	28,1	8
1:18:00	45	28,3	8
1:19:00	46	28,6	7
1:20:00	46	29,0	9
1:21:00	46	29,2	6
1:22:00	46	29,5	5
1:23:00	47	30,1	5
1:24:00	47	30,3	6
1:25:00	47	30,6	8
1:26:00	47	30,8	8
1:27:00	48	31,1	8
1:28:00	48	31,5	8
1:29:00	48	31,8	10
1:30:00	48	32,3	9
1:31:00	49	32,6	9
1:32:00	49	32,9	8
1:33:00	49	33,1	8
1:34:00	49	33,4	9
1:35:00	50	34,0	9
1:36:00	50	34,2	7
1:37:00	50	34,5	9
1:38:00	50	34,6	9
1:39:00	50	35,0	11
1:40:00	51	35,6	14
1:41:00	51	35,8	11
1:42:00	51	36,0	9
1:43:00	51	36,3	7
1:44:00	52	36,6	6
1:45:00	52	37,2	7
1:46:00	52	37,4	6
1:47:00	52	37,6	6
1:48:00	53	37,9	6
1:49:00	53	38,2	7
1:50:00	53	38,6	9
1:51:00	54	38,8	5
1:52:00	54	39,3	7
1:53:00	54	39,5	7
1:54:00	54	40,0	6
1:55:00	54	40,2	8
1:56:00	55	40,5	8
