--Test Summary--
Full Path and File Name	
Instrument Name	7222#1
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	113
Test Start Date	25.01.2007
Test Start Time	17:22:55
Test Stop Date	25.01.2007
Test Stop Time	23:09:56
Test Length	5:47:01
Final Sample Time Offset	5:47:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: atm(60), 67(80); T: 25(60), 62(80); field water; batch 44
Information	WellID	n/a
Information	Customer	Dragon
Information	CementClass	PCT-I-G
Information	CementMfr	Dykerhoff
Information	Additives	2gpsLX-200+0.5%RPM+0.07%R-7
Information	Density	1940
Information	BHCT	62
Information	BHST	80
Information	FluidLoss	
Information	JobType	Research
Calculated Value	30Bc - TT	5:31:00
Calculated Value	70Bc - TT	5:47:00
Calculated Value	100Bc - TT	N/A
Initial Temperature (°C)	25 °C
Final Temperature (°C)	62 °C
Initial Pressure (MPa)	0,4 MPa
Final Pressure (MPa)	67,2 MPa
Initial Consistency (Bc)	1 Bc
Final Consistency (Bc)	73 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	25	0,4	1
0:01:00	25	0,4	1
0:02:00	25	0,5	1
0:03:00	25	0,6	1
0:04:00	25	0,6	1
0:05:00	25	0,6	1
0:06:00	25	0,6	1
0:07:00	26	0,6	1
0:08:00	26	0,6	1
0:09:00	26	0,5	1
0:10:00	25	0,5	1
0:11:00	25	0,5	1
0:12:00	25	0,5	1
0:13:00	25	0,6	1
0:14:00	25	0,6	1
0:15:00	25	0,6	1
0:16:00	25	0,6	1
0:17:00	25	0,6	1
0:18:00	25	0,6	1
0:19:00	25	0,6	1
0:20:00	25	0,6	1
0:21:00	25	0,5	1
0:22:00	25	0,5	1
0:23:00	25	0,6	1
0:24:00	25	0,6	1
0:25:00	25	0,6	1
0:26:00	25	0,6	1
0:27:00	25	0,6	1
0:28:00	25	0,6	1
0:29:00	25	0,6	1
0:30:00	25	0,6	1
0:31:00	25	0,6	1
0:32:00	25	0,7	1
0:33:00	25	0,8	1
0:34:00	26	1,0	1
0:35:00	27	1,1	1
0:36:00	27	1,3	1
0:37:00	28	1,4	1
0:38:00	29	1,3	1
0:39:00	29	1,4	1
0:40:00	30	1,4	1
0:41:00	30	1,4	1
0:42:00	31	1,4	1
0:43:00	31	1,4	1
0:44:00	31	1,4	1
0:45:00	32	1,4	1
