--Test Summary--
Full Path and File Name	
Instrument Name	7222#1
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	113
Test Start Date	17.01.2007
Test Start Time	13:18:09
Test Stop Date	17.01.2007
Test Stop Time	17:01:46
Test Length	3:43:37
Final Sample Time Offset	3:43:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 2(60), 4(0.5), 51(80); T:25(60), 62(80), premix, field samples, batch cement#40
Information	WellID	Lam 13-B
Information	Customer	Dragon
Information	CementClass	PCT-I-G
Information	CementMfr	Dykerhoff
Information	Additives	1.5gpsLX+1.5%RPM
Information	Density	2040
Information	BHCT	82
Information	BHST	62
Information	FluidLoss	
Information	JobType	177,8 mm Liner 
Calculated Value	30Bc - TT	3:14:00
Calculated Value	70Bc - TT	N/A
Calculated Value	100Bc - TT	N/A
Initial Temperature (°C)	26 °C
Final Temperature (°C)	62 °C
Initial Pressure (MPa)	0,6 MPa
Final Pressure (MPa)	51,3 MPa
Initial Consistency (Bc)	12 Bc
Final Consistency (Bc)	-2 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	26	0,6	12
0:01:00	26	0,6	10
0:02:00	26	0,6	10
0:03:00	26	0,7	10
0:04:00	26	0,7	10
0:05:00	26	0,7	10
0:06:00	26	0,7	10
0:07:00	26	0,7	10
0:08:00	26	0,7	10
0:09:00	26	0,7	10
0:10:00	26	0,8	10
0:11:00	26	0,8	10
0:12:00	26	0,8	10
0:13:00	26	0,9	10
0:14:00	26	0,9	10
0:15:00	26	0,9	10
0:16:00	26	0,9	9
0:17:00	26	1,0	9
0:18:00	26	1,0	9
0:19:00	26	1,0	9
0:20:00	26	1,0	9
0:21:00	26	1,0	9
0:22:00	26	1,1	9
0:23:00	26	1,1	9
0:24:00	26	1,1	9
0:25:00	26	1,1	9
0:26:00	26	1,2	9
0:27:00	26	1,2	9
0:28:00	26	1,2	9
0:29:00	26	1,3	9
0:30:00	26	1,2	9
0:31:00	26	1,3	9
0:32:00	26	1,3	9
0:33:00	26	1,3	9
0:34:00	26	1,3	9
0:35:00	26	1,5	9
0:36:00	26	1,4	9
0:37:00	26	1,4	9
0:38:00	26	1,6	9
0:39:00	26	1,6	9
0:40:00	26	1,5	9
0:41:00	26	1,5	9
0:42:00	26	1,5	9
0:43:00	26	1,6	9
0:44:00	26	1,6	9
0:45:00	26	1,6	9
0:46:00	25	1,6	9
0:47:00	26	1,8	9
0:48:00	26	1,8	9
0:49:00	26	1,8	9
0:50:00	25	1,8	9
0:51:00	25	1,8	9
0:52:00	26	1,8	9
0:53:00	25	2,0	9
0:54:00	26	2,0	9
0:55:00	26	2,0	9
0:56:00	25	2,0	9
0:57:00	25	2,0	9
0:58:00	26	2,0	9
0:59:00	26	2,0	9
1:00:00	25	3,5	9
1:01:00	26	4,5	9
1:02:00	26	5,2	9
1:03:00	26	5,8	9
1:04:00	26	6,5	9
1:05:00	27	7,2	10
1:06:00	27	7,7	10
1:07:00	28	8,1	10
1:08:00	28	8,9	13
1:09:00	29	9,2	12
1:10:00	30	10,0	10
1:11:00	30	10,4	11
1:12:00	30	11,2	11
1:13:00	31	11,6	10
1:14:00	32	12,2	10
1:15:00	32	13,0	10
1:16:00	32	13,4	10
1:17:00	33	14,1	10
1:18:00	34	14,5	10
1:19:00	34	15,3	10
1:20:00	34	15,7	10
1:21:00	35	16,5	10
1:22:00	35	16,8	10
1:23:00	36	17,5	10
1:24:00	36	18,4	10
1:25:00	37	18,8	10
1:26:00	37	19,2	10
1:27:00	38	19,9	10
1:28:00	38	20,7	10
1:29:00	39	21,1	10
1:30:00	39	21,8	10
1:31:00	40	22,1	10
1:32:00	40	23,0	11
1:33:00	40	23,4	12
1:34:00	41	23,9	12
1:35:00	42	24,7	12
1:36:00	42	25,1	12
1:37:00	43	25,8	13
1:38:00	43	26,4	14
1:39:00	43	26,8	18
1:40:00	44	27,5	17
1:41:00	44	28,4	13
1:42:00	45	28,8	11
1:43:00	45	29,2	11
1:44:00	46	29,9	10
1:45:00	46	30,5	10
1:46:00	47	30,9	10
1:47:00	47	31,7	10
1:48:00	48	32,2	10
1:49:00	48	32,8	10
1:50:00	48	33,3	9
1:51:00	49	33,9	9
1:52:00	50	34,8	9
1:53:00	50	35,2	9
1:54:00	50	35,7	9
1:55:00	51	36,4	9
1:56:00	51	36,9	10
1:57:00	52	37,5	10
1:58:00	52	38,2	10
1:59:00	53	38,7	10
2:00:00	53	39,2	11
2:01:00	54	39,9	15
2:02:00	54	40,5	14
2:03:00	55	40,9	15
2:04:00	55	41,8	13
2:05:00	56	42,2	12
2:06:00	56	42,7	13
2:07:00	57	43,5	13
2:08:00	57	43,9	11
2:09:00	57	44,5	11
2:10:00	58	45,3	16
2:11:00	58	45,6	12
2:12:00	59	46,4	13
2:13:00	59	47,0	16
2:14:00	60	47,5	13
2:15:00	60	48,2	13
2:16:00	61	48,6	13
2:17:00	61	49,5	17
2:18:00	62	50,0	15
2:19:00	62	50,4	12
2:20:00	63	51,1	20
2:21:00	63	51,2	17
2:22:00	63	51,1	14
2:23:00	63	51,2	14
2:24:00	63	51,1	13
2:25:00	63	51,2	13
2:26:00	63	51,1	13
2:27:00	63	51,1	13
2:28:00	63	51,1	13
2:29:00	63	51,1	13
2:30:00	63	51,1	13
2:31:00	63	51,1	13
2:32:00	63	51,1	13
2:33:00	63	51,2	13
2:34:00	63	51,2	13
2:35:00	63	51,2	13
2:36:00	63	51,2	13
2:37:00	63	51,2	13
2:38:00	62	51,2	13
2:39:00	63	51,2	13
2:40:00	62	51,2	13
2:41:00	62	51,3	13
2:42:00	63	51,3	13
2:43:00	62	51,3	13
2:44:00	62	51,3	13
2:45:00	63	51,3	13
2:46:00	63	51,3	14
2:47:00	62	51,3	14
2:48:00	63	51,3	14
2:49:00	62	51,3	14
2:50:00	62	51,4	15
2:51:00	62	51,3	15
2:52:00	62	51,4	15
2:53:00	62	51,4	15
2:54:00	62	51,4	16
2:55:00	62	51,4	15
2:56:00	62	51,4	16
2:57:00	62	51,4	16
2:58:00	62	51,4	17
2:59:00	62	51,4	17
3:00:00	62	51,4	21
3:01:00	62	51,4	22
3:02:00	62	51,4	23
3:03:00	62	51,4	23
3:04:00	62	51,4	26
3:05:00	62	51,5	25
3:06:00	62	51,4	22
3:07:00	62	51,4	21
3:08:00	62	51,3	21
3:09:00	62	51,4	21
3:10:00	62	51,4	20
3:11:00	62	51,3	21
3:12:00	62	51,3	21
3:13:00	62	51,4	37
3:14:00	62	51,4	32
3:15:00	62	51,4	24
3:16:00	62	51,4	41
3:17:00	62	51,4	28
3:18:00	62	51,4	39
3:19:00	62	51,4	36
3:20:00	62	51,4	33
3:21:00	62	51,3	31
3:22:00	62	51,3	28
3:23:00	62	51,3	36
3:24:00	62	51,4	31
3:25:00	62	51,4	32
3:26:00	62	51,3	34
3:27:00	62	51,3	36
3:28:00	62	51,3	36
3:29:00	62	51,4	41
3:30:00	62	51,4	56
3:31:00	62	51,3	59
3:32:00	62	51,3	41
3:33:00	62	51,3	53
3:34:00	62	51,3	57
3:35:00	62	51,3	53
3:36:00	62	51,3	63
3:37:00	62	51,3	66
3:38:00	62	51,3	68
3:39:00	62	51,3	74
3:40:00	62	51,3	60
3:41:00	62	51,3	72
3:42:00	62	51,3	2
3:43:00	62	51,3	-2
