--Test Summary--
Full Path and File Name	
Instrument Name	7222#1
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	113
Test Start Date	25.04.2007
Test Start Time	15:54:09
Test Stop Date	25.04.2007
Test Stop Time	19:45:10
Test Length	3:51:01
Final Sample Time Offset	3:51:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: atm(30), 29(63); T: 25(30), 50(63); Batch Mixed
Information	WellID	12-5052À
Information	Customer	 Ó„‡Î˚ÏÌÂÙÚÂ„‡Á
Information	CementClass	G
Information	CementMfr	
Information	Additives	0.5%FL+0.5%RPM+0.5T¿+0,25LTR
Information	Density	1900
Information	BHCT	50
Information	BHST	65
Information	FluidLoss	
Information	JobType	102 mm Liner 
Calculated Value	30Bc - TT	3:31:00
Calculated Value	70Bc - TT	3:51:00
Calculated Value	100Bc - TT	N/A
Initial Temperature (∞C)	26 ∞C
Final Temperature (∞C)	50 ∞C
Initial Pressure (MPa)	1,0 MPa
Final Pressure (MPa)	29,8 MPa
Initial Consistency (Bc)	14 Bc
Final Consistency (Bc)	72 Bc
--Data--
Time (HH:MM:SS)	Temperature (∞C)	Pressure (MPa)	Consistency (Bc)
0:00:00	26	1,0	14
0:01:00	25	2,9	17
0:02:00	25	3,0	17
0:03:00	25	3,0	15
0:04:00	25	3,1	19
0:05:00	25	3,2	24
0:06:00	25	3,3	21
0:07:00	25	3,5	19
0:08:00	25	3,6	26
0:09:00	25	3,8	16
0:10:00	25	3,9	17
0:11:00	25	3,8	16
0:12:00	25	3,8	18
0:13:00	26	3,8	31
0:14:00	26	3,8	24
0:15:00	26	3,7	16
0:16:00	26	3,7	16
0:17:00	26	3,6	16
0:18:00	26	3,6	18
0:19:00	26	3,6	18
0:20:00	26	3,6	18
0:21:00	26	3,6	18
0:22:00	26	3,4	18
0:23:00	26	3,1	18
0:24:00	25	3,0	18
0:25:00	25	3,0	18
0:26:00	25	3,1	18
0:27:00	25	3,3	18
0:28:00	25	3,5	19
0:29:00	25	3,6	18
0:30:00	25	3,7	18
0:31:00	25	3,9	18
0:32:00	26	4,4	19
0:33:00	26	4,2	16
0:34:00	26	4,9	17
0:35:00	27	5,5	18
0:36:00	27	6,0	17
0:37:00	28	6,3	19
0:38:00	28	6,5	18
0:39:00	29	6,7	18
0:40:00	29	7,0	17
0:41:00	30	7,7	19
0:42:00	30	8,0	18
0:43:00	31	8,3	17
0:44:00	31	8,6	17
0:45:00	31	9,0	23
0:46:00	32	9,7	20
0:47:00	32	10,0	21
0:48:00	33	10,4	33
0:49:00	33	10,7	21
0:50:00	33	11,4	20
0:51:00	34	11,8	19
0:52:00	34	12,0	17
0:53:00	35	12,4	16
0:54:00	35	12,8	14
0:55:00	35	13,1	17
0:56:00	36	13,7	21
0:57:00	36	14,0	27
0:58:00	36	14,4	19
0:59:00	37	15,1	18
1:00:00	37	15,4	19
1:01:00	38	15,8	21
1:02:00	38	16,1	18
1:03:00	39	16,5	21
1:04:00	39	16,8	18
1:05:00	39	17,5	17
1:06:00	40	18,1	17
