--Test Summary--
Full Path and File Name	
Instrument Name	7222#1
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	113
Test Start Date	19.04.2007
Test Start Time	10:10:57
Test Stop Date	20.04.2007
Test Stop Time	8:48:02
Test Length	22:37:05
Final Sample Time Offset	22:36:59
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 40 (40min); T: 66 (40min)
Information	WellID	281a/5377
Information	Customer	–Õ ﬁ„‡ÌÒÍÌÂÙÚÂ„‡Á
Information	CementClass	PCT-IIIob5-100
Information	CementMfr	
Information	Additives	0.09%LTR-100
Information	Density	1500
Information	BHCT	66
Information	BHST	90
Information	FluidLoss	
Information	JobType	146 mm csg Lead Slurry
Calculated Value	30Bc - TT	6:06:04
Calculated Value	70Bc - TT	N/A
Calculated Value	100Bc - TT	N/A
Initial Temperature (∞C)	25 ∞C
Final Temperature (∞C)	66 ∞C
Initial Pressure (MPa)	3,3 MPa
Final Pressure (MPa)	40,0 MPa
Initial Consistency (Bc)	2 Bc
Final Consistency (Bc)	49 Bc
--Data--
Time (HH:MM:SS)	Temperature (∞C)	Pressure (MPa)	Consistency (Bc)
0:00:00	25	3,3	2
0:01:00	25	4,5	3
0:02:00	25	5,8	3
0:03:00	26	6,7	1
0:04:04	Error 80040601	Error 80040601	Error 80040601
0:04:04	27	7,1	3
0:05:04	28	7,9	3
0:06:04	29	8,8	3
0:07:04	29	10,0	3
0:08:04	29	11,2	2
0:09:04	30	12,1	2
0:10:04	31	13,1	2
0:11:04	33	14,2	1
0:12:04	35	15,3	1
0:13:04	37	15,6	1
0:14:04	39	16,4	1
0:15:04	40	17,3	1
0:16:04	41	18,2	1
0:17:04	43	19,2	1
0:18:04	44	20,1	1
0:19:04	45	21,1	1
0:20:04	46	22,0	1
0:21:04	47	22,9	1
0:22:04	48	23,7	1
0:23:04	49	24,6	1
0:24:04	50	25,5	1
0:25:04	51	26,4	1
0:26:04	52	27,4	2
0:27:04	53	28,4	2
0:28:04	54	29,2	2
0:29:04	56	30,1	2
0:30:04	57	31,1	2
0:31:04	57	32,0	2
0:32:04	59	32,9	2
0:33:04	60	33,8	2
0:34:04	61	34,7	2
0:35:04	62	35,9	2
0:36:04	63	36,9	2
0:37:04	64	38,0	2
0:38:04	65	38,9	2
0:39:04	66	39,8	2
0:40:04	67	40,5	2
0:41:04	68	40,5	2
0:42:04	68	40,0	1
0:43:04	69	40,0	1
0:44:04	69	40,0	1
0:45:04	69	40,1	1
0:46:04	68	40,2	1
0:47:04	68	40,1	1
0:48:04	68	40,2	1
0:49:04	67	40,2	1
0:50:04	67	40,3	1
0:51:04	67	40,4	1
0:52:04	67	40,5	1
0:53:04	67	40,5	1
0:54:04	67	40,5	1
0:55:04	67	40,5	1
0:56:04	67	40,5	1
0:57:04	67	40,6	1
0:58:04	67	40,6	1
0:59:04	67	40,6	1
1:00:04	67	40,7	1
1:01:04	66	40,7	1
1:02:04	66	40,7	1
1:03:04	66	40,7	1
1:04:04	67	40,7	1
1:05:04	66	40,7	1
1:06:04	66	40,7	1
1:07:04	66	40,7	1
1:08:04	66	40,8	1
1:09:04	66	40,8	2
1:10:04	66	40,8	2
1:11:04	66	40,8	2
1:12:04	66	40,8	2
1:13:04	66	40,8	2
1:14:04	66	40,8	2
1:15:04	66	40,8	2
1:16:04	66	40,9	2
1:17:04	66	40,9	2
1:18:04	66	40,9	2
1:19:04	66	40,8	2
1:20:04	66	40,8	2
1:21:04	66	40,8	2
1:22:04	66	40,8	2
1:23:04	66	40,8	2
1:24:04	66	40,8	2
1:25:04	66	40,8	2
1:26:04	66	40,8	2
1:27:04	66	40,8	2
1:28:04	66	40,8	2
1:29:04	66	40,7	2
1:30:04	66	40,7	2
1:31:04	66	40,7	2
1:32:04	66	40,7	2
1:33:04	66	40,7	2
1:34:04	66	40,7	2
1:35:04	66	40,6	1
1:36:04	66	40,6	1
1:37:04	66	40,6	1
1:38:04	66	40,6	1
1:39:04	66	40,5	1
1:40:04	66	40,5	1
1:41:04	66	40,4	1
1:42:04	66	40,4	1
1:43:04	66	40,3	1
1:44:04	66	40,3	1
1:45:04	66	40,2	1
1:46:04	66	40,1	1
1:47:04	66	40,0	1
1:48:04	66	40,1	2
1:49:04	66	40,0	2
1:50:04	66	40,3	2
1:51:04	66	40,2	2
1:52:04	66	40,1	2
1:53:04	66	40,0	2
1:54:04	66	40,3	2
1:55:04	66	40,2	2
1:56:04	66	40,1	2
1:57:04	66	40,0	2
1:58:04	66	40,0	3
1:59:04	66	40,3	3
2:00:04	66	40,2	3
2:01:04	66	40,0	2
2:02:04	66	40,0	2
2:03:04	66	40,3	2
2:04:04	66	40,2	2
2:05:04	66	40,1	2
2:06:04	66	40,1	2
2:07:04	66	40,0	2
2:08:04	66	40,0	2
2:09:04	66	40,0	2
2:10:04	66	40,2	2
2:11:04	66	40,2	2
2:12:04	66	40,1	2
2:13:04	66	40,0	2
2:14:04	66	40,1	2
2:15:04	66	40,3	2
2:16:04	66	40,1	2
2:17:04	66	40,1	2
2:18:04	66	40,0	2
2:19:04	66	40,1	2
2:20:04	66	40,1	2
2:21:04	66	40,0	2
2:22:04	66	40,1	2
2:23:04	66	40,0	2
2:24:04	66	40,2	2
2:25:04	66	40,2	2
2:26:04	66	40,1	2
2:27:04	66	40,0	2
2:28:04	66	40,0	3
2:29:04	66	40,1	3
2:30:04	66	40,0	3
2:31:04	66	40,3	3
2:32:04	66	40,3	3
2:33:04	66	40,2	3
2:34:04	66	40,1	3
2:35:04	66	40,1	3
2:36:04	66	40,0	3
2:37:04	66	40,0	3
2:38:04	66	40,0	3
2:39:04	66	40,3	4
2:40:04	66	40,2	3
2:41:04	66	40,2	4
2:42:04	66	40,2	4
2:43:04	66	40,1	4
2:44:04	66	40,1	4
2:45:04	66	40,0	5
2:46:04	66	40,1	5
2:47:04	66	40,0	5
2:48:04	66	40,0	5
2:49:04	66	40,0	6
2:50:04	66	40,3	6
2:51:04	66	40,3	6
2:52:04	66	40,3	6
2:53:04	66	40,3	6
2:54:04	66	40,3	6
2:55:04	66	40,3	6
2:56:04	66	40,2	6
2:57:04	66	40,1	6
2:58:04	66	40,1	6
2:59:04	66	40,1	6
3:00:04	66	40,0	5
3:01:04	66	40,0	5
3:02:04	66	40,0	5
3:03:04	66	40,0	5
3:04:04	66	40,0	5
3:05:04	66	40,3	6
3:06:04	66	40,2	6
3:07:04	66	40,2	6
3:08:04	66	40,1	6
3:09:04	66	40,1	6
3:10:04	66	40,1	6
3:11:04	66	40,1	6
3:12:04	66	40,1	6
3:13:04	66	40,1	7
3:14:04	66	40,0	8
3:15:04	66	40,0	9
3:16:04	66	40,0	10
3:17:04	66	40,0	10
3:18:04	66	40,0	10
3:19:04	66	40,3	11
3:20:04	66	40,2	11
3:21:04	66	40,2	11
3:22:04	66	40,2	11
3:23:04	66	40,2	11
3:24:04	66	40,2	11
3:25:04	66	40,1	12
3:26:04	66	40,1	12
3:27:04	66	40,1	12
3:28:04	66	40,1	11
3:29:04	66	40,0	11
3:30:04	66	40,1	11
3:31:04	66	40,0	11
3:32:04	66	40,0	11
3:33:04	66	40,3	11
3:34:04	66	40,3	11
3:35:04	66	40,3	12
3:36:04	66	40,2	12
3:37:04	66	40,2	12
3:38:04	66	40,2	11
3:39:04	66	40,2	11
3:40:04	66	40,1	10
3:41:04	66	40,1	10
3:42:04	66	40,1	10
3:43:04	66	40,1	11
3:44:04	66	40,1	10
3:45:04	66	40,1	10
3:46:04	66	40,1	10
3:47:04	66	40,0	10
3:48:04	66	40,1	10
3:49:04	66	40,1	10
3:50:04	66	40,0	10
3:51:04	66	40,0	10
3:52:04	66	40,0	10
3:53:04	66	40,0	11
3:54:04	66	40,0	12
3:55:04	66	40,0	14
3:56:04	66	40,0	15
3:57:04	66	40,0	15
3:58:04	66	40,3	16
3:59:04	66	40,3	16
4:00:04	66	40,3	16
4:01:04	66	40,2	16
4:02:04	66	40,2	16
4:03:04	66	40,2	17
4:04:04	66	40,2	17
4:05:04	66	40,2	17
4:06:04	66	40,1	18
4:07:04	66	40,1	16
4:08:04	66	40,1	23
4:09:04	66	40,1	22
4:10:04	66	40,1	21
4:11:04	66	40,1	21
4:12:04	66	40,1	20
4:13:04	66	40,1	19
4:14:04	66	40,0	19
4:15:04	66	40,0	19
4:16:04	66	40,0	19
4:17:04	66	40,0	20
4:18:04	66	40,0	20
4:19:04	66	40,0	20
4:20:04	66	40,0	20
4:21:04	66	40,0	20
4:22:04	66	40,0	20
4:23:04	66	40,4	19
4:24:04	66	40,4	19
4:25:04	66	40,3	19
4:26:04	66	40,3	19
4:27:04	66	40,3	19
4:28:04	66	40,3	19
4:29:04	66	40,3	20
4:30:04	66	40,3	20
4:31:04	66	40,3	20
4:32:04	66	40,2	20
4:33:04	66	40,2	20
4:34:04	66	40,2	20
4:35:04	66	40,2	20
4:36:04	66	40,2	20
4:37:04	66	40,2	20
4:38:04	66	40,2	20
4:39:04	66	40,2	20
4:40:04	66	40,2	20
4:41:04	66	40,2	20
4:42:04	66	40,1	20
4:43:04	66	40,1	18
4:44:04	66	40,1	19
4:45:04	66	40,1	18
4:46:04	66	40,1	20
4:47:04	66	40,1	20
4:48:04	66	40,0	20
4:49:04	66	40,0	19
4:50:04	66	40,0	20
4:51:04	66	40,0	19
4:52:04	66	40,0	19
4:53:04	66	40,0	20
4:54:04	66	40,0	19
4:55:04	66	40,1	20
4:56:04	66	40,0	20
4:57:04	66	40,0	19
4:58:04	66	40,0	20
4:59:04	66	40,0	31
5:00:04	66	40,0	28
5:01:04	66	40,1	21
5:02:04	66	40,1	21
5:03:04	66	40,1	23
5:04:04	66	40,1	22
5:05:04	66	40,1	22
5:06:04	66	40,1	22
5:07:04	66	40,0	22
5:08:04	66	40,0	22
5:09:04	66	40,0	22
5:10:04	66	40,0	22
5:11:04	66	40,0	22
5:12:04	66	40,3	23
5:13:04	66	40,3	23
5:14:04	66	40,3	22
5:15:04	66	40,2	22
5:16:04	66	40,2	22
5:17:04	66	40,2	23
5:18:04	66	40,2	23
5:19:04	66	40,2	22
5:20:04	66	40,2	23
5:21:04	66	40,2	23
5:22:04	66	40,2	23
5:23:04	66	40,2	23
5:24:04	66	40,2	23
5:25:04	66	40,1	23
5:26:04	66	40,1	23
5:27:04	66	40,1	23
5:28:04	66	40,1	23
5:29:04	66	40,1	23
5:30:04	66	40,1	23
5:31:04	66	40,1	23
5:32:04	66	40,1	25
5:33:04	66	40,1	24
5:34:04	66	40,1	24
5:35:04	66	40,1	24
5:36:04	66	40,1	24
5:37:04	66	40,1	24
5:38:04	66	40,1	24
5:39:04	66	40,1	24
5:40:04	66	40,0	24
5:41:04	66	40,0	24
5:42:04	66	40,0	24
5:43:04	66	40,0	24
5:44:04	66	40,0	24
5:45:04	66	40,0	27
5:46:04	66	40,1	26
5:47:04	66	40,1	26
5:48:04	66	40,1	26
5:49:04	66	40,1	27
5:50:04	66	40,1	27
5:51:04	66	40,1	30
5:52:04	66	40,1	31
5:53:04	66	40,1	28
5:54:04	66	40,1	27
5:55:04	66	40,1	28
5:56:04	66	40,1	27
5:57:04	66	40,1	28
5:58:04	66	40,1	26
5:59:04	66	40,1	26
6:00:04	66	40,0	27
6:01:04	66	40,1	27
6:02:04	66	40,1	27
6:03:04	66	40,1	27
6:04:04	66	40,0	27
6:05:04	66	40,0	31
6:06:04	67	40,0	31
6:07:04	66	40,0	29
6:08:04	66	40,0	29
6:09:04	66	40,0	29
6:10:04	67	40,0	29
6:11:04	66	40,2	29
6:12:04	67	40,2	29
6:13:04	67	40,2	29
6:14:04	67	40,1	31
6:15:04	66	40,1	53
6:16:04	66	40,1	55
6:17:04	66	40,1	28
6:18:04	66	40,1	29
6:19:04	66	40,1	39
6:20:04	66	40,1	41
6:21:04	66	40,1	40
6:22:04	66	40,1	40
6:23:04	66	40,1	37
6:24:04	66	40,1	43
6:25:04	66	40,1	39
6:26:04	66	40,1	35
6:27:04	66	40,1	34
6:28:04	66	40,1	35
6:29:04	66	40,1	35
6:30:04	66	40,1	35
6:31:04	66	40,0	35
