--Test Summary--
Full Path and File Name	
Instrument Name	7222#1
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	113
Test Start Date	14.03.2007
Test Start Time	16:30:39
Test Stop Date	15.03.2007
Test Stop Time	10:35:18
Test Length	18:04:39
Final Sample Time Offset	18:04:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	T(C) 25(64min); P(MPa) 14(64min); fresh water
Information	WellID	252-5954
Information	Customer	–Õ ﬁ„‡ÌÒÍÌÂÙÚÂ„‡Á
Information	CementClass	PCT-IIIob5-100
Information	CementMfr	Sukhoy Log
Information	Additives	3%CaCl2
Information	Density	1500
Information	BHCT	25
Information	BHST	31
Information	FluidLoss	n/a
Information	JobType	Conductor
Calculated Value	30Bc - TT	N/A
Calculated Value	70Bc - TT	N/A
Calculated Value	100Bc - TT	N/A
Initial Temperature (∞C)	29 ∞C
Final Temperature (∞C)	28 ∞C
Initial Pressure (MPa)	2,4 MPa
Final Pressure (MPa)	13,9 MPa
Initial Consistency (Bc)	0 Bc
Final Consistency (Bc)	2 Bc
--Data--
Time (HH:MM:SS)	Temperature (∞C)	Pressure (MPa)	Consistency (Bc)
0:00:00	29	2,4	0
0:01:00	29	3,5	5
0:02:00	28	4,1	2
0:03:00	28	4,3	3
0:04:00	28	4,4	3
0:05:00	28	4,6	0
0:06:00	29	4,6	4
0:07:00	29	4,5	3
0:08:00	29	4,3	5
0:09:00	29	4,7	0
0:10:00	29	4,9	6
0:11:00	29	5,0	2
0:12:00	29	4,9	3
0:13:00	29	5,5	5
0:14:00	28	5,5	4
0:15:00	28	5,8	4
0:16:00	28	6,1	6
0:17:00	28	6,3	6
0:18:00	28	6,5	6
0:19:00	28	6,5	4
0:20:00	28	6,5	3
0:21:00	28	6,8	3
0:22:00	28	6,9	3
0:23:00	28	7,1	3
0:24:00	28	7,1	3
0:25:00	28	7,5	3
0:26:00	28	7,6	3
0:27:00	28	7,5	3
0:28:00	27	8,2	3
0:29:00	27	8,5	3
0:30:00	27	8,8	3
0:31:00	27	9,0	3
0:32:00	27	9,1	3
0:33:00	27	9,1	3
0:34:00	27	9,0	3
0:35:00	27	9,0	3
0:36:00	27	9,2	3
0:37:00	27	9,3	3
0:38:00	27	9,6	3
0:39:00	27	10,0	3
0:40:00	27	10,2	3
0:41:00	26	10,3	3
0:42:00	26	10,7	3
0:43:00	26	11,2	4
0:44:00	26	11,1	3
0:45:00	26	11,4	3
0:46:00	26	11,5	3
0:47:00	26	11,5	3
0:48:00	26	11,3	3
0:49:00	27	11,6	3
0:50:00	27	11,6	3
0:51:00	27	11,8	3
0:52:00	26	12,1	3
0:53:00	26	12,4	3
0:54:00	26	12,3	3
0:55:00	25	12,4	3
0:56:00	25	12,8	3
0:57:00	25	13,3	3
0:58:00	25	13,8	3
0:59:00	25	13,6	3
1:00:00	25	13,8	3
1:01:00	25	13,8	3
1:02:00	25	13,6	3
1:03:00	25	13,9	3
1:04:00	26	14,0	3
1:05:00	26	14,3	3
1:06:00	25	14,1	3
1:07:00	25	14,0	3
1:08:00	25	14,2	3
1:09:00	25	14,5	3
1:10:00	24	14,2	3
1:11:00	24	14,9	3
1:12:00	24	14,9	3
1:13:00	24	14,6	3
1:14:00	25	14,8	3
1:15:00	25	14,8	3
1:16:00	25	14,7	3
1:17:00	25	14,5	3
1:18:00	26	14,2	3
1:19:00	26	13,9	3
1:20:00	26	14,3	3
1:21:00	26	14,0	3
1:22:00	25	14,3	3
1:23:00	25	13,9	3
1:24:00	25	14,4	3
1:25:00	25	14,8	3
1:26:00	24	14,7	3
1:27:00	24	14,5	3
1:28:00	25	14,3	3
1:29:00	25	14,6	3
1:30:00	25	14,7	3
1:31:00	25	14,7	3
1:32:00	25	14,5	3
