--Test Summary--
Full Path and File Name	
Instrument Name	7222-1
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	113
Test Start Date	30.01.2008
Test Start Time	11:02:17
Test Stop Date	30.01.2008
Test Stop Time	15:35:36
Test Length	4:33:19
Final Sample Time Offset	4:33:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	 T:98C(45) ,P:47MPa(45)
Information	WellID	72-436
Information	Customer	Nadym
Information	CementClass	G
Information	CementMfr	Dykerhoff
Information	Additives	0.4%LTR-100
Information	Density	1930
Information	BHCT	98
Information	BHST	104
Information	FluidLoss	
Information	JobType	Bottom Plug
Calculated Value	30Bc - TT	4:21:00
Calculated Value	70Bc - TT	N/A
Calculated Value	100Bc - TT	N/A
Initial Temperature (°C)	23 °C
Final Temperature (°C)	99 °C
Initial Pressure (MPa)	1,3 MPa
Final Pressure (MPa)	47,0 MPa
Initial Consistency (Bc)	7 Bc
Final Consistency (Bc)	80 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	23	1,3	7
0:01:00	23	2,7	7
0:02:00	24	4,3	7
0:03:00	25	5,6	6
0:04:00	27	6,6	6
0:05:00	29	7,4	6
0:06:00	31	8,5	6
0:07:00	34	9,5	6
0:08:00	36	10,5	7
0:09:00	38	11,6	6
0:10:00	40	12,4	6
0:11:00	42	13,4	6
0:12:00	43	14,4	6
0:13:00	45	15,3	6
0:14:00	47	16,1	7
0:15:00	48	17,4	7
0:16:00	50	17,9	9
0:17:00	52	19,3	8
0:18:00	54	20,6	8
0:19:00	55	21,1	10
0:20:00	57	22,3	9
0:21:00	59	22,8	10
0:22:00	60	24,5	10
0:23:00	62	25,2	11
0:24:00	64	26,6	11
0:25:00	66	27,0	11
0:26:00	67	28,4	10
0:27:00	69	29,0	13
0:28:00	70	29,8	12
0:29:00	72	31,2	11
0:30:00	74	32,1	13
0:31:00	76	32,9	11
0:32:00	77	34,4	7
0:33:00	79	35,0	8
0:34:00	81	36,4	8
0:35:00	82	36,9	6
0:36:00	84	38,3	6
0:37:00	86	39,1	7
0:38:00	88	40,0	10
0:39:00	89	41,6	9
0:40:00	91	42,4	12
0:41:00	93	43,1	10
0:42:00	94	44,7	5
0:43:00	96	45,3	5
0:44:00	98	46,1	6
0:45:00	99	47,5	6
0:46:00	101	47,6	7
0:47:00	103	47,1	10
0:48:00	103	47,0	6
0:49:00	103	47,0	9
0:50:00	103	47,0	7
0:51:00	103	47,0	6
0:52:00	103	47,1	6
0:53:00	102	47,1	6
0:54:00	102	47,1	6
0:55:00	101	47,0	6
0:56:00	101	47,3	5
0:57:00	101	47,4	5
0:58:00	101	47,3	5
0:59:00	101	47,3	6
1:00:00	100	47,1	6
1:01:00	100	47,3	6
1:02:00	100	47,3	6
1:03:00	100	47,2	6
1:04:00	100	47,1	7
1:05:00	100	47,1	7
1:06:00	100	47,1	7
1:07:00	100	47,2	7
1:08:00	99	47,3	7
1:09:00	99	47,3	7
1:10:00	99	47,3	7
1:11:00	100	47,3	7
1:12:00	99	47,4	7
1:13:00	100	47,4	7
1:14:00	99	47,4	7
1:15:00	100	47,4	7
1:16:00	100	47,4	7
1:17:00	100	47,4	7
1:18:00	100	47,4	7
1:19:00	99	47,5	7
1:20:00	99	47,5	7
1:21:00	99	47,5	7
1:22:00	99	47,5	7
1:23:00	99	47,5	7
1:24:00	99	47,5	7
1:25:00	99	47,5	7
1:26:00	99	47,6	7
1:27:00	99	47,6	7
1:28:00	99	47,6	7
1:29:00	99	47,6	8
1:30:00	99	47,6	8
1:31:00	99	47,6	8
1:32:00	99	47,6	8
1:33:00	99	47,6	8
1:34:00	99	47,6	8
1:35:00	99	47,6	8
1:36:00	99	47,6	8
