--Test Summary--
Full Path and File Name	
Instrument Name	7222-1
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	113
Test Start Date	20.10.2008
Test Start Time	10:01:12
Test Stop Date	20.10.2008
Test Stop Time	12:00:13
Test Length	1:59:01
Final Sample Time Offset	1:59:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 25(40), T:80(40)
Information	WellID	Laganskaya-1
Information	Customer	PetroResurs
Information	CementClass	G
Information	CementMfr	Dykerhoff
Information	Additives	0.15%LTR-100
Information	Density	1910
Information	BHCT	80
Information	BHST	80
Information	FluidLoss	
Information	JobType	PLUG
Calculated Value	30Bc - TT	1:50:00
Calculated Value	70Bc - TT	1:59:00
Calculated Value	100Bc - TT	N/A
Initial Temperature (°C)	25 °C
Final Temperature (°C)	81 °C
Initial Pressure (MPa)	1,8 MPa
Final Pressure (MPa)	25,2 MPa
Initial Consistency (Bc)	7 Bc
Final Consistency (Bc)	85 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	25	1,8	7
0:01:00	25	2,8	8
0:02:00	25	3,9	14
0:03:00	26	4,5	10
0:04:00	27	5,1	9
0:05:00	29	5,8	10
0:06:00	31	6,4	9
0:07:00	33	7,0	8
0:08:00	35	7,3	9
0:09:00	36	8,0	8
0:10:00	38	8,5	8
0:11:00	40	8,9	8
0:12:00	41	9,5	8
0:13:00	43	10,3	8
0:14:00	44	10,8	9
0:15:00	46	11,4	8
0:16:00	47	12,0	8
0:17:00	49	12,6	7
0:18:00	50	13,1	7
0:19:00	51	13,9	8
0:20:00	53	14,1	8
0:21:00	54	14,7	8
0:22:00	55	15,2	8
0:23:00	57	15,5	8
0:24:00	58	16,6	8
0:25:00	60	17,1	8
0:26:00	61	17,4	8
0:27:00	63	18,5	8
0:28:00	64	19,0	9
0:29:00	65	19,2	10
0:30:00	67	19,7	9
0:31:00	68	20,0	8
0:32:00	70	21,0	8
0:33:00	71	21,3	10
0:34:00	72	21,8	11
0:35:00	74	22,8	9
0:36:00	76	23,6	9
0:37:00	77	23,7	9
0:38:00	78	24,7	9
0:39:00	80	24,9	9
0:40:00	81	25,8	9
0:41:00	82	25,7	9
0:42:00	83	25,3	8
0:43:00	83	25,0	13
0:44:00	84	25,0	12
0:45:00	83	25,1	10
0:46:00	83	25,1	10
0:47:00	83	25,0	11
0:48:00	83	25,2	11
0:49:00	83	25,0	10
0:50:00	83	25,0	10
0:51:00	82	24,9	9
0:52:00	82	25,0	8
0:53:00	82	25,0	8
0:54:00	82	25,0	8
0:55:00	82	25,0	8
0:56:00	82	25,2	8
0:57:00	82	25,1	8
0:58:00	82	25,0	8
0:59:00	81	25,3	8
1:00:00	81	25,1	8
1:01:00	81	25,0	8
1:02:00	81	25,1	8
1:03:00	81	25,0	9
1:04:00	81	25,0	10
1:05:00	81	25,1	9
1:06:00	81	25,1	9
1:07:00	81	25,0	10
1:08:00	81	25,1	9
1:09:00	81	25,0	8
1:10:00	81	25,1	9
1:11:00	81	25,0	8
1:12:00	81	25,2	8
1:13:00	81	25,1	8
1:14:00	81	25,0	8
1:15:00	81	25,1	8
1:16:00	81	25,1	8
1:17:00	81	25,0	8
1:18:00	81	25,0	8
1:19:00	81	25,1	8
1:20:00	81	25,1	8
1:21:00	81	25,0	8
1:22:00	81	25,2	8
1:23:00	81	25,0	8
1:24:00	81	25,0	8
1:25:00	81	25,0	8
1:26:00	81	25,1	8
1:27:00	81	25,0	8
1:28:00	81	25,0	8
1:29:00	81	25,0	8
1:30:00	81	25,0	8
1:31:00	81	25,2	8
1:32:00	81	25,1	8
1:33:00	81	25,0	8
1:34:00	81	25,1	8
1:35:00	81	25,0	8
1:36:00	81	25,1	8
1:37:00	81	25,0	8
1:38:00	81	25,0	13
1:39:00	81	25,0	13
1:40:00	81	25,1	13
1:41:00	81	25,0	13
1:42:00	81	25,1	16
1:43:00	81	25,0	16
1:44:00	81	25,0	18
1:45:00	81	25,1	19
1:46:00	81	25,1	23
1:47:00	81	25,0	25
1:48:00	81	24,9	27
1:49:00	81	25,0	31
1:50:00	81	24,9	33
1:51:00	81	25,1	40
1:52:00	81	25,0	43
1:53:00	81	25,0	49
1:54:00	81	25,1	52
1:55:00	81	25,0	56
1:56:00	81	24,9	65
1:57:00	81	25,0	69
1:58:00	81	25,1	79
1:59:00	81	25,2	85
