--Test Summary--
Full Path and File Name	
Instrument Name	7222-1
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	113
Test Start Date	04.02.2008
Test Start Time	10:04:21
Test Stop Date	04.02.2008
Test Stop Time	12:32:21
Test Length	2:28:00
Final Sample Time Offset	2:28:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	P:42MPa(34) T:91C(34)
Information	WellID	72-436
Information	Customer	Nadym
Information	CementClass	PCT-I-G
Information	CementMfr	Dykerhoff
Information	Additives	0.17%LTR-100
Information	Density	1930
Information	BHCT	91
Information	BHST	
Information	FluidLoss	
Information	JobType	Bottom Plug
Calculated Value	30Bc - TT	2:16:00
Calculated Value	70Bc - TT	2:28:00
Calculated Value	100Bc - TT	N/A
Initial Temperature (°C)	26 °C
Final Temperature (°C)	92 °C
Initial Pressure (MPa)	1,7 MPa
Final Pressure (MPa)	42,1 MPa
Initial Consistency (Bc)	10 Bc
Final Consistency (Bc)	86 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	26	1,7	10
0:01:00	25	3,1	-0
0:02:00	26	5,1	6
0:03:00	27	6,4	10
0:04:00	30	7,5	6
0:05:00	32	8,7	6
0:06:00	35	9,7	5
0:07:00	37	11,1	5
0:08:00	39	11,9	5
0:09:00	41	13,2	8
0:10:00	44	14,4	8
0:11:00	46	15,5	8
0:12:00	48	16,7	9
0:13:00	50	17,3	9
0:14:00	52	18,9	9
0:15:00	54	20,0	9
0:16:00	56	20,8	9
0:17:00	58	22,6	9
0:18:00	60	23,5	9
0:19:00	62	24,7	9
0:20:00	65	25,8	9
0:21:00	67	26,7	9
0:22:00	69	28,0	9
0:23:00	70	29,1	10
0:24:00	72	31,0	9
0:25:00	74	31,7	8
0:26:00	76	33,3	8
0:27:00	78	34,2	10
0:28:00	80	35,8	10
0:29:00	82	36,5	10
0:30:00	84	38,2	9
0:31:00	86	39,2	8
0:32:00	88	40,0	9
0:33:00	90	41,6	9
0:34:00	92	42,6	9
0:35:00	94	42,5	9
0:36:00	95	42,2	10
0:37:00	95	42,2	9
0:38:00	96	42,0	10
0:39:00	96	42,1	10
0:40:00	96	42,3	10
0:41:00	95	42,1	9
0:42:00	95	42,2	9
0:43:00	95	42,0	9
0:44:00	94	42,0	9
0:45:00	94	42,1	9
0:46:00	94	42,2	10
0:47:00	94	42,1	9
0:48:00	94	42,0	9
0:49:00	93	42,3	9
0:50:00	93	42,3	9
0:51:00	93	42,2	9
0:52:00	93	42,2	9
0:53:00	93	42,2	9
0:54:00	93	42,2	9
0:55:00	93	42,1	9
0:56:00	93	42,2	9
0:57:00	93	42,1	9
0:58:00	93	42,1	9
0:59:00	93	42,1	9
1:00:00	93	42,0	9
1:01:00	92	42,0	9
1:02:00	92	42,0	9
1:03:00	92	42,0	9
1:04:00	92	42,0	9
1:05:00	92	42,0	9
1:06:00	92	42,0	11
1:07:00	92	42,0	10
1:08:00	92	42,0	11
1:09:00	92	42,1	11
1:10:00	92	42,1	11
1:11:00	92	42,2	9
1:12:00	92	42,2	9
1:13:00	92	42,1	9
1:14:00	92	42,1	9
1:15:00	92	42,2	9
1:16:00	92	42,2	9
1:17:00	92	42,2	9
1:18:00	92	42,2	9
1:19:00	92	42,2	9
1:20:00	92	42,2	9
1:21:00	92	42,3	9
1:22:00	92	42,3	9
1:23:00	92	42,3	9
1:24:00	92	42,3	9
1:25:00	92	42,3	9
1:26:00	92	42,3	9
1:27:00	92	42,3	9
1:28:00	92	42,3	9
1:29:00	92	42,3	9
1:30:00	92	42,3	9
1:31:00	92	42,3	9
1:32:00	92	42,3	9
1:33:00	92	42,3	9
1:34:00	92	42,3	9
1:35:00	92	42,4	9
1:36:00	92	42,4	9
1:37:00	92	42,3	9
1:38:00	92	42,3	9
1:39:00	92	42,3	9
1:40:00	92	42,3	9
1:41:00	92	42,3	9
1:42:00	92	42,3	9
1:43:00	92	42,3	9
1:44:00	92	42,3	9
1:45:00	92	42,4	9
1:46:00	92	42,3	9
1:47:00	92	42,3	9
1:48:00	92	42,3	9
1:49:00	92	42,3	9
1:50:00	92	42,3	9
1:51:00	92	42,3	9
1:52:00	92	42,3	9
1:53:00	92	42,3	9
1:54:00	92	42,3	9
1:55:00	92	42,3	9
1:56:00	92	42,3	9
1:57:00	92	42,2	9
1:58:00	92	42,2	9
1:59:00	92	42,2	9
2:00:00	92	42,2	10
2:01:00	92	42,2	9
2:02:00	92	42,1	20
2:03:00	92	42,1	19
2:04:00	92	42,0	19
2:05:00	92	42,0	20
2:06:00	92	42,1	20
2:07:00	92	42,1	20
2:08:00	92	42,1	19
2:09:00	92	42,0	20
2:10:00	92	42,1	20
2:11:00	92	42,1	20
2:12:00	92	42,0	27
2:13:00	92	42,2	28
2:14:00	92	42,1	28
2:15:00	92	42,0	33
2:16:00	92	42,2	32
2:17:00	92	42,1	35
2:18:00	92	42,0	35
2:19:00	92	42,0	42
2:20:00	92	42,2	43
2:21:00	92	42,1	46
2:22:00	92	42,0	50
2:23:00	92	42,0	50
2:24:00	92	42,2	69
2:25:00	92	42,0	65
2:26:00	92	42,0	69
2:27:00	92	42,1	81
2:28:00	92	42,1	86
