--Test Summary--
Full Path and File Name	
Instrument Name	7222-2
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	128
Test Start Date	21.04.2008
Test Start Time	16:54:15
Test Stop Date	21.04.2008
Test Stop Time	20:53:56
Test Length	3:59:41
Final Sample Time Offset	3:59:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	T:55C(30);P:29MPa(30);Dry-blending
Information	WellID	59-5956
Information	Customer	Kogalym
Information	CementClass	G
Information	CementMfr	Dykerhoff
Information	Additives	1%Gel+1%SMS+0.18%R-7
Information	Density	1500
Information	BHCT	55
Information	BHST	75
Information	FluidLoss	
Information	JobType	146 csg
Calculated Value	30Bc - TT	N/A
Calculated Value	70Bc - TT	N/A
Calculated Value	100Bc - TT	N/A
Initial Temperature (°C)	29 °C
Final Temperature (°C)	26 °C
Initial Pressure (MPa)	2,8 MPa
Final Pressure (MPa)	0,0 MPa
Initial Consistency (Bc)	14 Bc
Final Consistency (Bc)	0 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	29	2,8	14
0:01:00	31	3,6	17
0:02:00	32	4,7	18
0:03:00	33	5,1	17
0:04:00	33	6,1	17
0:05:00	34	7,3	17
0:06:00	35	8,0	12
0:07:00	35	8,7	11
0:08:00	36	10,1	18
0:09:00	36	10,7	15
0:10:00	37	11,8	13
0:11:00	38	12,8	14
0:12:00	38	13,7	13
0:13:00	39	14,5	14
0:14:00	40	15,2	16
0:15:00	41	16,0	16
0:16:00	42	17,0	16
0:17:00	43	18,0	12
0:18:00	44	19,2	15
0:19:00	45	19,9	19
0:20:00	46	20,7	15
0:21:00	47	21,6	17
0:22:00	48	22,4	18
0:23:00	49	23,2	18
0:24:00	49	24,4	15
0:25:00	50	25,1	25
0:26:00	51	25,9	19
0:27:00	52	26,8	16
0:28:00	53	28,0	25
0:29:00	54	28,7	19
0:30:00	55	29,2	14
0:31:00	56	29,0	15
0:32:00	56	29,2	16
0:33:00	56	29,1	17
0:34:00	56	29,1	12
0:35:00	56	29,3	23
0:36:00	56	29,2	20
0:37:00	56	29,2	12
0:38:00	55	29,3	12
0:39:00	55	29,3	12
0:40:00	55	29,3	12
0:41:00	55	29,2	12
0:42:00	55	29,2	12
0:43:00	55	29,2	13
0:44:00	55	29,2	20
0:45:00	55	29,2	17
0:46:00	55	29,2	16
0:47:00	55	29,3	16
0:48:00	55	29,3	16
0:49:00	55	29,3	15
0:50:00	55	29,3	15
0:51:00	55	29,3	18
0:52:00	55	29,3	19
0:53:00	55	29,3	17
0:54:00	55	29,3	18
0:55:00	55	29,3	14
0:56:00	55	29,3	13
0:57:00	55	29,3	15
0:58:00	55	29,3	18
0:59:00	55	29,3	13
1:00:00	55	29,3	10
1:01:00	55	29,3	10
1:02:00	55	29,3	14
1:03:00	55	29,3	13
1:04:00	55	29,3	15
1:05:00	55	29,3	18
1:06:00	55	29,3	17
1:07:00	55	29,2	20
1:08:00	55	29,2	18
1:09:00	55	29,2	16
1:10:00	55	29,2	13
1:11:00	55	29,2	13
1:12:00	55	29,2	19
1:13:00	55	29,1	14
1:14:00	55	29,1	16
1:15:00	55	29,1	16
1:16:00	55	29,1	16
1:17:00	55	29,1	14
