--Test Summary--
Full Path and File Name	
Instrument Name	7222-2
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	128
Test Start Date	13.03.2008
Test Start Time	18:24:52
Test Stop Date	13.03.2008
Test Stop Time	22:19:13
Test Length	3:54:21
Final Sample Time Offset	3:54:20
Controller Schedule Name	
Sampling Period	20 seconds
Comments	
Information	WellID	52-5221
Information	Customer	LukAik
Information	CementClass	G
Information	CementMfr	
Information	Additives	
Information	Density	
Information	BHCT	
Information	BHST	
Information	FluidLoss	
Information	JobType	
Calculated Value	30Bc - TT	3:54:20
Calculated Value	70Bc - TT	N/A
Calculated Value	100Bc - TT	N/A
Initial Temperature (°C)	26 °C
Final Temperature (°C)	64 °C
Initial Pressure (MPa)	1,6 MPa
Final Pressure (MPa)	53,1 MPa
Initial Consistency (Bc)	5 Bc
Final Consistency (Bc)	31 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	26	1,6	5
0:00:20	25	2,5	5
0:00:40	25	2,8	5
0:01:00	25	3,7	5
0:01:20	25	4,2	5
0:01:40	25	4,1	5
0:02:00	25	4,8	5
0:02:20	25	5,5	5
0:02:40	26	6,1	5
0:03:00	26	6,0	5
0:03:20	26	6,6	5
0:03:40	27	7,1	5
0:04:00	27	7,6	5
0:04:20	27	8,0	5
0:04:40	28	8,4	5
0:05:00	28	8,7	5
0:05:20	29	9,1	5
0:05:40	29	9,5	5
0:06:00	30	9,8	5
0:06:20	30	10,0	5
0:06:40	31	10,4	5
0:07:00	31	11,0	5
0:07:20	32	11,3	5
0:07:40	32	12,1	5
0:08:00	32	12,4	5
0:08:20	33	12,7	5
0:08:40	33	13,0	5
0:09:00	34	13,6	5
0:09:20	34	14,0	5
0:09:40	34	14,5	5
0:10:00	35	14,7	5
0:10:20	35	15,1	5
0:10:40	36	15,8	5
0:11:00	36	16,0	5
0:11:20	37	16,3	5
0:11:40	37	17,1	5
0:12:00	37	17,3	5
0:12:20	38	18,1	5
0:12:40	38	18,3	5
0:13:00	38	18,7	5
0:13:20	39	19,0	5
0:13:40	39	19,6	5
0:14:00	39	19,8	5
0:14:20	40	20,2	5
0:14:40	40	20,6	5
0:15:00	40	21,2	5
0:15:20	41	21,5	5
0:15:40	41	22,2	5
0:16:00	41	22,5	5
0:16:20	42	22,8	5
0:16:40	42	23,2	5
0:17:00	42	23,9	5
0:17:20	43	24,4	5
0:17:40	43	24,7	5
0:18:00	43	24,9	5
0:18:20	44	25,4	5
0:18:40	44	25,8	5
0:19:00	44	26,3	5
