--Test Summary--
Full Path and File Name	
Instrument Name	7222-2
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	128
Test Start Date	29.08.2008
Test Start Time	9:57:32
Test Stop Date	29.08.2008
Test Stop Time	12:18:31
Test Length	2:20:59
Final Sample Time Offset	2:20:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	P:30MPa(80);T:105C(80)
Information	WellID	198-1
Information	Customer	Rus Imperial Group (Tomsk)
Information	CementClass	G (China)
Information	CementMfr	China
Information	Additives	0.8%FL+0.7%RPM+0.5%TA-1+0.05%LTR-100
Information	Density	1860
Information	BHCT	105
Information	BHST	115
Information	FluidLoss	
Information	JobType	168 mm csg production
Calculated Value	30Bc - TT	1:41:00
Calculated Value	70Bc - TT	N/A
Calculated Value	100Bc - TT	N/A
Initial Temperature (°C)	26 °C
Final Temperature (°C)	104 °C
Initial Pressure (MPa)	1,0 MPa
Final Pressure (MPa)	30,1 MPa
Initial Consistency (Bc)	13 Bc
Final Consistency (Bc)	20 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	26	1,0	13
0:01:00	26	2,7	13
0:02:00	27	3,4	13
0:03:00	27	3,6	13
0:04:00	28	4,1	13
0:05:00	29	4,4	12
0:06:00	31	4,7	12
0:07:00	32	4,8	12
0:08:00	33	5,4	12
0:09:00	34	5,8	12
0:10:00	35	6,2	12
0:11:00	36	6,3	12
0:12:00	38	6,7	12
0:13:00	38	7,2	12
0:14:00	39	7,3	12
0:15:00	40	7,8	12
0:16:00	41	8,2	12
0:17:00	43	8,5	12
0:18:00	44	9,0	12
0:19:00	44	9,3	12
0:20:00	46	8,9	12
0:21:00	47	9,9	12
0:22:00	48	9,8	12
0:23:00	49	10,6	12
0:24:00	50	10,9	12
0:25:00	50	11,2	11
0:26:00	51	11,4	11
0:27:00	52	11,0	11
0:28:00	53	12,4	11
0:29:00	54	12,5	11
0:30:00	55	13,2	11
0:31:00	56	13,3	11
0:32:00	57	13,6	10
0:33:00	58	13,6	10
0:34:00	59	14,4	10
0:35:00	60	14,7	10
0:36:00	61	14,9	9
0:37:00	62	15,0	9
0:38:00	63	15,9	9
0:39:00	64	16,0	8
0:40:00	65	16,2	7
0:41:00	66	16,2	6
0:42:00	67	17,4	5
0:43:00	68	17,6	5
0:44:00	69	17,8	4
0:45:00	70	18,1	3
0:46:00	71	18,6	3
0:47:00	72	18,8	3
0:48:00	73	19,4	3
0:49:00	74	19,5	3
0:50:00	75	19,9	3
0:51:00	76	20,1	3
0:52:00	77	20,5	3
0:53:00	78	20,9	3
0:54:00	79	21,6	2
0:55:00	80	21,6	2
0:56:00	80	22,3	2
0:57:00	81	22,6	2
0:58:00	82	22,9	2
0:59:00	83	23,0	2
1:00:00	84	23,2	2
1:01:00	85	24,0	2
1:02:00	86	23,4	2
1:03:00	87	24,7	2
1:04:00	88	24,7	2
1:05:00	89	25,0	2
1:06:00	90	25,3	2
1:07:00	91	26,1	2
1:08:00	92	26,2	2
1:09:00	93	26,7	2
1:10:00	94	26,8	2
1:11:00	95	26,0	2
1:12:00	96	27,8	2
1:13:00	97	28,0	2
1:14:00	98	28,5	2
1:15:00	99	28,7	2
1:16:00	100	29,2	2
1:17:00	101	29,2	2
1:18:00	102	28,9	2
1:19:00	102	30,3	2
1:20:00	103	29,8	2
1:21:00	104	30,5	2
1:22:00	105	30,3	2
1:23:00	105	30,2	2
1:24:00	106	30,0	2
1:25:00	106	30,3	2
1:26:00	105	30,2	2
1:27:00	105	30,1	2
1:28:00	105	30,3	2
1:29:00	105	30,2	2
1:30:00	105	30,1	2
1:31:00	105	30,1	2
1:32:00	105	30,1	2
1:33:00	104	30,1	2
1:34:00	104	30,0	2
1:35:00	104	30,1	2
1:36:00	104	30,2	2
1:37:00	104	30,1	2
1:38:00	104	30,4	4
1:39:00	105	30,0	21
1:40:00	104	30,2	32
1:41:00	104	30,0	34
1:42:00	104	30,3	34
1:43:00	104	30,3	34
1:44:00	104	30,5	33
1:45:00	103	30,7	33
1:46:00	103	30,3	33
1:47:00	103	30,5	32
1:48:00	103	30,7	32
1:49:00	103	30,7	32
1:50:00	103	30,3	34
1:51:00	104	30,3	34
1:52:00	104	30,2	33
1:53:00	104	30,2	33
1:54:00	104	30,2	33
1:55:00	104	30,1	31
1:56:00	104	30,1	31
1:57:00	104	30,4	32
1:58:00	104	30,3	32
1:59:00	104	30,3	32
2:00:00	103	30,4	32
2:01:00	103	30,5	32
2:02:00	103	30,5	32
2:03:00	103	30,6	32
2:04:00	103	30,7	32
2:05:00	103	30,6	31
2:06:00	103	30,7	31
2:07:00	104	30,6	21
2:08:00	104	30,4	20
2:09:00	104	30,8	20
2:10:00	104	30,2	20
2:11:00	104	30,2	20
2:12:00	104	30,2	20
2:13:00	104	30,1	20
2:14:00	104	30,2	19
2:15:00	104	30,1	20
2:16:00	104	30,2	20
2:17:00	104	30,1	20
2:18:00	104	30,1	20
2:19:00	104	30,1	20
2:20:00	104	30,1	20
