--Test Summary--
Full Path and File Name	
Instrument Name	7222-2
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	128
Test Start Date	14.11.2008
Test Start Time	14:24:06
Test Stop Date	14.11.2008
Test Stop Time	16:50:06
Test Length	2:26:00
Final Sample Time Offset	2:26:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 24(30), T:60(30)
Information	WellID	Tomsk
Information	Customer	Rus Imperial Group (Tomsk)
Information	CementClass	G
Information	CementMfr	Suhologskiy
Information	Additives	0.05%LTR-100
Information	Density	1930
Information	BHCT	60
Information	BHST	
Information	FluidLoss	
Information	JobType	PLUG
Calculated Value	30Bc - TT	2:08:00
Calculated Value	70Bc - TT	2:26:00
Calculated Value	100Bc - TT	N/A
Initial Temperature (°C)	26 °C
Final Temperature (°C)	60 °C
Initial Pressure (MPa)	1,7 MPa
Final Pressure (MPa)	24,1 MPa
Initial Consistency (Bc)	13 Bc
Final Consistency (Bc)	75 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	26	1,7	13
0:01:00	25	3,3	13
0:02:00	26	4,2	13
0:03:00	26	5,0	14
0:04:00	28	5,7	13
0:05:00	29	6,4	12
0:06:00	31	7,1	13
0:07:00	32	7,4	13
0:08:00	34	8,5	13
0:09:00	35	9,3	12
0:10:00	36	9,4	11
0:11:00	38	10,4	13
0:12:00	39	11,4	13
0:13:00	40	11,8	13
0:14:00	41	12,9	13
0:15:00	42	13,4	13
0:16:00	44	13,6	12
0:17:00	45	15,1	12
0:18:00	46	15,4	13
0:19:00	47	16,5	13
0:20:00	48	17,4	13
0:21:00	50	17,7	13
0:22:00	50	18,8	13
0:23:00	52	19,4	11
0:24:00	53	20,3	13
0:25:00	54	20,6	15
0:26:00	55	21,5	14
0:27:00	56	22,5	14
0:28:00	57	23,1	14
0:29:00	58	22,2	14
0:30:00	59	24,5	13
0:31:00	61	24,5	13
0:32:00	61	24,0	13
0:33:00	62	24,0	14
0:34:00	62	24,0	14
0:35:00	62	24,0	13
0:36:00	61	24,0	13
0:37:00	61	24,0	13
0:38:00	61	24,2	12
0:39:00	61	24,1	13
0:40:00	61	24,2	13
0:41:00	60	24,1	13
0:42:00	60	24,1	13
0:43:00	60	24,1	13
0:44:00	60	24,2	13
0:45:00	60	24,2	13
0:46:00	60	24,2	12
0:47:00	60	24,3	13
0:48:00	60	24,3	13
0:49:00	60	24,4	13
0:50:00	60	24,4	13
0:51:00	60	24,4	13
0:52:00	60	24,5	13
0:53:00	60	24,4	13
0:54:00	60	24,4	13
0:55:00	60	24,3	13
0:56:00	60	24,4	13
0:57:00	60	24,4	13
0:58:00	60	24,4	13
0:59:00	60	24,4	13
1:00:00	60	24,4	13
1:01:00	59	24,4	13
1:02:00	59	24,4	13
1:03:00	60	24,3	13
1:04:00	59	24,3	13
1:05:00	59	24,3	13
1:06:00	60	24,3	13
1:07:00	59	24,3	13
1:08:00	60	24,3	13
1:09:00	60	24,3	13
1:10:00	59	24,3	13
1:11:00	59	24,3	13
1:12:00	59	24,3	13
1:13:00	60	24,3	13
1:14:00	59	24,3	13
1:15:00	60	24,3	13
1:16:00	60	24,3	13
1:17:00	59	24,3	13
1:18:00	60	24,2	13
1:19:00	59	24,2	13
1:20:00	60	24,2	13
1:21:00	59	24,2	13
1:22:00	60	24,2	13
1:23:00	60	24,2	13
1:24:00	59	24,2	13
1:25:00	60	24,2	13
1:26:00	59	24,2	13
1:27:00	60	24,2	13
1:28:00	60	24,1	13
1:29:00	60	24,1	13
1:30:00	60	24,1	13
1:31:00	60	24,1	13
1:32:00	60	24,1	13
1:33:00	60	24,1	13
1:34:00	60	24,2	13
1:35:00	60	24,1	13
1:36:00	60	24,2	13
1:37:00	59	24,2	13
1:38:00	59	24,2	13
1:39:00	59	24,2	13
1:40:00	59	24,2	13
1:41:00	59	24,1	13
1:42:00	59	24,1	13
1:43:00	59	24,1	13
1:44:00	59	24,1	13
1:45:00	59	24,1	14
1:46:00	59	24,2	14
1:47:00	59	24,1	15
1:48:00	59	24,1	15
1:49:00	59	24,1	16
1:50:00	59	24,2	16
1:51:00	59	24,1	17
1:52:00	59	24,1	17
1:53:00	59	24,1	19
1:54:00	59	24,1	19
1:55:00	59	24,1	20
1:56:00	60	24,2	21
1:57:00	59	24,1	21
1:58:00	60	24,1	21
1:59:00	60	24,2	21
2:00:00	59	24,1	21
2:01:00	59	24,2	21
2:02:00	59	24,1	22
2:03:00	60	24,2	23
2:04:00	60	24,1	24
2:05:00	60	24,1	25
2:06:00	60	24,1	27
2:07:00	60	24,1	30
2:08:00	60	24,1	33
2:09:00	60	24,4	35
2:10:00	60	24,3	37
2:11:00	60	24,1	39
2:12:00	60	24,1	40
2:13:00	59	24,4	41
2:14:00	59	24,3	43
2:15:00	60	24,2	46
2:16:00	59	24,2	48
2:17:00	59	24,1	50
2:18:00	60	24,1	52
2:19:00	60	24,2	55
2:20:00	60	24,1	56
2:21:00	60	24,1	58
2:22:00	60	24,1	13
2:23:00	60	24,1	13
2:24:00	60	24,1	70
2:25:00	60	24,1	73
2:26:00	60	24,1	75
