--Test Summary--
Full Path and File Name	
Instrument Name	4262R
Instrument Type	Model 4262 Twin Cell UCA
Instrument Serial Number	111R
Test Start Date	18.02.2008
Test Start Time	17:49:53
Test Stop Date	20.02.2008
Test Stop Time	14:01:40
Test Length	44:11:47
Final Sample Time Offset	44:11:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	T: 37(40), 46(240)
Information	WellID	170-c3-01
Information	Customer	Tomsk
Information	CementClass	PCT-I-G
Information	CementMfr	Dykerhoff
Information	Additives	5%SMS
Information	Density	1420
Information	BHCT	37
Information	BHST	46
Information	FluidLoss	
Information	JobType	244.5 mm csg.
Calculated Value	CS_50	5:17:00
Calculated Value	CS_500	N/A
Calculated Value	CS_Time8h	0,64 MPa
Calculated Value	CS_Time16h	1,42 MPa
Calculated Value	CS_Time24h	1,79 MPa
Calculated Value	CS_Time48h	N/A
Calculated Value	CS_Time72h	N/A
Calculated Curve	Compressive Strength	Compressive strength type A (less than 14 lb/gal)
Initial Temperature (°C)	23 °C
Final Temperature (°C)	36 °C
Initial Transit Time (microsec/in)	16,66 microsec/in
Final Transit Time (microsec/in)	13,28 microsec/in
Initial Compressive Strength (MPa)	0,00 MPa
Final Compressive Strength (MPa)	2,21 MPa
--Data--
Time (HH:MM:SS)	Temperature (°C)	Transit Time (microsec/in)	Compressive Strength (MPa)
0:00:00	23	16,66	0,00
0:01:00	23	16,68	0,00
0:02:00	24	16,68	0,00
0:03:00	24	16,70	0,00
0:04:00	24	16,68	0,00
0:05:00	24	16,70	0,00
0:06:00	25	16,71	0,00
0:07:00	24	16,72	0,00
0:08:00	25	16,71	0,00
0:09:00	25	16,71	0,00
0:10:00	26	16,72	0,00
0:11:00	26	16,73	0,00
0:12:00	26	16,73	0,00
0:13:00	27	16,74	0,00
0:14:00	27	16,74	0,00
0:15:00	27	16,72	0,00
0:16:00	28	16,73	0,00
0:17:00	28	16,73	0,00
0:18:00	28	16,73	0,00
0:19:00	29	16,74	0,00
0:20:00	29	16,74	0,00
0:21:00	29	16,76	0,00
0:22:00	30	16,77	0,00
0:23:00	30	16,70	0,00
0:24:00	30	16,71	0,00
0:25:00	31	16,71	0,00
0:26:00	31	16,71	0,00
0:27:00	31	16,71	0,00
0:28:00	32	16,71	0,00
0:29:00	32	16,69	0,00
0:30:00	32	16,69	0,00
0:31:00	33	16,69	0,00
0:32:00	33	16,69	0,00
0:33:00	33	16,71	0,00
0:34:00	34	16,68	0,00
0:35:00	34	16,64	0,01
0:36:00	35	16,65	0,00
0:37:00	35	16,65	0,00
0:38:00	36	16,63	0,01
0:39:00	36	16,63	0,01
0:40:00	37	16,62	0,01
0:41:00	37	16,63	0,01
0:42:00	37	16,62	0,01
0:43:00	37	16,65	0,00
0:44:00	37	16,65	0,00
0:45:00	37	16,68	0,00
0:46:00	37	16,61	0,02
0:47:00	37	16,63	0,01
0:48:00	37	16,61	0,02
0:49:00	38	16,62	0,01
0:50:00	38	16,61	0,02
0:51:00	37	16,59	0,03
0:52:00	37	16,61	0,02
0:53:00	38	16,60	0,02
0:54:00	38	16,62	0,02
0:55:00	37	16,62	0,01
0:56:00	38	16,65	0,00
0:57:00	38	16,66	0,00
0:58:00	38	16,59	0,02
0:59:00	38	16,61	0,02
1:00:00	37	16,61	0,02
1:01:00	37	16,62	0,02
1:02:00	37	16,59	0,02
1:03:00	37	16,59	0,02
1:04:00	37	16,60	0,02
1:05:00	37	16,61	0,02
1:06:00	37	16,62	0,01
1:07:00	37	16,64	0,01
1:08:00	37	16,65	0,00
1:09:00	37	16,68	0,00
1:10:00	37	16,61	0,02
1:11:00	37	16,61	0,02
1:12:00	37	16,62	0,02
1:13:00	37	16,60	0,02
1:14:00	37	16,62	0,02
1:15:00	37	16,59	0,02
