--Test Summary--
Full Path and File Name	
Instrument Name	7222-2
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	128
Test Start Date	13.03.2008
Test Start Time	13:21:41
Test Stop Date	13.03.2008
Test Stop Time	16:11:58
Test Length	2:50:17
Final Sample Time Offset	2:50:13
Controller Schedule Name	
Sampling Period	20 seconds
Comments	
Information	WellID	
Information	Customer	
Information	CementClass	
Information	CementMfr	
Information	Additives	
Information	Density	
Information	BHCT	
Information	BHST	
Information	FluidLoss	
Information	JobType	
Calculated Value	30Bc - TT	2:14:20
Calculated Value	70Bc - TT	2:49:33
Calculated Value	100Bc - TT	N/A
Initial Temperature (°C)	29 °C
Final Temperature (°C)	79 °C
Initial Pressure (MPa)	3,1 MPa
Final Pressure (MPa)	30,3 MPa
Initial Consistency (Bc)	21 Bc
Final Consistency (Bc)	73 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	29	3,1	21
0:00:20	29	3,1	21
0:00:40	29	3,2	21
0:01:00	29	3,2	21
0:01:20	29	3,3	21
0:01:40	30	3,2	21
0:02:00	30	3,3	21
0:02:20	30	3,4	21
0:02:40	30	3,3	21
0:03:00	30	3,4	21
0:03:20	30	3,5	21
0:03:40	30	3,5	21
0:04:00	31	3,6	23
0:04:20	31	3,6	21
0:04:40	31	3,7	21
0:05:00	31	3,7	21
0:05:20	31	3,2	21
0:05:40	31	3,3	21
0:06:00	31	3,3	21
0:06:20	31	3,4	21
0:06:40	32	3,5	21
0:07:00	32	3,5	21
0:07:20	32	3,6	21
0:07:40	32	3,7	21
0:08:00	32	3,7	21
0:08:20	32	3,7	21
0:08:40	32	3,8	21
0:09:00	32	3,9	21
0:09:20	32	3,9	21
0:09:40	32	4,0	21
0:10:00	32	4,1	21
0:10:20	32	4,1	21
0:10:40	33	4,2	21
0:11:00	33	4,2	21
0:11:20	33	4,3	21
0:11:40	33	4,3	21
0:12:00	33	4,4	21
0:12:20	33	4,4	21
0:12:40	33	4,5	21
0:13:00	33	4,5	21
0:13:20	33	4,6	21
0:13:40	33	4,6	21
0:14:00	33	4,7	21
0:14:20	33	4,7	21
0:14:40	33	4,7	21
0:15:00	34	4,8	21
0:15:20	34	4,8	21
0:15:40	34	4,9	21
0:16:00	34	4,9	21
0:16:20	34	5,0	21
0:16:40	34	5,0	21
0:17:00	34	5,1	21
0:17:20	34	5,2	21
0:17:40	34	4,7	21
0:18:00	34	4,8	21
0:18:20	34	4,8	21
0:18:40	34	4,9	21
0:19:00	34	5,0	21
0:19:20	34	5,0	21
0:19:40	35	5,1	21
0:20:00	34	5,2	21
0:20:20	35	5,2	21
0:20:40	35	5,3	21
0:21:00	35	5,3	21
0:21:20	35	5,4	21
0:21:40	35	5,4	21
0:22:00	35	5,5	21
0:22:20	35	5,5	21
0:22:40	35	5,6	21
0:23:00	35	5,7	21
0:23:20	35	5,7	21
0:23:40	35	5,8	21
0:24:00	35	5,8	21
0:24:20	35	5,9	21
0:24:40	35	5,9	21
0:25:00	36	6,0	21
0:25:20	36	6,1	21
0:25:40	36	5,5	21
0:26:00	36	5,6	21
0:26:20	36	5,7	21
0:26:40	36	5,5	21
0:27:00	36	5,2	21
0:27:20	36	5,0	21
0:27:40	36	4,5	21
0:28:00	36	2,8	21
0:28:20	36	3,1	21
0:28:40	36	3,3	21
0:29:00	36	3,8	21
0:29:20	36	4,0	21
0:29:40	36	4,3	21
0:30:00	37	4,6	21
0:30:20	37	4,8	21
0:30:40	37	5,3	21
0:31:00	38	5,4	21
0:31:20	38	5,9	21
0:31:40	39	6,0	21
0:32:00	39	6,4	21
0:32:20	40	6,8	21
0:32:40	41	7,1	21
0:33:00	41	7,4	21
0:33:20	41	7,7	21
0:33:40	42	7,9	21
0:34:00	43	8,1	21
0:34:20	43	8,6	21
0:34:40	44	8,8	21
0:35:00	45	9,3	21
0:35:20	45	9,5	21
0:35:40	46	9,8	21
0:36:00	46	10,2	21
0:36:20	47	10,2	21
0:36:40	48	10,8	20
0:37:00	48	10,8	20
0:37:20	49	11,2	20
0:37:40	49	11,7	20
0:38:00	50	12,1	20
0:38:20	50	12,4	20
0:38:40	51	12,4	20
0:39:00	51	12,8	20
0:39:20	52	13,2	20
0:39:40	53	13,7	20
0:40:00	53	13,5	20
0:40:20	53	13,9	20
0:40:40	54	14,3	20
0:41:00	55	14,7	20
0:41:20	55	15,1	19
0:41:40	56	15,4	19
0:42:00	56	15,8	19
0:42:20	57	15,7	19
0:42:40	57	16,1	19
0:43:00	58	16,5	19
0:43:20	58	16,9	19
0:43:40	59	17,3	19
0:44:00	59	17,7	19
0:44:20	60	17,4	19
0:44:40	60	18,0	19
0:45:00	61	18,4	19
0:45:20	61	18,8	19
0:45:40	62	19,1	19
0:46:00	62	19,5	19
0:46:20	63	19,9	19
0:46:40	63	19,6	19
0:47:00	63	20,0	19
0:47:20	64	20,5	19
0:47:40	65	20,9	19
0:48:00	65	21,3	19
0:48:20	66	21,6	19
0:48:40	66	21,0	19
0:49:00	67	22,2	18
0:49:20	67	22,1	18
0:49:40	68	22,5	18
0:50:00	68	22,7	18
0:50:20	69	23,0	18
0:50:40	69	23,3	18
0:51:00	70	23,6	18
0:51:20	70	24,0	18
0:51:40	71	24,5	18
0:52:00	71	24,9	17
0:52:20	72	25,3	17
0:52:40	72	25,7	17
0:53:00	72	26,1	17
0:53:20	73	25,7	17
0:53:40	73	26,4	17
0:54:00	74	26,9	17
0:54:20	74	26,4	17
0:54:40	75	27,1	15
0:55:00	75	27,3	15
0:55:20	76	27,5	15
0:55:40	77	27,9	15
0:56:00	77	28,2	14
0:56:20	78	28,7	14
0:56:40	78	29,3	14
0:57:00	78	29,0	13
0:57:20	78	29,8	13
0:57:40	78	29,6	13
0:58:00	78	30,4	12
0:58:20	79	30,8	12
0:58:40	79	30,3	12
0:59:00	80	30,5	12
0:59:20	80	30,4	12
0:59:40	81	30,2	12
1:00:00	82	30,1	12
1:00:20	83	29,9	12
1:00:40	83	29,9	12
1:01:00	84	30,1	12
1:01:20	84	30,1	12
1:01:40	84	29,9	12
1:02:00	84	30,0	12
1:02:20	83	30,0	12
1:02:40	83	30,1	12
1:03:00	82	30,0	12
1:03:20	82	30,0	13
1:03:40	81	30,0	13
1:04:00	80	30,1	14
1:04:20	79	30,4	14
1:04:40	79	30,1	14
1:05:00	78	30,7	15
1:05:20	78	30,4	15
1:05:40	77	30,1	15
1:06:00	77	30,6	15
1:06:20	77	30,4	15
1:06:40	77	29,7	15
1:07:00	77	30,3	15
1:07:20	77	30,6	15
1:07:40	77	30,6	15
1:08:00	78	30,6	15
1:08:20	78	30,6	15
1:08:40	78	30,5	15
1:09:00	78	30,4	15
1:09:20	79	30,4	15
1:09:40	79	30,3	15
1:10:00	79	30,1	15
1:10:20	79	30,3	15
1:10:40	79	30,2	15
1:11:00	79	30,2	15
1:11:20	79	30,3	15
1:11:40	79	30,4	15
1:12:00	79	30,5	15
1:12:20	79	30,7	15
1:12:40	79	30,8	15
1:13:00	79	30,5	15
1:13:20	79	30,5	16
1:13:40	79	30,6	16
1:14:00	79	30,6	16
1:14:20	79	30,6	16
1:14:40	79	30,6	16
1:15:00	79	30,6	16
1:15:20	79	30,6	16
1:15:40	79	30,5	16
1:16:00	79	30,5	16
1:16:20	79	30,4	16
1:16:40	79	30,4	16
1:17:00	79	30,4	16
1:17:20	79	30,4	16
1:17:40	79	30,5	16
1:18:00	79	30,6	16
1:18:20	79	30,6	16
1:18:40	79	30,7	16
1:19:00	79	30,7	16
1:19:20	79	30,8	16
1:19:40	79	30,2	16
1:20:00	79	30,2	16
1:20:20	79	30,2	16
1:20:40	79	30,3	16
1:21:00	79	30,3	16
1:21:20	79	30,3	15
1:21:40	79	30,3	16
1:22:00	79	30,3	16
1:22:20	79	30,2	15
1:22:40	79	30,2	15
1:23:00	79	30,2	15
1:23:20	79	30,1	15
1:23:40	79	30,1	15
1:24:00	79	30,1	15
1:24:20	79	30,1	15
1:24:40	79	30,1	15
1:25:00	79	30,1	15
1:25:20	79	30,1	15
1:25:40	79	30,1	15
1:26:00	79	30,1	15
1:26:20	79	30,2	16
1:26:40	79	30,1	16
1:27:00	79	30,1	16
1:27:20	79	30,1	16
1:27:40	79	30,1	16
1:28:00	79	30,1	16
1:28:20	79	30,1	16
1:28:40	79	30,1	16
1:29:00	79	30,1	16
1:29:20	79	30,1	16
1:29:40	79	30,1	16
1:30:00	79	30,1	16
1:30:20	79	30,2	16
1:30:40	79	30,2	16
1:31:00	79	30,2	16
1:31:20	79	30,2	16
1:31:40	79	30,3	16
1:32:00	79	30,3	16
1:32:20	79	30,4	16
1:32:40	79	30,4	16
1:33:00	79	30,4	16
1:33:20	79	30,4	16
1:33:40	79	30,4	16
1:34:00	79	30,4	16
1:34:20	79	30,4	16
1:34:40	79	30,5	16
1:35:00	79	30,5	16
1:35:20	79	30,4	16
1:35:40	79	30,4	16
1:36:00	79	30,4	16
1:36:20	79	30,4	16
1:36:40	79	30,4	16
1:37:00	79	30,4	16
1:37:20	79	30,4	16
1:37:40	79	30,5	16
1:38:00	79	30,4	16
1:38:20	79	30,4	16
1:38:40	79	30,5	16
1:39:00	79	30,5	16
1:39:20	79	30,5	16
1:39:40	79	30,4	16
1:40:00	79	30,4	16
1:40:20	79	30,4	16
1:40:40	79	30,4	16
1:41:00	79	30,4	16
1:41:20	79	30,4	16
1:41:40	79	30,4	16
1:42:00	79	30,4	16
1:42:20	79	30,4	16
1:42:40	79	30,4	16
1:43:00	79	30,5	16
1:43:20	79	30,5	16
1:43:40	79	30,4	16
1:44:00	79	30,4	16
1:44:20	79	30,5	16
1:44:40	79	30,5	16
1:45:00	79	30,5	16
1:45:20	79	30,5	16
1:45:40	79	30,5	16
1:46:00	79	30,5	16
1:46:20	79	30,5	16
1:46:40	79	30,4	16
1:47:00	79	30,5	16
1:47:20	79	30,5	16
1:47:40	79	30,5	16
1:48:00	79	30,4	16
1:48:20	79	30,4	16
1:48:40	79	30,4	16
1:49:00	79	30,4	16
1:49:20	79	30,4	16
1:49:40	79	30,3	16
1:50:00	79	30,3	16
1:50:20	79	30,3	16
1:50:40	79	30,3	16
1:51:00	79	30,3	16
1:51:20	79	30,3	16
1:51:40	79	30,3	16
1:52:00	79	30,3	16
1:52:20	79	30,3	16
1:52:40	79	30,3	16
1:53:00	79	30,3	16
1:53:20	79	30,3	16
1:53:40	79	30,3	16
1:54:00	79	30,3	17
1:54:20	79	30,3	17
1:54:40	79	30,3	17
1:55:00	79	30,3	17
1:55:20	79	30,3	17
1:55:40	79	30,3	17
1:56:00	79	30,3	17
1:56:20	79	30,3	17
1:56:40	79	30,3	17
1:57:00	79	30,3	17
1:57:20	79	30,3	17
1:57:40	79	30,3	17
1:58:00	79	30,3	17
1:58:20	79	30,2	18
1:58:40	79	30,2	18
1:59:00	79	30,2	18
1:59:20	79	30,2	18
1:59:40	79	30,2	18
2:00:00	79	30,2	18
2:00:20	79	30,2	19
2:00:40	79	30,2	19
2:01:00	79	30,2	19
2:01:20	79	30,2	19
2:01:40	79	30,1	20
2:02:00	79	30,1	20
2:02:20	79	30,1	20
2:02:40	79	30,1	20
2:03:00	79	30,1	21
2:03:20	79	30,1	21
2:03:40	79	30,1	21
2:04:00	79	30,1	21
2:04:20	79	30,1	21
2:04:40	79	30,1	21
2:05:00	79	30,0	21
2:05:20	79	30,0	22
2:05:40	79	30,0	22
2:06:00	79	30,3	22
2:06:20	79	30,3	22
2:06:40	79	30,2	22
2:07:00	79	30,2	23
2:07:20	79	30,2	23
2:07:40	79	30,2	23
