--Test Summary--
Full Path and File Name	
Instrument Name	7222-1
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	113
Test Start Date	14.04.2009
Test Start Time	9:24:27
Test Stop Date	14.04.2009
Test Stop Time	11:45:27
Test Length	2:21:00
Final Sample Time Offset	2:21:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 10(30), T:70(35)
Information	WellID	Research
Information	Customer	
Information	CementClass	G
Information	CementMfr	Suhologskiy
Information	Additives	0.1%RPM
Information	Density	1900
Information	BHCT	70
Information	BHST	
Information	FluidLoss	
Information	JobType	Research
Calculated Value	30Bc - TT	2:00:00
Calculated Value	70Bc - TT	2:21:00
Calculated Value	100Bc - TT	N/A
Initial Temperature (°C)	25 °C
Final Temperature (°C)	71 °C
Initial Pressure (MPa)	0,9 MPa
Final Pressure (MPa)	10,0 MPa
Initial Consistency (Bc)	21 Bc
Final Consistency (Bc)	74 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	25	0,9	21
0:01:00	25	2,5	20
0:02:00	26	3,3	14
0:03:00	26	3,5	14
0:04:00	28	3,8	17
0:05:00	29	4,1	19
0:06:00	31	4,4	19
0:07:00	33	4,7	21
0:08:00	35	4,8	19
0:09:00	36	5,3	22
0:10:00	38	5,4	17
0:11:00	39	5,5	21
0:12:00	40	5,9	16
0:13:00	42	6,1	22
0:14:00	43	6,6	16
0:15:00	45	6,8	15
0:16:00	46	7,0	14
0:17:00	47	7,1	15
0:18:00	49	7,5	14
0:19:00	50	7,7	14
0:20:00	51	8,0	14
0:21:00	53	8,3	15
0:22:00	54	8,6	16
0:23:00	55	8,8	15
0:24:00	56	9,2	15
0:25:00	58	9,3	14
0:26:00	59	9,5	14
0:27:00	60	9,9	14
0:28:00	62	10,1	14
0:29:00	63	10,3	14
0:30:00	64	10,3	14
0:31:00	66	10,9	14
0:32:00	67	10,4	14
0:33:00	68	10,9	14
0:34:00	70	10,9	15
0:35:00	71	10,9	16
0:36:00	72	10,6	17
0:37:00	73	10,2	17
0:38:00	73	9,9	17
0:39:00	73	10,0	17
0:40:00	73	9,9	17
0:41:00	73	9,9	17
0:42:00	73	9,9	17
0:43:00	72	10,0	18
0:44:00	72	10,0	17
0:45:00	72	10,0	17
0:46:00	72	10,0	17
0:47:00	72	10,0	18
0:48:00	72	10,0	17
0:49:00	72	10,0	17
0:50:00	71	10,0	16
0:51:00	71	10,1	17
0:52:00	71	10,1	17
0:53:00	71	10,1	17
0:54:00	71	10,0	16
0:55:00	71	10,0	16
0:56:00	71	10,1	16
0:57:00	71	10,0	16
0:58:00	71	10,1	16
0:59:00	71	10,1	16
1:00:00	71	10,1	15
1:01:00	71	10,1	15
1:02:00	71	10,1	15
1:03:00	71	10,1	14
1:04:00	71	10,1	14
1:05:00	71	10,1	14
1:06:00	71	10,1	14
1:07:00	71	10,1	13
1:08:00	71	10,1	13
1:09:00	71	10,1	14
1:10:00	71	10,1	13
1:11:00	71	10,0	14
1:12:00	71	10,1	14
1:13:00	71	10,1	14
1:14:00	71	10,0	15
1:15:00	71	10,0	15
1:16:00	71	10,0	15
1:17:00	71	10,0	15
1:18:00	71	10,0	15
1:19:00	71	10,0	15
1:20:00	71	10,0	15
1:21:00	71	10,0	15
1:22:00	71	10,0	16
1:23:00	71	10,0	16
1:24:00	71	10,0	15
1:25:00	71	10,0	16
1:26:00	71	10,0	16
1:27:00	71	10,0	17
1:28:00	71	10,0	17
1:29:00	71	10,0	17
1:30:00	71	10,0	17
1:31:00	71	9,9	17
1:32:00	71	10,0	18
1:33:00	71	10,0	18
1:34:00	71	10,0	19
1:35:00	71	10,0	18
1:36:00	71	10,0	19
1:37:00	71	10,0	19
1:38:00	71	10,0	20
1:39:00	71	10,0	20
1:40:00	71	10,0	21
1:41:00	71	10,0	21
1:42:00	71	10,0	21
1:43:00	71	10,0	21
1:44:00	71	9,9	22
1:45:00	71	10,0	22
1:46:00	71	10,0	21
1:47:00	71	10,0	23
1:48:00	71	10,0	23
1:49:00	71	10,0	23
1:50:00	71	10,0	24
1:51:00	71	10,0	25
1:52:00	71	10,0	26
1:53:00	71	10,0	26
1:54:00	71	10,0	26
1:55:00	71	10,0	26
1:56:00	71	10,0	27
1:57:00	71	10,0	32
1:58:00	71	10,0	29
1:59:00	71	10,0	31
2:00:00	71	10,0	31
2:01:00	71	10,0	32
2:02:00	71	10,0	34
2:03:00	71	10,0	35
2:04:00	71	10,0	38
2:05:00	71	10,0	40
2:06:00	71	10,0	42
2:07:00	71	10,0	44
2:08:00	71	10,0	46
2:09:00	71	9,9	49
2:10:00	71	10,0	51
2:11:00	71	10,0	56
2:12:00	71	10,0	59
2:13:00	71	10,0	59
2:14:00	71	10,0	59
2:15:00	71	10,0	60
2:16:00	71	10,0	63
2:17:00	71	10,0	65
2:18:00	71	10,0	67
2:19:00	71	10,0	69
2:20:00	71	10,0	72
2:21:00	71	10,0	74
