--Test Summary--
Full Path and File Name	
Instrument Name	7222-1
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	113
Test Start Date	21.04.2009
Test Start Time	9:02:50
Test Stop Date	21.04.2009
Test Stop Time	13:51:50
Test Length	4:49:00
Final Sample Time Offset	4:48:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	10 MPa, 85C
Information	WellID	Research
Information	Customer	
Information	CementClass	G
Information	CementMfr	
Information	Additives	1,2%RPM
Information	Density	2160
Information	BHCT	85
Information	BHST	
Information	FluidLoss	
Information	JobType	Research
Calculated Value	30Bc - TT	N/A
Calculated Value	70Bc - TT	N/A
Calculated Value	100Bc - TT	N/A
Initial Temperature (°C)	22 °C
Final Temperature (°C)	84 °C
Initial Pressure (MPa)	2,8 MPa
Final Pressure (MPa)	10,9 MPa
Initial Consistency (Bc)	22 Bc
Final Consistency (Bc)	8 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	22	2,8	22
0:01:00	23	3,4	22
0:02:00	25	3,7	22
0:03:00	26	4,0	22
0:04:00	28	4,2	22
0:05:00	30	4,5	22
0:06:00	32	4,7	22
0:07:00	34	4,9	21
0:08:00	36	5,2	21
0:09:00	38	5,6	22
0:10:00	39	5,7	22
0:11:00	41	5,9	21
0:12:00	43	6,3	22
0:13:00	44	6,6	22
0:14:00	46	6,6	22
0:15:00	47	7,2	22
0:16:00	49	7,5	22
0:17:00	51	7,5	21
0:18:00	52	7,7	20
0:19:00	54	8,1	18
0:20:00	56	8,5	18
0:21:00	57	8,5	17
0:22:00	59	8,8	16
0:23:00	61	9,1	16
0:24:00	62	9,5	15
0:25:00	64	9,9	16
0:26:00	65	9,9	15
0:27:00	67	10,2	15
0:28:00	69	10,1	14
0:29:00	70	10,6	14
0:30:00	72	10,6	13
0:31:00	74	10,7	13
0:32:00	75	10,9	13
0:33:00	77	10,6	13
0:34:00	79	10,7	13
0:35:00	80	10,6	13
0:36:00	82	10,6	14
0:37:00	83	10,7	13
0:38:00	85	10,5	14
0:39:00	87	10,8	13
0:40:00	88	10,7	13
0:41:00	88	10,5	14
0:42:00	89	10,2	14
0:43:00	89	10,0	13
0:44:00	89	10,0	13
0:45:00	89	9,9	13
0:46:00	88	10,1	13
