--Test Summary--
Full Path and File Name	
Instrument Name	7222-2
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	128
Test Start Date	13.08.2009
Test Start Time	15:08:11
Test Stop Date	13.08.2009
Test Stop Time	23:00:12
Test Length	7:52:01
Final Sample Time Offset	7:52:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 25(120), T:45(120)
Information	WellID	
Information	Customer	Dragon
Information	CementClass	G
Information	CementMfr	Dykerhoff
Information	Additives	0.8gpsLX+20.1%MK85+16.4%MSAS+0.1%HE400+1.5%RPM+0.33%LTR-100
Information	Density	1560
Information	BHCT	45
Information	BHST	65
Information	FluidLoss	
Information	JobType	Research
Calculated Value	30Bc - TT	6:33:00
Calculated Value	70Bc - TT	7:52:00
Calculated Value	100Bc - TT	N/A
Initial Temperature (°C)	27 °C
Final Temperature (°C)	45 °C
Initial Pressure (MPa)	0,9 MPa
Final Pressure (MPa)	25,2 MPa
Initial Consistency (Bc)	9 Bc
Final Consistency (Bc)	80 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	27	0,9	9
0:01:00	27	2,2	22
0:02:00	27	2,4	18
0:03:00	27	2,6	21
0:04:00	27	2,8	15
0:05:00	27	3,1	12
0:06:00	27	3,2	12
0:07:00	27	3,3	15
0:08:00	28	3,6	15
0:09:00	28	3,7	18
0:10:00	28	3,9	25
0:11:00	28	4,1	16
0:12:00	28	4,3	13
0:13:00	29	4,5	12
0:14:00	29	4,7	11
0:15:00	29	4,8	12
0:16:00	29	5,1	16
0:17:00	29	5,3	9
0:18:00	29	5,5	9
0:19:00	29	5,8	8
0:20:00	30	5,8	8
0:21:00	30	6,0	8
0:22:00	30	6,2	9
0:23:00	30	6,4	7
0:24:00	30	6,7	8
0:25:00	31	6,8	8
0:26:00	31	7,0	7
0:27:00	31	7,2	7
0:28:00	31	7,4	7
0:29:00	31	7,5	6
0:30:00	31	7,8	6
0:31:00	31	7,9	6
0:32:00	31	8,1	6
0:33:00	32	8,3	6
0:34:00	32	8,5	6
0:35:00	32	8,7	6
0:36:00	32	8,9	6
0:37:00	32	9,2	6
0:38:00	33	9,4	6
0:39:00	33	9,5	6
0:40:00	33	9,6	6
0:41:00	33	9,9	6
0:42:00	33	10,0	6
0:43:00	33	10,3	6
0:44:00	33	10,4	6
0:45:00	34	10,6	6
0:46:00	34	10,8	6
0:47:00	34	11,0	6
0:48:00	34	11,3	6
0:49:00	34	11,4	6
0:50:00	34	11,6	6
0:51:00	34	11,8	6
0:52:00	35	12,0	6
0:53:00	35	12,1	6
