--Test Summary--
Full Path and File Name	
Instrument Name	7222-2
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	128
Test Start Date	23.09.2009
Test Start Time	10:10:19
Test Stop Date	23.09.2009
Test Stop Time	15:10:20
Test Length	5:00:01
Final Sample Time Offset	5:00:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 25(120), T:45(120)
Information	WellID	
Information	Customer	Dragon
Information	CementClass	G
Information	CementMfr	Dykerhoff
Information	Additives	0.8gpsLX+20%MK85+0.4%HE400+0.15%VC-125
Information	Density	1560
Information	BHCT	45
Information	BHST	65
Information	FluidLoss	
Information	JobType	Research
Calculated Value	30Bc - TT	3:22:00
Calculated Value	70Bc - TT	5:00:00
Calculated Value	100Bc - TT	N/A
Initial Temperature (°C)	23 °C
Final Temperature (°C)	46 °C
Initial Pressure (MPa)	0,6 MPa
Final Pressure (MPa)	25,2 MPa
Initial Consistency (Bc)	9 Bc
Final Consistency (Bc)	78 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	23	0,6	9
0:01:00	23	2,3	7
0:02:00	22	2,7	6
0:03:00	23	3,2	6
0:04:00	23	3,7	6
0:05:00	23	3,8	6
0:06:00	23	3,9	6
0:07:00	24	4,2	6
0:08:00	24	4,4	6
0:09:00	24	4,5	6
0:10:00	25	4,6	6
0:11:00	25	4,6	6
0:12:00	25	4,7	6
0:13:00	25	4,9	6
0:14:00	25	5,0	6
0:15:00	26	5,1	6
0:16:00	26	5,2	5
0:17:00	26	5,4	5
0:18:00	26	5,6	5
0:19:00	26	5,9	5
0:20:00	26	6,3	5
0:21:00	27	6,5	5
0:22:00	27	6,7	5
0:23:00	27	6,9	5
0:24:00	27	7,0	5
0:25:00	28	7,1	5
0:26:00	28	7,2	5
0:27:00	28	7,1	5
0:28:00	28	7,5	5
0:29:00	28	7,5	5
0:30:00	28	7,8	5
0:31:00	29	8,0	5
0:32:00	29	8,2	5
0:33:00	29	8,5	4
0:34:00	29	8,8	5
0:35:00	29	9,1	4
0:36:00	29	9,4	4
0:37:00	30	9,6	5
0:38:00	30	9,8	4
0:39:00	30	9,8	4
0:40:00	30	9,7	5
0:41:00	31	9,8	4
0:42:00	31	10,1	4
0:43:00	31	10,2	4
0:44:00	31	10,4	4
0:45:00	31	10,7	5
0:46:00	31	11,0	4
0:47:00	31	11,3	4
0:48:00	32	11,6	4
0:49:00	32	11,8	4
0:50:00	32	12,0	4
0:51:00	32	12,0	4
0:52:00	33	12,1	4
0:53:00	33	12,2	4
0:54:00	33	12,3	4
0:55:00	33	12,5	4
0:56:00	33	12,7	4
0:57:00	34	12,9	4
0:58:00	34	13,1	4
0:59:00	34	13,3	4
1:00:00	34	13,5	4
1:01:00	34	13,8	4
1:02:00	34	14,0	4
1:03:00	35	14,1	4
1:04:00	35	14,3	4
1:05:00	35	14,5	4
1:06:00	35	14,6	4
1:07:00	36	14,8	4
1:08:00	36	15,0	4
1:09:00	36	15,2	4
1:10:00	36	15,4	4
1:11:00	36	15,8	4
1:12:00	36	15,9	4
1:13:00	37	16,1	4
1:14:00	37	16,3	4
1:15:00	37	16,5	4
1:16:00	37	16,7	4
1:17:00	37	16,9	4
1:18:00	38	17,2	4
1:19:00	38	17,4	4
1:20:00	38	17,5	4
1:21:00	38	17,7	4
1:22:00	38	17,8	4
1:23:00	38	18,0	4
1:24:00	39	18,1	4
1:25:00	39	18,3	4
1:26:00	39	18,5	4
1:27:00	39	18,7	4
1:28:00	40	19,0	4
1:29:00	40	19,2	4
1:30:00	40	19,3	4
1:31:00	40	19,5	3
1:32:00	40	19,6	4
1:33:00	40	19,9	4
1:34:00	41	20,0	4
1:35:00	41	20,2	4
1:36:00	41	20,4	4
1:37:00	41	20,8	4
1:38:00	41	20,9	4
1:39:00	42	21,1	4
1:40:00	42	21,2	4
1:41:00	42	21,4	4
1:42:00	42	21,6	4
1:43:00	42	21,7	4
1:44:00	42	22,0	4
1:45:00	43	22,3	4
1:46:00	43	22,7	4
1:47:00	43	23,2	4
1:48:00	43	23,0	5
1:49:00	43	23,6	5
1:50:00	43	23,3	4
1:51:00	43	23,8	5
1:52:00	44	24,3	5
1:53:00	44	24,0	4
1:54:00	44	24,3	4
1:55:00	44	24,6	5
1:56:00	45	24,6	4
1:57:00	45	24,6	7
1:58:00	46	24,7	7
1:59:00	46	24,8	7
2:00:00	46	25,0	7
2:01:00	47	25,4	7
2:02:00	47	25,1	6
2:03:00	47	25,1	6
2:04:00	47	25,3	6
2:05:00	47	25,2	6
2:06:00	47	25,2	6
2:07:00	47	25,1	7
2:08:00	47	25,1	7
2:09:00	47	25,2	7
2:10:00	47	25,3	7
2:11:00	46	25,1	7
2:12:00	46	25,2	7
2:13:00	46	25,3	7
2:14:00	46	25,2	8
2:15:00	45	25,1	7
2:16:00	45	25,2	7
2:17:00	45	25,6	8
2:18:00	45	26,0	8
2:19:00	45	26,0	8
2:20:00	44	25,9	8
2:21:00	44	25,7	8
2:22:00	44	25,5	8
2:23:00	44	25,2	9
2:24:00	45	25,9	9
2:25:00	45	25,3	9
2:26:00	45	25,6	10
2:27:00	45	25,7	10
2:28:00	46	25,6	10
2:29:00	46	25,2	10
2:30:00	46	25,1	10
2:31:00	47	25,2	10
2:32:00	47	25,2	10
2:33:00	47	25,1	10
2:34:00	47	25,1	11
2:35:00	47	25,2	11
2:36:00	47	25,1	11
2:37:00	47	25,2	11
2:38:00	47	25,1	11
2:39:00	47	25,1	11
2:40:00	47	25,1	11
2:41:00	47	25,1	11
2:42:00	47	25,3	12
2:43:00	47	25,2	12
2:44:00	47	25,2	12
2:45:00	46	25,1	12
2:46:00	46	25,1	12
2:47:00	46	25,1	12
2:48:00	46	25,1	12
2:49:00	46	25,1	13
2:50:00	46	25,1	14
2:51:00	45	25,2	13
2:52:00	45	25,4	14
2:53:00	45	25,6	15
2:54:00	45	26,0	15
2:55:00	45	25,9	16
2:56:00	45	25,4	16
2:57:00	45	25,9	16
2:58:00	45	25,5	16
2:59:00	45	25,9	17
3:00:00	45	25,4	17
3:01:00	45	25,6	18
3:02:00	45	25,8	18
3:03:00	45	25,8	18
3:04:00	46	25,8	20
3:05:00	46	25,5	20
3:06:00	46	25,2	20
3:07:00	46	25,1	21
3:08:00	46	25,1	21
3:09:00	47	25,2	23
3:10:00	47	25,1	25
3:11:00	47	25,1	25
3:12:00	47	25,2	26
3:13:00	47	25,2	26
3:14:00	47	25,1	27
3:15:00	47	25,1	28
3:16:00	47	25,1	29
3:17:00	47	25,1	29
3:18:00	46	25,1	29
3:19:00	46	25,1	29
3:20:00	46	25,1	30
3:21:00	46	25,2	30
3:22:00	46	25,1	32
3:23:00	46	25,3	33
3:24:00	46	25,2	33
3:25:00	46	25,1	35
3:26:00	46	25,2	35
3:27:00	46	25,1	35
3:28:00	46	25,2	35
3:29:00	45	25,1	35
3:30:00	45	25,1	36
3:31:00	45	25,1	36
3:32:00	45	25,3	36
3:33:00	45	25,5	36
3:34:00	45	25,8	38
3:35:00	45	26,1	39
3:36:00	45	25,9	39
3:37:00	45	25,4	40
3:38:00	45	25,9	40
3:39:00	45	25,4	41
3:40:00	45	25,8	42
3:41:00	45	25,0	43
3:42:00	45	25,4	43
3:43:00	45	25,7	44
3:44:00	45	25,8	46
3:45:00	45	25,8	47
3:46:00	46	25,6	48
3:47:00	46	25,3	49
3:48:00	46	25,1	49
3:49:00	46	25,1	49
3:50:00	46	25,2	49
3:51:00	47	25,1	49
3:52:00	47	25,1	49
3:53:00	47	25,2	49
3:54:00	47	25,2	49
3:55:00	47	25,1	49
