--Test Summary--
Full Path and File Name	
Instrument Name	7222-2
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	128
Test Start Date	26.03.2009
Test Start Time	18:33:02
Test Stop Date	27.03.2009
Test Stop Time	0:51:03
Test Length	6:18:01
Final Sample Time Offset	6:18:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 10(45), T:40(45)
Information	WellID	Kurmangazy2
Information	Customer	LUKoil-Shelf
Information	CementClass	G
Information	CementMfr	Dykerhoff (Germany)
Information	Additives	no
Information	Density	1900
Information	BHCT	40
Information	BHST	50
Information	FluidLoss	
Information	JobType	339.7 mm csg
Calculated Value	30Bc - TT	2:31:00
Calculated Value	70Bc - TT	6:18:00
Calculated Value	100Bc - TT	N/A
Initial Temperature (°C)	24 °C
Final Temperature (°C)	39 °C
Initial Pressure (MPa)	0,7 MPa
Final Pressure (MPa)	10,1 MPa
Initial Consistency (Bc)	14 Bc
Final Consistency (Bc)	73 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	24	0,7	14
0:01:00	25	2,1	12
0:02:00	25	2,3	9
0:03:00	25	2,6	9
0:04:00	25	3,1	8
0:05:00	25	3,5	9
0:06:00	25	3,7	10
0:07:00	26	3,9	10
0:08:00	26	4,0	9
0:09:00	27	4,1	10
0:10:00	27	4,3	10
0:11:00	28	4,5	10
0:12:00	28	4,3	12
0:13:00	28	4,6	12
0:14:00	29	4,8	12
0:15:00	29	5,0	13
0:16:00	30	5,2	12
0:17:00	30	5,5	13
0:18:00	31	5,8	12
0:19:00	31	5,4	13
0:20:00	31	5,7	13
0:21:00	32	6,0	13
0:22:00	32	6,2	13
0:23:00	32	6,4	13
0:24:00	33	6,8	13
0:25:00	33	7,0	13
0:26:00	33	7,3	13
0:27:00	34	6,9	14
0:28:00	34	7,2	14
0:29:00	34	7,5	14
0:30:00	35	7,8	14
0:31:00	35	8,1	14
0:32:00	35	7,5	13
0:33:00	36	8,1	14
0:34:00	36	8,4	14
0:35:00	36	8,7	14
0:36:00	37	9,0	14
0:37:00	37	8,4	15
0:38:00	38	8,9	15
0:39:00	38	9,2	15
0:40:00	38	9,6	15
0:41:00	39	9,9	15
0:42:00	39	10,1	15
0:43:00	39	9,9	16
0:44:00	40	10,2	16
0:45:00	40	10,5	16
0:46:00	40	10,5	16
0:47:00	41	10,3	16
0:48:00	41	10,1	16
0:49:00	41	10,2	16
0:50:00	41	10,1	17
0:51:00	41	10,2	17
0:52:00	40	10,1	17
0:53:00	40	10,2	17
0:54:00	40	10,2	17
0:55:00	40	10,2	17
0:56:00	40	10,2	17
