--Test Summary--
Full Path and File Name	
Instrument Name	7222-2
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	128
Test Start Date	22.04.2009
Test Start Time	13:11:02
Test Stop Date	22.04.2009
Test Stop Time	15:35:03
Test Length	2:24:01
Final Sample Time Offset	2:24:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 20(30), T:68(30)
Information	WellID	Kurmangazy2
Information	Customer	LUKoil-Shelf
Information	CementClass	G
Information	CementMfr	Dykerhoff (Germany)
Information	Additives	0.1%LTR-100
Information	Density	1900
Information	BHCT	68
Information	BHST	
Information	FluidLoss	
Information	JobType	PLUG
Calculated Value	30Bc - TT	0:29:00
Calculated Value	70Bc - TT	2:24:00
Calculated Value	100Bc - TT	N/A
Initial Temperature (°C)	28 °C
Final Temperature (°C)	68 °C
Initial Pressure (MPa)	0,6 MPa
Final Pressure (MPa)	20,1 MPa
Initial Consistency (Bc)	7 Bc
Final Consistency (Bc)	74 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	28	0,6	7
0:01:00	28	2,3	10
0:02:00	28	3,5	11
0:03:00	28	4,1	14
0:04:00	29	4,8	15
0:05:00	31	5,3	17
0:06:00	33	5,9	8
0:07:00	35	6,6	10
0:08:00	37	7,1	12
0:09:00	38	7,8	10
0:10:00	40	8,2	8
0:11:00	41	8,9	7
0:12:00	43	9,6	8
0:13:00	44	10,2	20
0:14:00	45	10,6	11
0:15:00	47	11,0	9
0:16:00	49	11,9	16
0:17:00	50	12,6	14
0:18:00	52	13,1	16
0:19:00	53	13,5	15
0:20:00	54	14,0	14
0:21:00	56	14,9	14
0:22:00	57	15,4	18
0:23:00	58	16,2	20
0:24:00	59	16,8	29
0:25:00	61	17,4	32
0:26:00	62	18,0	28
0:27:00	64	18,5	30
0:28:00	65	19,0	31
0:29:00	66	19,5	33
0:30:00	67	20,0	39
0:31:00	69	20,2	32
0:32:00	70	20,0	34
0:33:00	70	20,0	34
0:34:00	70	20,1	28
0:35:00	70	20,0	35
0:36:00	70	20,0	26
0:37:00	70	20,1	33
0:38:00	70	20,1	31
0:39:00	69	20,1	29
0:40:00	69	20,1	26
0:41:00	69	20,1	33
0:42:00	69	20,1	34
0:43:00	69	20,1	33
0:44:00	69	20,1	31
0:45:00	68	20,1	29
0:46:00	68	20,1	30
0:47:00	68	20,1	30
0:48:00	68	20,1	30
0:49:00	68	20,1	32
0:50:00	68	20,1	31
0:51:00	68	20,1	31
0:52:00	68	20,1	32
0:53:00	68	20,3	37
0:54:00	68	20,2	39
0:55:00	68	20,2	32
0:56:00	68	20,3	38
0:57:00	68	20,3	34
0:58:00	68	20,3	32
0:59:00	68	20,3	32
1:00:00	68	20,4	33
1:01:00	68	20,4	33
1:02:00	68	20,4	34
1:03:00	68	20,4	36
1:04:00	68	20,4	35
1:05:00	68	20,5	30
1:06:00	68	20,5	27
1:07:00	68	20,5	26
1:08:00	68	20,5	28
1:09:00	68	20,5	30
1:10:00	68	20,6	32
1:11:00	68	20,5	31
1:12:00	68	20,6	31
1:13:00	68	20,6	30
1:14:00	68	20,6	30
1:15:00	68	20,6	31
1:16:00	68	20,6	31
1:17:00	68	20,6	31
1:18:00	68	20,6	39
1:19:00	68	20,6	39
1:20:00	68	20,6	37
1:21:00	68	20,6	36
1:22:00	68	20,6	34
1:23:00	68	20,7	36
1:24:00	68	20,7	36
1:25:00	68	20,6	38
1:26:00	68	20,6	39
1:27:00	67	20,6	39
1:28:00	67	20,7	37
1:29:00	67	20,7	38
1:30:00	68	20,7	37
1:31:00	67	20,6	37
1:32:00	67	20,7	37
1:33:00	67	20,7	36
1:34:00	68	20,7	36
1:35:00	67	20,7	36
1:36:00	67	20,7	36
1:37:00	68	20,7	37
1:38:00	67	20,7	36
1:39:00	68	20,7	36
1:40:00	68	20,7	36
1:41:00	68	20,7	36
1:42:00	68	20,7	36
1:43:00	67	20,6	36
1:44:00	67	20,7	35
1:45:00	67	20,7	36
1:46:00	67	20,7	36
1:47:00	68	20,6	36
1:48:00	68	20,6	35
1:49:00	67	20,6	36
1:50:00	68	20,6	36
1:51:00	68	20,6	34
1:52:00	68	20,6	34
1:53:00	68	20,6	33
1:54:00	68	20,5	37
1:55:00	67	20,5	37
1:56:00	67	20,5	43
1:57:00	68	20,5	46
1:58:00	68	20,5	46
1:59:00	67	20,4	45
2:00:00	68	20,4	44
2:01:00	68	20,4	45
2:02:00	68	20,3	45
2:03:00	68	20,3	45
2:04:00	68	20,3	45
2:05:00	67	20,2	43
2:06:00	68	20,1	49
2:07:00	68	20,1	46
2:08:00	68	20,1	61
2:09:00	67	20,1	41
2:10:00	67	20,1	44
2:11:00	68	20,1	47
2:12:00	68	20,1	57
2:13:00	67	20,0	60
2:14:00	68	20,1	67
2:15:00	67	20,0	65
2:16:00	68	20,1	58
2:17:00	68	20,1	55
2:18:00	68	20,0	69
2:19:00	68	20,1	18
2:20:00	68	20,1	6
2:21:00	68	20,1	10
2:22:00	68	20,1	70
2:23:00	68	20,1	71
2:24:00	68	20,1	74
