--Test Summary--
Full Path and File Name	
Instrument Name	7222-2
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	128
Test Start Date	07.04.2009
Test Start Time	9:31:07
Test Stop Date	07.04.2009
Test Stop Time	11:48:42
Test Length	2:17:35
Final Sample Time Offset	2:17:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 16.5(45), T:45(45)
Information	WellID	Kurmangazy2
Information	Customer	LUKoil-Shelf
Information	CementClass	G
Information	CementMfr	Dykerhoff (Germany)
Information	Additives	0.3%FL+0.1%RPM
Information	Density	1900
Information	BHCT	45
Information	BHST	60
Information	FluidLoss	
Information	JobType	244.5 mm csg.
Calculated Value	30Bc - TT	2:01:00
Calculated Value	70Bc - TT	N/A
Calculated Value	100Bc - TT	N/A
Initial Temperature (°C)	25 °C
Final Temperature (°C)	45 °C
Initial Pressure (MPa)	0,8 MPa
Final Pressure (MPa)	16,6 MPa
Initial Consistency (Bc)	24 Bc
Final Consistency (Bc)	43 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	25	0,8	24
0:01:00	25	2,4	20
0:02:00	25	2,7	18
0:03:00	25	3,1	16
0:04:00	26	3,5	15
0:05:00	26	3,8	15
0:06:00	27	4,0	14
0:07:00	27	4,3	13
0:08:00	28	4,7	13
0:09:00	28	5,0	13
0:10:00	29	5,4	12
0:11:00	29	5,6	12
0:12:00	30	5,9	12
0:13:00	30	6,3	12
0:14:00	31	6,6	12
0:15:00	31	7,0	12
0:16:00	32	7,3	12
0:17:00	32	7,7	12
0:18:00	33	8,0	12
0:19:00	33	8,3	12
0:20:00	34	8,7	12
0:21:00	34	9,1	12
0:22:00	35	9,5	12
0:23:00	35	9,9	12
0:24:00	36	10,3	12
0:25:00	36	10,6	12
0:26:00	37	11,0	12
0:27:00	37	11,4	12
0:28:00	37	11,1	12
0:29:00	38	11,6	12
0:30:00	38	12,0	12
0:31:00	39	12,4	12
0:32:00	39	12,7	12
0:33:00	40	13,2	12
0:34:00	40	13,6	12
0:35:00	41	13,5	12
0:36:00	41	13,7	12
0:37:00	42	14,1	12
0:38:00	42	14,5	13
0:39:00	43	14,9	13
0:40:00	43	15,3	13
0:41:00	43	15,8	13
0:42:00	44	16,2	14
0:43:00	44	16,1	14
0:44:00	45	16,6	14
0:45:00	45	16,9	14
0:46:00	46	16,8	15
0:47:00	46	16,5	16
0:48:00	46	16,5	16
0:49:00	46	16,6	16
0:50:00	46	16,7	16
0:51:00	46	16,6	16
0:52:00	46	16,6	16
0:53:00	46	16,6	16
0:54:00	46	16,6	16
0:55:00	46	16,6	17
0:56:00	46	16,6	17
0:57:00	46	16,6	17
0:58:00	46	16,6	17
0:59:00	46	16,6	17
1:00:00	45	16,6	17
1:01:00	45	16,6	18
1:02:00	45	16,7	18
1:03:00	45	16,7	18
1:04:00	45	16,7	18
1:05:00	45	16,7	18
1:06:00	45	16,7	18
1:07:00	45	16,7	18
1:08:00	45	16,7	18
1:09:00	45	16,7	18
1:10:00	45	16,7	18
1:11:00	45	16,7	18
1:12:00	45	16,7	18
1:13:00	45	16,8	18
1:14:00	45	16,8	18
1:15:00	45	16,8	19
1:16:00	45	16,8	19
1:17:00	45	16,8	19
1:18:00	45	16,8	19
1:19:00	45	16,8	19
1:20:00	45	16,8	19
1:21:00	45	16,8	19
1:22:00	45	16,8	19
1:23:00	45	16,8	19
1:24:00	45	16,8	19
1:25:00	45	16,8	19
1:26:00	45	16,8	19
1:27:00	45	16,8	20
1:28:00	45	16,8	20
1:29:00	45	16,8	20
1:30:00	45	16,8	20
1:31:00	45	16,8	20
1:32:00	45	16,8	20
1:33:00	45	16,8	20
1:34:00	45	16,8	20
1:35:00	45	16,8	20
1:36:00	45	16,8	21
1:37:00	45	16,8	21
1:38:00	45	16,8	21
1:39:00	45	16,9	20
1:40:00	45	16,9	20
1:41:00	45	16,9	21
1:42:00	45	16,9	21
1:43:00	45	16,8	22
1:44:00	45	16,8	22
1:45:00	45	16,8	23
1:46:00	45	16,8	23
1:47:00	45	16,8	24
1:48:00	45	16,8	24
1:49:00	45	16,8	24
1:50:00	45	16,8	24
1:51:00	45	16,8	25
1:52:00	45	16,8	25
1:53:00	45	16,8	26
1:54:00	45	16,8	26
1:55:00	45	16,8	25
1:56:00	45	16,8	27
1:57:00	45	16,8	28
1:58:00	45	16,8	28
1:59:00	45	16,8	30
2:00:00	45	16,8	31
2:01:00	45	16,8	32
2:02:00	45	16,8	32
2:03:00	45	16,8	32
2:04:00	45	16,7	34
2:05:00	45	16,7	35
2:06:00	45	16,7	35
2:07:00	45	16,7	37
2:08:00	45	16,7	37
2:09:00	45	16,7	39
2:10:00	45	16,7	40
2:11:00	45	16,6	40
2:12:00	45	16,6	41
2:13:00	45	16,6	42
2:14:00	45	16,6	42
2:15:00	45	16,6	42
2:16:00	45	16,6	43
2:17:00	45	16,6	43
