--Test Summary--
Full Path and File Name	
Instrument Name	7222-2
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	128
Test Start Date	06.10.2009
Test Start Time	8:47:55
Test Stop Date	06.10.2009
Test Stop Time	12:35:55
Test Length	3:48:00
Final Sample Time Offset	3:48:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 28(35? T:70(35)
Information	WellID	Rakushechnaya 5
Information	Customer	LUKoil-Shelf
Information	CementClass	G
Information	CementMfr	Dykerhoff
Information	Additives	0.3%FL+0.4%RPM
Information	Density	1920
Information	BHCT	70
Information	BHST	
Information	FluidLoss	
Information	JobType	168 mm csg production
Calculated Value	30Bc - TT	3:18:00
Calculated Value	70Bc - TT	3:48:00
Calculated Value	100Bc - TT	N/A
Initial Temperature (°C)	23 °C
Final Temperature (°C)	68 °C
Initial Pressure (MPa)	0,5 MPa
Final Pressure (MPa)	28,2 MPa
Initial Consistency (Bc)	29 Bc
Final Consistency (Bc)	74 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	23	0,5	29
0:01:00	23	1,9	19
0:02:00	24	3,4	19
0:03:00	24	4,4	18
0:04:00	24	5,2	17
0:05:00	25	6,0	15
0:06:00	27	6,6	16
0:07:00	29	7,2	23
0:08:00	31	8,0	13
0:09:00	34	8,4	23
0:10:00	36	8,7	19
0:11:00	38	9,4	15
0:12:00	40	10,1	14
0:13:00	41	10,9	12
0:14:00	42	11,6	12
0:15:00	43	12,7	12
0:16:00	44	13,9	12
0:17:00	45	14,4	12
0:18:00	46	15,3	12
0:19:00	47	16,1	11
0:20:00	48	16,6	12
0:21:00	50	17,6	12
0:22:00	51	18,2	12
0:23:00	53	19,3	11
0:24:00	55	19,7	10
0:25:00	56	20,6	11
0:26:00	58	21,4	11
0:27:00	59	22,3	11
0:28:00	61	22,4	9
0:29:00	62	23,5	10
0:30:00	63	23,7	11
0:31:00	64	25,2	11
0:32:00	65	25,8	11
0:33:00	67	26,4	10
0:34:00	68	27,3	10
0:35:00	69	28,2	16
0:36:00	71	28,4	18
0:37:00	72	28,0	18
0:38:00	73	28,1	18
0:39:00	74	28,1	13
0:40:00	75	28,3	10
0:41:00	75	28,1	10
0:42:00	74	28,1	10
0:43:00	73	28,0	21
0:44:00	72	28,1	13
0:45:00	71	29,0	13
0:46:00	69	28,4	14
0:47:00	68	29,1	14
0:48:00	68	29,0	14
0:49:00	68	28,4	14
0:50:00	68	28,5	13
0:51:00	69	29,0	15
0:52:00	70	28,8	14
0:53:00	70	28,1	17
0:54:00	71	28,0	9
0:55:00	72	28,1	9
0:56:00	72	28,1	9
0:57:00	72	28,1	9
0:58:00	71	28,1	10
0:59:00	71	28,2	9
1:00:00	70	28,7	10
1:01:00	69	28,7	12
1:02:00	69	28,8	13
1:03:00	69	28,7	13
1:04:00	69	28,3	13
1:05:00	69	28,8	13
1:06:00	69	28,9	12
1:07:00	70	28,8	13
1:08:00	70	28,4	13
1:09:00	70	28,1	12
1:10:00	70	28,1	11
1:11:00	71	28,2	12
1:12:00	70	28,1	12
1:13:00	70	28,1	12
1:14:00	70	28,1	12
1:15:00	69	28,4	12
1:16:00	69	28,7	12
1:17:00	69	28,6	20
1:18:00	69	29,0	22
1:19:00	69	28,5	21
1:20:00	69	28,7	23
1:21:00	69	28,7	19
1:22:00	69	28,7	19
1:23:00	70	28,5	18
1:24:00	70	28,3	18
1:25:00	70	28,1	17
1:26:00	70	28,1	17
1:27:00	70	28,1	17
1:28:00	70	28,1	17
1:29:00	70	28,1	17
1:30:00	69	28,2	17
1:31:00	69	28,3	17
1:32:00	69	28,5	17
1:33:00	69	28,7	17
1:34:00	69	28,9	17
1:35:00	69	29,0	17
1:36:00	69	29,1	17
1:37:00	69	29,1	17
1:38:00	69	29,0	17
1:39:00	69	28,9	17
1:40:00	69	28,8	16
1:41:00	69	28,7	16
1:42:00	70	28,6	16
1:43:00	69	28,5	16
1:44:00	69	28,5	16
1:45:00	69	28,5	16
1:46:00	69	28,5	16
1:47:00	69	28,6	16
1:48:00	69	28,7	16
1:49:00	69	28,8	16
1:50:00	69	28,9	16
1:51:00	69	29,0	16
1:52:00	69	29,0	16
1:53:00	69	29,0	16
1:54:00	69	29,0	16
1:55:00	69	28,9	16
1:56:00	69	28,9	16
1:57:00	69	28,8	16
1:58:00	69	28,8	16
1:59:00	69	28,7	16
2:00:00	69	28,7	16
2:01:00	69	28,7	16
2:02:00	69	28,7	16
2:03:00	69	28,7	16
2:04:00	69	28,8	16
2:05:00	69	28,9	16
2:06:00	69	28,9	17
2:07:00	69	29,0	17
2:08:00	69	29,0	17
2:09:00	69	29,0	17
2:10:00	69	29,1	17
2:11:00	69	29,0	17
2:12:00	69	29,0	17
2:13:00	69	29,0	17
2:14:00	69	28,9	17
2:15:00	70	28,8	17
2:16:00	69	28,8	17
2:17:00	70	28,7	17
2:18:00	69	28,7	17
2:19:00	69	28,7	17
2:20:00	69	28,8	17
2:21:00	69	28,8	17
2:22:00	69	28,8	17
2:23:00	69	28,9	17
2:24:00	69	28,9	18
2:25:00	69	29,0	18
2:26:00	69	29,0	18
2:27:00	69	29,1	18
2:28:00	69	29,1	18
2:29:00	69	29,0	17
2:30:00	69	29,0	17
2:31:00	69	29,0	18
2:32:00	69	29,0	18
2:33:00	69	28,9	18
2:34:00	69	28,8	18
2:35:00	69	28,8	18
2:36:00	70	28,8	18
2:37:00	70	28,7	18
2:38:00	69	28,7	18
2:39:00	69	28,7	18
2:40:00	69	28,7	18
2:41:00	69	28,7	18
2:42:00	69	28,7	18
2:43:00	69	28,7	18
2:44:00	69	28,8	18
2:45:00	69	28,8	18
2:46:00	69	28,9	18
2:47:00	69	29,0	18
2:48:00	69	29,0	18
2:49:00	69	29,1	18
2:50:00	69	28,5	18
2:51:00	69	28,5	17
2:52:00	69	28,6	16
2:53:00	69	28,6	17
2:54:00	69	28,6	16
2:55:00	69	28,6	17
2:56:00	69	28,5	17
2:57:00	69	28,4	17
2:58:00	70	28,3	16
2:59:00	70	28,2	17
3:00:00	70	28,1	17
3:01:00	69	28,1	17
3:02:00	70	28,2	17
3:03:00	70	28,2	17
3:04:00	70	28,2	17
3:05:00	69	28,2	17
3:06:00	70	28,1	18
3:07:00	69	28,3	18
3:08:00	69	28,3	18
3:09:00	69	28,3	19
3:10:00	69	28,4	19
3:11:00	69	28,6	20
3:12:00	69	28,8	20
3:13:00	69	29,0	21
3:14:00	69	28,9	25
3:15:00	69	28,5	25
3:16:00	69	28,7	26
3:17:00	69	29,0	33
3:18:00	69	28,5	32
3:19:00	69	28,7	29
3:20:00	69	28,9	30
3:21:00	69	29,0	34
3:22:00	69	29,0	32
3:23:00	69	28,9	33
3:24:00	70	28,7	39
3:25:00	70	28,5	48
3:26:00	70	28,2	60
3:27:00	70	28,1	45
3:28:00	70	28,1	40
3:29:00	70	28,1	45
3:30:00	70	28,1	48
3:31:00	70	28,1	45
3:32:00	70	28,1	53
3:33:00	70	28,1	55
3:34:00	70	28,1	62
3:35:00	70	28,0	56
3:36:00	70	28,1	58
3:37:00	70	28,1	83
3:38:00	69	28,1	61
3:39:00	69	28,1	74
3:40:00	69	28,2	60
3:41:00	69	28,6	74
3:42:00	69	29,0	66
3:43:00	69	28,9	59
3:44:00	68	28,7	62
3:45:00	68	28,5	76
3:46:00	68	28,5	58
3:47:00	68	28,4	85
3:48:00	68	28,2	74
