--Test Summary--
Full Path and File Name	
Instrument Name	7222-1
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	113
Test Start Date	04.05.2009
Test Start Time	12:02:08
Test Stop Date	04.05.2009
Test Stop Time	14:53:24
Test Length	2:51:16
Final Sample Time Offset	2:51:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	
Information	WellID	
Information	Customer	
Information	CementClass	
Information	CementMfr	
Information	Additives	
Information	Density	
Information	BHCT	
Information	BHST	
Information	FluidLoss	
Information	JobType	
Calculated Value	30Bc - TT	0:21:00
Calculated Value	70Bc - TT	N/A
Calculated Value	100Bc - TT	N/A
Initial Temperature (°C)	30 °C
Final Temperature (°C)	91 °C
Initial Pressure (MPa)	0,2 MPa
Final Pressure (MPa)	10,0 MPa
Initial Consistency (Bc)	28 Bc
Final Consistency (Bc)	72 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	30	0,2	28
0:01:00	33	0,3	30
0:02:00	36	1,6	22
0:03:00	38	2,4	26
0:04:00	39	2,7	30
0:05:00	41	3,0	19
0:06:00	42	3,2	23
0:07:00	43	3,4	31
0:08:00	44	3,6	25
0:09:00	45	3,7	26
0:10:00	45	3,8	24
0:11:00	46	4,0	26
0:12:00	47	4,1	20
0:13:00	47	4,4	19
0:14:00	47	5,2	22
0:15:00	48	5,2	29
0:16:00	49	5,6	22
0:17:00	51	5,8	24
0:18:00	53	5,9	24
0:19:00	54	6,3	24
0:20:00	56	6,3	34
0:21:00	58	6,4	33
0:22:00	60	6,7	19
0:23:00	62	7,1	20
0:24:00	63	7,3	19
0:25:00	65	7,2	24
0:26:00	68	7,4	17
0:27:00	69	7,7	18
0:28:00	71	8,0	19
0:29:00	73	7,9	24
0:30:00	74	8,2	35
0:31:00	76	8,5	32
0:32:00	77	8,7	31
0:33:00	79	8,9	25
0:34:00	81	9,0	32
0:35:00	82	9,4	38
0:36:00	84	9,4	26
0:37:00	85	9,6	25
0:38:00	88	9,8	27
0:39:00	89	10,2	34
0:40:00	91	10,0	29
0:41:00	92	10,3	33
0:42:00	93	10,0	39
0:43:00	93	10,1	36
0:44:00	93	10,2	33
0:45:00	94	10,0	34
0:46:00	93	9,9	32
0:47:00	93	9,9	32
0:48:00	93	9,9	32
0:49:00	93	9,9	31
0:50:00	93	9,9	31
0:51:00	92	10,0	30
0:52:00	92	10,0	30
0:53:00	92	9,9	31
0:54:00	92	9,9	30
0:55:00	92	10,0	29
0:56:00	92	10,0	29
0:57:00	92	10,0	29
0:58:00	92	10,0	29
0:59:00	91	10,0	29
1:00:00	91	10,0	28
1:01:00	91	10,1	28
1:02:00	91	10,1	28
1:03:00	91	10,1	28
1:04:00	91	10,1	28
1:05:00	91	10,1	28
1:06:00	91	6,7	28
1:07:00	91	2,5	28
1:08:00	91	2,6	28
1:09:00	91	2,3	28
1:10:00	91	0,7	28
1:11:00	91	0,7	28
1:12:00	91	0,7	28
1:13:00	91	0,6	28
