--Test Summary--
Full Path and File Name	
Instrument Name	7222-2
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	128
Test Start Date	25.03.2010
Test Start Time	17:45:47
Test Stop Date	25.03.2010
Test Stop Time	23:31:48
Test Length	5:46:01
Final Sample Time Offset	5:46:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 9(30), T:32(30), sea water
Information	WellID	G-1
Information	Customer	BKE Shelf
Information	CementClass	G
Information	CementMfr	Dykerhoff
Information	Additives	0.5%FLNa+0.7%RPM
Information	Density	1910
Information	BHCT	32
Information	BHST	45
Information	FluidLoss	84cc/30min
Information	JobType	508 mm csg
Calculated Value	30Bc - TT	5:18:00
Calculated Value	70Bc - TT	5:46:00
Calculated Value	100Bc - TT	N/A
Initial Temperature (°C)	29 °C
Final Temperature (°C)	33 °C
Initial Pressure (MPa)	0,8 MPa
Final Pressure (MPa)	9,3 MPa
Initial Consistency (Bc)	12 Bc
Final Consistency (Bc)	71 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	29	0,8	12
0:01:00	29	2,3	17
0:02:00	28	2,6	14
0:03:00	28	3,2	14
0:04:00	28	3,5	14
0:05:00	29	3,8	13
0:06:00	29	4,1	10
0:07:00	29	4,2	10
0:08:00	30	4,2	10
0:09:00	30	4,0	10
0:10:00	30	4,4	10
0:11:00	30	4,6	9
0:12:00	31	4,7	9
0:13:00	31	5,0	9
0:14:00	31	5,2	9
0:15:00	31	5,5	10
0:16:00	31	5,7	11
0:17:00	31	6,0	11
0:18:00	31	6,3	10
0:19:00	31	6,5	11
0:20:00	31	6,6	11
0:21:00	31	6,9	10
0:22:00	32	7,1	10
0:23:00	32	7,3	9
0:24:00	32	7,7	10
0:25:00	32	7,8	9
0:26:00	32	8,0	9
0:27:00	32	8,3	8
0:28:00	32	8,6	8
0:29:00	32	8,8	8
0:30:00	33	8,9	8
0:31:00	33	9,2	8
0:32:00	33	9,2	8
0:33:00	33	9,1	8
0:34:00	33	9,1	8
0:35:00	33	9,1	8
0:36:00	33	9,2	8
0:37:00	33	9,2	8
0:38:00	33	9,2	8
0:39:00	33	9,2	8
0:40:00	33	9,3	8
0:41:00	33	9,3	8
0:42:00	33	9,4	8
0:43:00	33	9,4	8
0:44:00	33	9,3	8
