--Test Summary--
Full Path and File Name	
Instrument Name	7222-2
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	128
Test Start Date	25.12.2009
Test Start Time	15:35:34
Test Stop Date	25.12.2009
Test Stop Time	18:42:48
Test Length	3:07:14
Final Sample Time Offset	3:07:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 9(25), T:38(25)
Information	WellID	11
Information	Customer	BKE Shelf
Information	CementClass	G
Information	CementMfr	Dykerhoff
Information	Additives	0.1%FL+0.5%RPM+0.05%R-7
Information	Density	1910
Information	BHCT	38
Information	BHST	48
Information	FluidLoss	
Information	JobType	508 mm csg
Calculated Value	30Bc - TT	N/A
Calculated Value	70Bc - TT	N/A
Calculated Value	100Bc - TT	N/A
Initial Temperature (°C)	31 °C
Final Temperature (°C)	38 °C
Initial Pressure (MPa)	2,1 MPa
Final Pressure (MPa)	9,8 MPa
Initial Consistency (Bc)	13 Bc
Final Consistency (Bc)	27 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	31	2,1	13
0:01:00	32	2,4	12
0:02:00	31	2,7	11
0:03:00	31	3,2	12
0:04:00	32	3,8	11
0:05:00	32	4,2	11
0:06:00	33	4,4	11
0:07:00	33	4,4	12
0:08:00	33	4,6	12
0:09:00	34	4,9	11
0:10:00	34	5,3	12
0:11:00	34	5,5	12
0:12:00	35	5,8	11
0:13:00	35	5,9	11
0:14:00	35	6,1	10
0:15:00	36	6,4	12
0:16:00	36	6,6	14
0:17:00	36	7,0	14
0:18:00	36	7,2	12
0:19:00	37	7,4	13
0:20:00	37	7,8	12
0:21:00	37	8,0	12
0:22:00	38	8,4	12
0:23:00	38	8,6	12
0:24:00	38	8,8	11
0:25:00	38	9,2	11
0:26:00	39	9,1	11
0:27:00	39	9,2	13
0:28:00	39	9,2	14
0:29:00	39	9,1	12
0:30:00	39	9,1	11
0:31:00	39	9,2	11
0:32:00	39	9,2	11
0:33:00	39	9,2	11
0:34:00	39	9,2	11
0:35:00	39	9,1	11
0:36:00	39	9,1	11
0:37:00	39	9,2	11
0:38:00	39	9,2	11
0:39:00	38	9,1	12
0:40:00	39	9,1	11
0:41:00	38	9,2	11
0:42:00	38	9,2	11
0:43:00	38	9,3	11
0:44:00	39	9,3	11
0:45:00	39	9,3	11
0:46:00	39	9,3	11
0:47:00	39	9,3	11
0:48:00	39	9,3	11
0:49:00	39	9,3	11
0:50:00	39	9,3	11
0:51:00	39	9,3	11
0:52:00	39	9,4	11
0:53:00	39	9,3	11
