--Test Summary--
Full Path and File Name	
Instrument Name	7222-2
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	128
Test Start Date	23.12.2009
Test Start Time	10:46:57
Test Stop Date	23.12.2009
Test Stop Time	12:28:50
Test Length	1:41:53
Final Sample Time Offset	1:41:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 9(25min); T: 38(25min); pre-mix; òåõíè÷åñêàÿ âîäà
Information	WellID	11
Information	Customer	BKE Shelf
Information	CementClass	G
Information	CementMfr	Dykerhoff
Information	Additives	0.3%FL+0.3%RPM
Information	Density	1910
Information	BHCT	38
Information	BHST	48
Information	FluidLoss	
Information	JobType	508 mm csg
Calculated Value	30Bc - TT	0:28:00
Calculated Value	70Bc - TT	N/A
Calculated Value	100Bc - TT	N/A
Initial Temperature (°C)	27 °C
Final Temperature (°C)	36 °C
Initial Pressure (MPa)	2,2 MPa
Final Pressure (MPa)	9,8 MPa
Initial Consistency (Bc)	19 Bc
Final Consistency (Bc)	67 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	27	2,2	19
0:01:00	27	2,7	19
0:02:00	27	3,7	19
0:03:00	27	3,9	19
0:04:00	27	4,0	20
0:05:00	27	4,4	20
0:06:00	27	4,7	20
0:07:00	27	5,0	21
0:08:00	27	5,3	21
0:09:00	27	5,8	21
0:10:00	28	5,9	22
0:11:00	28	6,0	22
0:12:00	29	6,4	27
0:13:00	31	6,5	26
0:14:00	32	7,0	26
0:15:00	33	7,3	26
0:16:00	35	7,2	26
0:17:00	37	6,9	26
0:18:00	39	7,3	29
0:19:00	41	7,5	27
0:20:00	43	7,7	27
0:21:00	44	7,9	28
0:22:00	46	8,3	28
0:23:00	47	8,5	29
0:24:00	49	8,9	29
0:25:00	50	9,1	29
0:26:00	50	9,1	30
0:27:00	51	9,1	30
0:28:00	51	9,1	32
0:29:00	51	9,1	32
0:30:00	51	9,0	33
0:31:00	51	9,3	33
0:32:00	51	9,1	33
0:33:00	51	9,0	33
0:34:00	50	9,1	33
0:35:00	50	9,1	33
0:36:00	50	9,1	33
0:37:00	49	9,1	34
0:38:00	49	9,1	34
0:39:00	48	9,1	35
0:40:00	47	9,1	35
0:41:00	47	9,1	36
0:42:00	46	9,1	37
0:43:00	45	9,1	37
0:44:00	44	9,0	37
0:45:00	44	9,1	38
0:46:00	43	9,1	38
0:47:00	42	9,1	38
0:48:00	42	9,1	38
0:49:00	41	9,1	39
0:50:00	40	9,1	39
0:51:00	40	9,4	39
0:52:00	39	10,0	39
0:53:00	38	10,0	39
0:54:00	38	9,4	39
0:55:00	37	9,9	39
0:56:00	37	10,0	39
0:57:00	37	9,9	40
0:58:00	36	10,0	41
0:59:00	36	9,8	41
1:00:00	36	9,9	42
1:01:00	36	9,8	42
1:02:00	36	10,0	42
1:03:00	37	10,0	42
1:04:00	37	10,0	42
1:05:00	38	10,0	44
1:06:00	39	9,6	46
1:07:00	40	9,1	47
1:08:00	41	9,1	48
1:09:00	42	9,3	50
1:10:00	43	9,1	51
1:11:00	44	9,1	52
1:12:00	45	9,1	54
1:13:00	46	9,2	56
1:14:00	46	9,0	58
1:15:00	46	9,1	60
1:16:00	47	9,1	60
1:17:00	47	9,1	61
1:18:00	46	9,1	62
1:19:00	46	9,3	63
1:20:00	46	9,4	64
1:21:00	45	9,1	66
1:22:00	45	9,1	66
1:23:00	44	9,1	66
1:24:00	43	9,1	65
1:25:00	43	9,1	67
1:26:00	42	9,1	66
1:27:00	41	9,3	66
1:28:00	41	9,1	67
1:29:00	40	9,6	67
1:30:00	39	10,1	67
1:31:00	39	9,5	67
1:32:00	38	10,1	67
1:33:00	37	9,9	67
1:34:00	37	9,8	67
1:35:00	36	10,1	67
1:36:00	36	9,8	67
1:37:00	36	10,1	67
1:38:00	35	10,1	67
1:39:00	35	10,2	67
1:40:00	36	9,8	67
1:41:00	36	9,8	67
