--Test Summary--
Full Path and File Name	
Instrument Name	7222-2
Instrument Type	Model 7222 Consistometer
Instrument Serial Number	128
Test Start Date	29.12.2009
Test Start Time	16:15:38
Test Stop Date	29.12.2009
Test Stop Time	20:59:38
Test Length	4:44:00
Final Sample Time Offset	4:44:00
Controller Schedule Name	
Sampling Period	60 seconds
Comments	MPa: 16(50), T:49(50)
Information	WellID	11
Information	Customer	BKE Shelf
Information	CementClass	G
Information	CementMfr	Dykerhoff
Information	Additives	0.3%FL+0.5%RPM+0.2%LTR
Information	Density	1910
Information	BHCT	49
Information	BHST	60
Information	FluidLoss	
Information	JobType	508 mm csg
Calculated Value	30Bc - TT	4:14:00
Calculated Value	70Bc - TT	4:44:00
Calculated Value	100Bc - TT	N/A
Initial Temperature (°C)	31 °C
Final Temperature (°C)	48 °C
Initial Pressure (MPa)	1,8 MPa
Final Pressure (MPa)	16,9 MPa
Initial Consistency (Bc)	5 Bc
Final Consistency (Bc)	85 Bc
--Data--
Time (HH:MM:SS)	Temperature (°C)	Pressure (MPa)	Consistency (Bc)
0:00:00	31	1,8	5
0:01:00	31	2,3	6
0:02:00	30	3,0	6
0:03:00	30	3,9	7
0:04:00	31	4,2	10
0:05:00	31	4,4	6
0:06:00	32	4,6	7
0:07:00	33	5,0	7
0:08:00	33	5,2	8
0:09:00	34	5,5	8
0:10:00	34	5,8	9
0:11:00	34	6,2	8
0:12:00	35	6,1	8
0:13:00	35	6,5	8
0:14:00	35	6,8	8
0:15:00	36	7,1	8
0:16:00	37	7,6	8
0:17:00	37	7,3	8
0:18:00	38	7,4	8
0:19:00	39	7,4	8
0:20:00	39	7,7	8
0:21:00	40	7,9	8
0:22:00	40	8,2	8
0:23:00	41	8,5	8
0:24:00	41	8,9	7
0:25:00	41	9,1	7
0:26:00	41	9,4	7
0:27:00	41	9,9	7
0:28:00	41	10,7	9
0:29:00	41	11,2	9
0:30:00	41	10,7	8
0:31:00	41	11,2	8
0:32:00	41	11,9	8
0:33:00	42	12,0	8
0:34:00	42	12,5	8
0:35:00	43	12,7	8
0:36:00	44	13,1	8
0:37:00	45	13,2	8
0:38:00	46	12,9	8
0:39:00	46	13,0	8
0:40:00	47	13,3	8
0:41:00	48	13,7	8
0:42:00	48	14,0	8
0:43:00	49	14,1	9
0:44:00	48	14,4	9
0:45:00	48	14,7	9
0:46:00	48	15,0	10
0:47:00	48	15,8	11
0:48:00	48	16,3	10
0:49:00	47	16,0	9
0:50:00	47	17,1	9
0:51:00	47	16,6	9
0:52:00	48	16,4	9
0:53:00	48	16,7	9
0:54:00	49	17,0	9
0:55:00	50	16,7	9
0:56:00	50	16,1	8
0:57:00	51	16,1	8
0:58:00	52	16,1	8
0:59:00	52	16,1	8
1:00:00	53	16,1	8
1:01:00	53	16,1	8
1:02:00	53	16,2	8
1:03:00	52	16,1	8
1:04:00	52	16,1	8
1:05:00	52	16,1	8
1:06:00	51	16,1	8
1:07:00	51	16,2	8
1:08:00	51	16,4	8
1:09:00	50	16,7	8
1:10:00	50	17,0	8
1:11:00	49	16,8	8
1:12:00	49	16,3	8
1:13:00	49	16,8	8
1:14:00	49	16,1	8
1:15:00	49	16,4	8
1:16:00	49	16,6	8
